index,model,numb_vars,formula,xv,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
0,Temporal,1,np.log(Biomass_kg_ha) ~ dfi,simp,0.1241,0.1237,3428.4425,469.1928,161.021,0.1592,0.5229,0.0968,0.7275,349.3385,105.9919,0.4168,0.0858,0.5226,0.0978,0.0789,0.0167,296.4424,0.5916,0.6336,601.6475,0.3982,0.0977,0.6491
1,Temporal,1,np.log(Biomass_kg_ha) ~ ndvi,simp,0.2297,0.2294,3133.9219,444.4394,142.4161,0.1516,0.4933,0.0594,0.5721,332.9666,88.056,0.3953,0.0683,0.4922,0.0832,0.0743,0.0144,296.524,0.5885,0.5715,491.7857,0.3782,0.0645,0.5118
2,Temporal,1,np.log(Biomass_kg_ha) ~ ndti,simp,0.5731,0.5729,1781.1549,376.7349,178.5033,0.087,0.4031,0.1021,0.6594,266.088,121.5326,0.2871,0.0526,0.3643,0.0654,0.0548,0.01,231.6737,0.4522,0.3576,556.1028,0.2885,0.0705,0.4746
3,Temporal,1,np.log(Biomass_kg_ha) ~ satvi,simp,0.2476,0.2473,3079.9783,446.9908,159.0323,0.1375,0.4941,0.0794,0.6205,329.894,101.4219,0.3868,0.0737,0.4858,0.0834,0.0732,0.0137,296.9563,0.5843,0.5449,544.2636,0.372,0.0709,0.5314
4,Temporal,1,np.log(Biomass_kg_ha) ~ ndii7,simp,0.2363,0.236,3114.0769,436.4836,144.4867,0.1491,0.4846,0.0698,0.5718,329.8979,93.3726,0.3928,0.07,0.4892,0.0879,0.0739,0.0153,306.2469,0.6088,0.5822,509.8027,0.3733,0.0665,0.5018
5,Temporal,1,np.log(Biomass_kg_ha) ~ nir,simp,0.0634,0.063,3582.0363,486.1462,163.6751,0.1761,0.5456,0.1112,0.7728,368.7401,112.0652,0.4374,0.1048,0.5364,0.1182,0.081,0.02,305.5547,0.6122,0.6795,627.4689,0.4236,0.1181,0.705
6,Temporal,1,np.log(Biomass_kg_ha) ~ swir1,simp,0.5179,0.5177,2059.8965,359.7466,99.0024,0.0861,0.4071,0.0807,0.563,254.0473,57.6315,0.293,0.0609,0.3758,0.0847,0.0569,0.0148,252.2985,0.4988,0.4149,333.3702,0.291,0.0587,0.4205
7,Temporal,1,np.log(Biomass_kg_ha) ~ swir2,simp,0.62,0.6198,1514.4138,330.479,106.5236,0.0666,0.3677,0.0628,0.4646,232.0104,70.7665,0.2625,0.0531,0.3359,0.0726,0.0507,0.0123,220.9006,0.4334,0.3432,368.1238,0.261,0.0483,0.3234
8,Temporal,1,np.log(Biomass_kg_ha) ~ bai_126,simp,0.0036,0.0032,3723.7713,501.5197,161.0618,0.1887,0.5667,0.123,0.8393,378.3584,105.4054,0.45,0.1086,0.554,0.1263,0.0838,0.0218,300.1079,0.6089,0.7088,614.9244,0.4395,0.1327,0.7666
9,Temporal,1,np.log(Biomass_kg_ha) ~ bai_136,simp,0.1106,0.1102,3463.4445,472.4626,163.8657,0.1631,0.5289,0.1085,0.7233,354.7799,106.0808,0.4248,0.1017,0.5262,0.1143,0.0795,0.0191,291.2775,0.5835,0.6206,591.1853,0.4078,0.1111,0.6659
10,Temporal,1,np.log(Biomass_kg_ha) ~ bai_146,simp,0.074,0.0736,3555.8172,483.9346,153.7625,0.1774,0.5439,0.1006,0.7424,364.3827,98.2929,0.4337,0.0954,0.5368,0.113,0.0812,0.0196,307.131,0.6188,0.6735,562.7566,0.4202,0.1086,0.6708
11,Temporal,1,np.log(Biomass_kg_ha) ~ bai_236,simp,0.1683,0.1679,3309.7528,458.1202,152.6905,0.1592,0.5109,0.0849,0.6546,344.7846,94.765,0.4135,0.0867,0.5128,0.1012,0.0774,0.0171,291.5395,0.5816,0.591,539.304,0.3945,0.0871,0.5953
12,Temporal,1,np.log(Biomass_kg_ha) ~ bai_246,simp,0.0888,0.0884,3519.0016,480.3642,152.8969,0.1752,0.539,0.0956,0.7226,361.8288,97.2751,0.4307,0.0926,0.5332,0.1096,0.0806,0.019,308.2708,0.6199,0.6656,555.5584,0.4165,0.1036,0.6526
13,Temporal,1,np.log(Biomass_kg_ha) ~ bai_346,simp,0.1218,0.1214,3434.4814,472.1676,150.187,0.1714,0.5286,0.0863,0.686,356.2191,94.6648,0.4241,0.0871,0.5247,0.1036,0.0793,0.018,308.3378,0.6184,0.6434,545.5837,0.409,0.0949,0.6191
