,model,kfold,numb_vars,formula,xv,R2,R2_adj,AIC,rmse_kg,pe,rmse_pct,rmse_orig,rmse_orig_pct,rmse_kg_low,rmse_pct_low,pe_low,mae_kg,mae_pct,mae_orig
0,Temporal,2013,1,np.log(Biomass_kg_ha) ~ dfi,simp,0.1099,0.1095,3226.3003,327.1296,0.2412,0.4655,0.4699,0.0731,242.2421,0.5232,0.5686,252.7508,0.3597,0.3769
1,Temporal,2014,1,np.log(Biomass_kg_ha) ~ dfi,simp,0.1412,0.1408,2953.4704,834.4088,-0.1944,0.6509,0.6581,0.0937,271.5981,0.5222,0.5176,601.6475,0.4693,0.544
2,Temporal,2015,1,np.log(Biomass_kg_ha) ~ dfi,simp,0.1197,0.1193,3109.5353,554.7186,-0.1011,0.4734,0.4973,0.0712,364.5342,0.6944,0.6803,409.562,0.3495,0.39
3,Temporal,2016,1,np.log(Biomass_kg_ha) ~ dfi,simp,0.1183,0.1178,3097.5387,612.4513,-0.03,0.5461,0.5021,0.0727,309.3987,0.5613,0.6523,420.9781,0.3753,0.3973
4,Temporal,2017,1,np.log(Biomass_kg_ha) ~ dfi,simp,0.1226,0.1222,3205.2644,360.1467,-0.0752,0.3883,0.3458,0.0511,180.551,0.3114,0.2883,248.3533,0.2678,0.2682
5,Temporal,2018,1,np.log(Biomass_kg_ha) ~ dfi,simp,0.1423,0.1419,3110.7561,531.817,0.0251,0.5513,0.5137,0.076,301.3406,0.5805,0.5911,387.9391,0.4021,0.4248
6,Temporal,2019,1,np.log(Biomass_kg_ha) ~ dfi,simp,0.1499,0.1495,3117.1288,351.9057,0.1124,0.4297,0.4288,0.0646,302.2662,0.5459,0.4973,270.2682,0.33,0.3411
7,Temporal,2020,1,np.log(Biomass_kg_ha) ~ dfi,simp,0.1086,0.1081,2946.7259,352.2232,0.8625,0.7275,0.6726,0.1103,372.756,0.8929,1.0091,314.2515,0.6491,0.5748
8,Temporal,2021,1,np.log(Biomass_kg_ha) ~ dfi,simp,0.1486,0.1482,3043.7888,483.4625,0.0236,0.5107,0.5119,0.0759,305.2684,0.5842,0.5081,345.0916,0.3645,0.3949
9,Temporal,2022,1,np.log(Biomass_kg_ha) ~ dfi,simp,0.0806,0.0802,2936.9757,283.6651,0.7278,0.4854,0.6257,0.1003,314.4687,0.6997,1.0228,242.5428,0.4151,0.4555
0,Temporal,2013,1,np.log(Biomass_kg_ha) ~ ndvi,simp,0.2446,0.2442,2875.2857,363.0104,0.4859,0.5166,0.5575,0.0867,365.411,0.7892,0.9036,309.8709,0.441,0.4582
1,Temporal,2014,1,np.log(Biomass_kg_ha) ~ ndvi,simp,0.2164,0.2161,2763.954,733.4026,-0.0899,0.5721,0.5463,0.0778,292.6939,0.5627,0.5179,491.7857,0.3836,0.424
2,Temporal,2015,1,np.log(Biomass_kg_ha) ~ ndvi,simp,0.2499,0.2496,2778.3623,569.1361,-0.046,0.4857,0.5399,0.0773,501.333,0.9551,0.797,458.9792,0.3917,0.453
3,Temporal,2016,1,np.log(Biomass_kg_ha) ~ ndvi,simp,0.2289,0.2285,2820.8776,594.0861,-0.1937,0.5297,0.4901,0.0709,184.0167,0.3338,0.2717,412.6376,0.3679,0.396
4,Temporal,2017,1,np.log(Biomass_kg_ha) ~ ndvi,simp,0.2341,0.2338,2925.1754,352.6575,-0.0057,0.3803,0.3466,0.0512,255.1203,0.44,0.3976,252.1781,0.2719,0.2714
5,Temporal,2018,1,np.log(Biomass_kg_ha) ~ ndvi,simp,0.2147,0.2143,2927.486,421.8097,-0.0676,0.4372,0.3736,0.0553,151.5189,0.2919,0.208,288.1082,0.2986,0.2985
