,model,kfold,numb_vars,formula,xv,R2,R2_adj,AIC,rmse_kg,pe,rmse_pct,rmse_orig,rmse_orig_pct,rmse_kg_low,rmse_pct_low,pe_low,mae_kg,mae_pct,mae_orig
0,Temporal,2013,1,np.log(Biomass_kg_ha) ~ dfi,simp,0.0286,0.028,2437.7027,356.4252,0.4194,0.5072,0.5391,0.0839,329.877,0.7125,0.8225,298.4609,0.4247,0.4436
1,Temporal,2014,1,np.log(Biomass_kg_ha) ~ dfi,simp,0.0596,0.059,2219.6132,829.2562,-0.1338,0.6469,0.6423,0.0915,371.9245,0.715,0.7741,602.3472,0.4699,0.537
2,Temporal,2015,1,np.log(Biomass_kg_ha) ~ dfi,simp,0.0517,0.0511,2341.9895,579.5016,-0.1137,0.4945,0.5192,0.0743,383.3528,0.7303,0.7532,428.4386,0.3656,0.4097
3,Temporal,2016,1,np.log(Biomass_kg_ha) ~ dfi,simp,0.0391,0.0385,2340.9256,616.7215,-0.0482,0.5499,0.5075,0.0734,302.0856,0.548,0.6742,422.1722,0.3764,0.398
4,Temporal,2017,1,np.log(Biomass_kg_ha) ~ dfi,simp,0.0434,0.0428,2447.2741,358.7127,-0.0287,0.3868,0.3453,0.051,219.2394,0.3781,0.3856,248.9423,0.2684,0.2681
5,Temporal,2018,1,np.log(Biomass_kg_ha) ~ dfi,simp,0.0646,0.064,2361.3545,511.2649,0.0531,0.53,0.5141,0.0761,321.3014,0.6189,0.6257,372.7611,0.3864,0.4127
6,Temporal,2019,1,np.log(Biomass_kg_ha) ~ dfi,simp,0.0507,0.05,2399.0832,311.0764,0.1143,0.3799,0.3689,0.0555,269.3881,0.4865,0.4978,236.8703,0.2892,0.2948
7,Temporal,2020,1,np.log(Biomass_kg_ha) ~ dfi,simp,0.036,0.0354,2059.1879,443.105,1.1277,0.9152,0.7874,0.1292,473.4721,1.1341,1.3067,408.3912,0.8435,0.6937
0,Temporal,2013,1,np.log(Biomass_kg_ha) ~ ndvi,simp,0.2609,0.2604,1997.2047,361.2466,0.4953,0.5141,0.5572,0.0867,368.2392,0.7953,0.9117,309.7843,0.4408,0.4586
1,Temporal,2014,1,np.log(Biomass_kg_ha) ~ ndvi,simp,0.233,0.2325,1905.8335,723.4192,-0.0919,0.5643,0.5274,0.0751,287.1111,0.552,0.5263,481.7139,0.3758,0.4099
2,Temporal,2015,1,np.log(Biomass_kg_ha) ~ ndvi,simp,0.2884,0.288,1899.7164,605.1803,0.076,0.5164,0.5514,0.0789,638.4111,1.2162,0.9869,500.1904,0.4268,0.4683
3,Temporal,2016,1,np.log(Biomass_kg_ha) ~ ndvi,simp,0.2545,0.254,1951.0626,594.0356,-0.1825,0.5296,0.4867,0.0704,188.4517,0.3419,0.3088,409.6261,0.3652,0.3898
4,Temporal,2017,1,np.log(Biomass_kg_ha) ~ ndvi,simp,0.256,0.2555,2062.2864,344.7811,0.042,0.3718,0.343,0.0507,289.5766,0.4994,0.4571,251.1057,0.2708,0.269
5,Temporal,2018,1,np.log(Biomass_kg_ha) ~ ndvi,simp,0.2298,0.2293,2059.8247,423.4005,-0.0546,0.4389,0.3745,0.0554,159.8252,0.3079,0.2501,288.9943,0.2996,0.2997
6,Temporal,2019,1,np.log(Biomass_kg_ha) ~ ndvi,simp,0.2729,0.2724,1999.1,335.6403,0.1484,0.4099,0.392,0.059,309.7404,0.5594,0.4163,264.4111,0.3229,0.3184
7,Temporal,2020,1,np.log(Biomass_kg_ha) ~ ndvi,simp,0.1725,0.172,1824.7044,323.2511,0.791,0.6677,0.6347,0.1041,341.5235,0.818,0.9348,294.125,0.6075,0.5503
0,Temporal,2013,1,np.log(Biomass_kg_ha) ~ ndti,simp,0.5514,0.5511,1192.2626,306.513,0.0218,0.4362,0.4034,0.0628,152.2127,0.3288,0.2456,220.8578,0.3143,0.3254
1,Temporal,2014,1,np.log(Biomass_kg_ha) ~ ndti,simp,0.5374,0.5371,1127.214,569.6827,0.1044,0.4444,0.3954,0.0563,453.1166,0.8711,0.7852,383.2204,0.2989,0.3107
2,Temporal,2015,1,np.log(Biomass_kg_ha) ~ ndti,simp,0.5872,0.5869,1061.2985,654.6042,0.4859,0.5586,0.483,0.0691,705.6741,1.3443,1.2767,493.1369,0.4208,0.3786
3,Temporal,2016,1,np.log(Biomass_kg_ha) ~ ndti,simp,0.542,0.5417,1202.6628,467.3961,-0.0879,0.4167,0.341,0.0493,125.2072,0.2271,0.2331,299.0814,0.2667,0.2661
4,Temporal,2017,1,np.log(Biomass_kg_ha) ~ ndti,simp,0.5594,0.5591,1259.716,284.9845,-0.0369,0.3073,0.2826,0.0418,211.4365,0.3646,0.2144,213.5143,0.2302,0.2301
5,Temporal,2018,1,np.log(Biomass_kg_ha) ~ ndti,simp,0.5538,0.5535,1212.5207,396.9931,-0.1023,0.4115,0.3404,0.0504,126.1396,0.243,0.087,258.1797,0.2676,0.2612
6,Temporal,2019,1,np.log(Biomass_kg_ha) ~ ndti,simp,0.5744,0.5741,1195.8449,280.3546,-0.025,0.3423,0.3259,0.0491,184.6682,0.3335,0.164,210.2721,0.2568,0.2629
7,Temporal,2020,1,np.log(Biomass_kg_ha) ~ ndti,simp,0.4765,0.4762,1121.4256,192.8857,0.3812,0.3984,0.4256,0.0698,188.9825,0.4527,0.4697,163.1174,0.3369,0.3459
0,Temporal,2013,1,np.log(Biomass_kg_ha) ~ satvi,simp,0.2888,0.2884,1935.1184,313.6931,0.2225,0.4464,0.4436,0.069,261.1549,0.564,0.4921,225.8139,0.3213,0.3307
1,Temporal,2014,1,np.log(Biomass_kg_ha) ~ satvi,simp,0.3126,0.3121,1737.0253,778.2043,-0.2323,0.6071,0.5533,0.0788,193.3392,0.3717,0.2879,540.8212,0.4219,0.4552
2,Temporal,2015,1,np.log(Biomass_kg_ha) ~ satvi,simp,0.3601,0.3597,1736.1763,587.4064,-0.1027,0.5013,0.5599,0.0802,402.0405,0.7659,0.4367,475.692,0.4059,0.4738
3,Temporal,2016,1,np.log(Biomass_kg_ha) ~ satvi,simp,0.2865,0.2861,1883.5982,533.9391,-0.0501,0.4761,0.4059,0.0587,241.8062,0.4387,0.4334,347.285,0.3096,0.3124
4,Temporal,2017,1,np.log(Biomass_kg_ha) ~ satvi,simp,0.3193,0.3189,1926.0137,348.253,0.1819,0.3755,0.3519,0.052,392.4931,0.6769,0.5835,261.9077,0.2824,0.2724
5,Temporal,2018,1,np.log(Biomass_kg_ha) ~ satvi,simp,0.3085,0.3081,1892.5272,425.5772,0.1112,0.4411,0.4104,0.0607,313.3551,0.6036,0.6012,307.2624,0.3185,0.3281
6,Temporal,2019,1,np.log(Biomass_kg_ha) ~ satvi,simp,0.3486,0.3482,1834.0967,378.2349,0.2027,0.4619,0.4253,0.064,386.266,0.6976,0.4919,296.0001,0.3614,0.3427
7,Temporal,2020,1,np.log(Biomass_kg_ha) ~ satvi,simp,0.2055,0.205,1762.1731,290.7325,0.6872,0.6005,0.5686,0.0933,307.3821,0.7363,0.8011,261.9375,0.541,0.4948
0,Temporal,2013,1,np.log(Biomass_kg_ha) ~ ndii7,simp,0.2444,0.2439,2032.8373,381.6464,0.494,0.5431,0.578,0.0899,377.8801,0.8162,0.9348,329.7669,0.4693,0.4833
1,Temporal,2014,1,np.log(Biomass_kg_ha) ~ ndii7,simp,0.2072,0.2067,1956.6744,712.8789,0.0057,0.5561,0.5263,0.075,402.2146,0.7733,0.7735,486.6647,0.3796,0.4133
2,Temporal,2015,1,np.log(Biomass_kg_ha) ~ ndii7,simp,0.227,0.2265,2027.2017,518.9971,0.12,0.4429,0.4616,0.0661,657.8773,1.2533,1.2447,407.3428,0.3476,0.368
3,Temporal,2016,1,np.log(Biomass_kg_ha) ~ ndii7,simp,0.2452,0.2447,1970.0622,616.3095,-0.2017,0.5495,0.5205,0.0753,216.3489,0.3925,0.31,436.559,0.3892,0.4274
4,Temporal,2017,1,np.log(Biomass_kg_ha) ~ ndii7,simp,0.2392,0.2387,2096.4906,367.7733,-0.0391,0.3966,0.365,0.0539,240.2203,0.4143,0.3534,267.5296,0.2885,0.2905
5,Temporal,2018,1,np.log(Biomass_kg_ha) ~ ndii7,simp,0.213,0.2125,2093.2809,445.6538,-0.1006,0.462,0.3981,0.0589,157.0371,0.3025,0.1689,302.7555,0.3138,0.3144
6,Temporal,2019,1,np.log(Biomass_kg_ha) ~ ndii7,simp,0.2356,0.2351,2074.1718,298.2488,0.1062,0.3642,0.3552,0.0535,262.0673,0.4733,0.3903,232.3982,0.2838,0.287
7,Temporal,2020,1,np.log(Biomass_kg_ha) ~ ndii7,simp,0.169,0.1685,1831.1633,341.6517,0.8425,0.7057,0.6645,0.109,362.1022,0.8673,0.9958,307.6695,0.6355,0.5699
0,Temporal,2013,1,np.log(Biomass_kg_ha) ~ nir,simp,0.0311,0.0305,2433.4948,352.3936,0.4541,0.5015,0.5393,0.0839,343.8704,0.7427,0.846,289.0219,0.4113,0.4313
1,Temporal,2014,1,np.log(Biomass_kg_ha) ~ nir,simp,0.0621,0.0615,2215.5726,844.3412,-0.2231,0.6587,0.6476,0.0922,257.3424,0.4948,0.5013,604.4912,0.4716,0.5399
2,Temporal,2015,1,np.log(Biomass_kg_ha) ~ nir,simp,0.0466,0.046,2350.2557,592.0075,-0.233,0.5052,0.5088,0.0728,213.745,0.4072,0.4113,440.7659,0.3761,0.4164
3,Temporal,2016,1,np.log(Biomass_kg_ha) ~ nir,simp,0.0473,0.0467,2327.7033,614.0369,0.0078,0.5475,0.5157,0.0746,370.5177,0.6722,0.8025,436.272,0.389,0.4123
4,Temporal,2017,1,np.log(Biomass_kg_ha) ~ nir,simp,0.0473,0.0467,2441.0776,354.1989,0.0336,0.3819,0.3488,0.0515,276.2069,0.4763,0.48,252.3871,0.2721,0.2731
5,Temporal,2018,1,np.log(Biomass_kg_ha) ~ nir,simp,0.0845,0.084,2327.969,544.4081,0.1986,0.5643,0.5548,0.0821,492.3153,0.9484,0.9811,425.9528,0.4415,0.4604
6,Temporal,2019,1,np.log(Biomass_kg_ha) ~ nir,simp,0.0562,0.0556,2390.3666,320.0195,0.1164,0.3908,0.3785,0.057,282.2996,0.5098,0.4996,249.024,0.3041,0.308
7,Temporal,2020,1,np.log(Biomass_kg_ha) ~ nir,simp,0.0216,0.021,2082.0506,434.4544,1.1029,0.8974,0.7772,0.1275,463.7324,1.1108,1.2822,403.4545,0.8333,0.6885
0,Temporal,2013,1,np.log(Biomass_kg_ha) ~ swir1,simp,0.5831,0.5828,1074.1172,344.9777,0.3021,0.4909,0.4709,0.0733,313.9529,0.6781,0.5368,233.8652,0.3328,0.323
1,Temporal,2014,1,np.log(Biomass_kg_ha) ~ swir1,simp,0.5408,0.5406,1115.5621,585.2171,0.0083,0.4565,0.3738,0.0532,298.8033,0.5745,0.4059,359.2324,0.2802,0.2769
2,Temporal,2015,1,np.log(Biomass_kg_ha) ~ swir1,simp,0.5545,0.5543,1178.4129,386.5029,0.1314,0.3298,0.3265,0.0467,352.8072,0.6721,0.622,307.9646,0.2628,0.268
3,Temporal,2016,1,np.log(Biomass_kg_ha) ~ swir1,simp,0.5824,0.5821,1061.0899,488.5312,0.0686,0.4356,0.4071,0.0589,402.6359,0.7304,0.6921,331.5169,0.2956,0.2958
4,Temporal,2017,1,np.log(Biomass_kg_ha) ~ swir1,simp,0.575,0.5747,1204.5341,298.7293,0.0816,0.3221,0.2962,0.0438,249.0623,0.4295,0.3997,227.7565,0.2456,0.2409
5,Temporal,2018,1,np.log(Biomass_kg_ha) ~ swir1,simp,0.5776,0.5773,1127.5504,397.24,0.0583,0.4118,0.3725,0.0551,263.766,0.5081,0.4896,288.7418,0.2993,0.3057
