"Year","PastureID","ID","on_date","off_date","on_wt_raw","off_wt_raw","on_wt","off_wt","Past_Year","on_ct"
2000,"15E","907",2000-05-17,2000-06-15,598,664,598,664,"15E_2000",20
2000,"15E","911",2000-05-17,2000-06-15,534,618,534,618,"15E_2000",20
2000,"15E","912",2000-05-17,2000-06-15,588,694,588,694,"15E_2000",20
2000,"15E","921",2000-05-17,2000-06-15,570,640,570,640,"15E_2000",20
2000,"15E","922",2000-05-17,2000-06-15,504,586,504,586,"15E_2000",20
2000,"15E","927",2000-05-17,2000-06-15,512,576,512,576,"15E_2000",20
2000,"15E","953",2000-05-17,2000-06-15,550,634,550,634,"15E_2000",20
2000,"15E","908",2000-05-17,2000-06-15,732,796,732,796,"15E_2000",20
2000,"15E","910",2000-05-17,2000-06-15,702,782,702,782,"15E_2000",20
2000,"15E","914",2000-05-17,2000-06-15,662,748,662,748,"15E_2000",20
2000,"15E","917",2000-05-17,2000-06-15,772,858,772,858,"15E_2000",20
2000,"15E","926",2000-05-17,2000-06-15,632,686,632,686,"15E_2000",20
2000,"15E","928",2000-05-17,2000-06-15,540,606,540,606,"15E_2000",20
2000,"15E","930",2000-05-17,2000-06-15,688,736,688,736,"15E_2000",20
2000,"15E","931",2000-05-17,2000-06-15,650,734,650,734,"15E_2000",20
2000,"15E","932",2000-05-17,2000-06-15,574,654,574,654,"15E_2000",20
2000,"15E","934",2000-05-17,2000-06-15,614,684,614,684,"15E_2000",20
2000,"15E","942",2000-05-17,2000-06-15,489,560,489,560,"15E_2000",20
2000,"15E","952",2000-05-17,2000-06-15,526,596,526,596,"15E_2000",20
2000,"15E","956",2000-05-17,2000-06-15,562,646,562,646,"15E_2000",20
2000,"23E","915",2000-05-17,2000-06-15,512,584,512,584,"23E_2000",25
2000,"23E","917",2000-05-17,2000-06-15,564,632,564,632,"23E_2000",25
2000,"23E","920",2000-05-17,2000-06-15,570,628,570,628,"23E_2000",25
2000,"23E","924",2000-05-17,2000-06-15,532,596,532,596,"23E_2000",25
2000,"23E","930",2000-05-17,2000-06-15,588,644,588,644,"23E_2000",25
2000,"23E","932",2000-05-17,2000-06-15,600,650,600,650,"23E_2000",25
