"Year","Pasture","Treatment","Allocation.number","AnimalEID","Tag","Tag.Color","Owner","Coat","Field.Notes","QAQC.Notes","Processing.Notes","Record.Type","Date","Weight","Percent_Shrink","Weight_Shrunk","Use_Flag","Outlier_Flag1"
2000,"15E","LTGI_MOD","20",NA,907,"Brown","Local",NA,NA,NA,NA,"on",2000-05-19,598,0,598,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,907,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-06-15,664,0,664,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,907,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-07-14,686,0,686,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,907,"Brown","Local",NA,NA,NA,NA,"off-study",2000-08-11,774,0,774,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,908,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,732,0,732,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,908,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,796,0,796,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,908,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,840,0,840,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,908,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,864,0,864,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,910,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,702,0,702,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,910,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,782,0,782,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,910,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,812,0,812,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,910,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,848,0,848,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,911,"Brown","Local",NA,NA,NA,NA,"on",2000-05-19,534,0,534,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,911,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-06-15,618,0,618,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,911,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-07-14,664,0,664,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,911,"Brown","Local",NA,NA,NA,NA,"off-study",2000-08-11,696,0,696,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,912,"Brown","Local",NA,NA,NA,NA,"on",2000-05-19,588,0,588,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,912,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-06-15,694,0,694,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,912,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-07-14,708,0,708,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,912,"Brown","Local",NA,NA,NA,NA,"off-study",2000-08-11,750,0,750,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,914,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,662,0,662,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,914,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,748,0,748,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,914,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,762,0,762,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,914,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,794,0,794,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,917,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,772,0,772,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,917,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,858,0,858,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,917,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,890,0,890,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,917,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,964,0,964,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,921,"Brown","Local",NA,NA,NA,NA,"on",2000-05-19,570,0,570,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,921,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-06-15,640,0,640,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,921,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-07-14,672,0,672,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,921,"Brown","Local",NA,NA,NA,NA,"off-study",2000-08-11,724,0,724,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,922,"Brown","Local",NA,NA,NA,NA,"on",2000-05-19,504,0,504,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,922,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-06-15,586,0,586,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,922,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-07-14,610,0,610,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,922,"Brown","Local",NA,NA,NA,NA,"off-study",2000-08-11,676,0,676,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,926,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,632,0,632,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,926,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,686,0,686,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,926,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,706,0,706,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,926,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,738,0,738,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,927,"Brown","Local",NA,NA,NA,NA,"on",2000-05-19,512,0,512,"Yes","good"
2000,"15E","LTGI_MOD","20",NA,927,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-06-15,576,0,576,"Yes","good"
