"Year","Pasture","AnimalEID","Tag","Tag.Color","Owner","Coat","Field.Notes","QAQC.Notes","Processing.Notes","Record.Type","Sample.Date","TimeStamp","Weight","Percent_Shrink","Weight_Shrunk","Outlier_Flag1"
2020,"15E","840003214587988",83,"orange","and_gem","char","","","","on","2020-05-12","2020-05-12 14:16:09",694,0.07,645.42,"good"
2020,"15E","840003214587988",83,"orange","and_gem","char","Smith","","","mid-season","2020-05-27","2020-05-27 14:52:00",736,0.07,684.48,"good"
2020,"15E","840003214587988",83,"orange","and_gem","char","Smith","","","mid-season","2020-06-11","2020-06-11 14:19:00",804,0.087,734.052,"good"
2020,"15E","840003214587988",83,"orange","and_gem","char","Smith","","","mid-season","2020-07-09","2020-07-09 14:48:31",866,0.087,790.658,"good"
2020,"15E","840003214587988",83,"orange","and_gem","char","Smith","","","mid-season","2020-08-06","2020-08-06 14:10:33",900,0.09,819,"good"
2020,"15E","840003214587988",83,"orange","and_gem","char","Smith","","","mid-season","2020-09-03","2020-09-03 15:39:59",930,0.071,863.97,"good"
2020,"15E","840003214587988",83,"orange","and_gem","char","","","","off-study","2020-10-05","2020-10-06 09:40:32",910,0.07,846.3,"good"
2020,"15E","840003214587991",86,"orange","and_gem","b","","","","on","2020-05-12","2020-05-12 14:18:39",656,0.07,610.08,"good"
2020,"15E","840003214587991",86,"orange","and_gem","b","Smith","","","mid-season","2020-05-27","2020-05-27 14:48:00",694,0.07,645.42,"good"
2020,"15E","840003214587991",86,"orange","and_gem","b","Smith","","","mid-season","2020-06-11","2020-06-11 14:16:00",754,0.087,688.402,"good"
2020,"15E","840003214587991",86,"orange","and_gem","b","Smith","","","mid-season","2020-07-09","2020-07-09 14:47:47",802,0.087,732.226,"good"
2020,"15E","840003214587991",86,"orange","and_gem","b","Smith","","","mid-season","2020-08-06","2020-08-06 14:11:37",792,0.09,720.72,"good"
2020,"15E","840003214587991",86,"orange","and_gem","b","Smith","","","mid-season","2020-09-03","2020-09-03 15:43:35",828,0.071,769.212,"good"
2020,"15E","840003214587991",86,"orange","and_gem","b","","","","off-study","2020-10-06","2020-10-06 10:46:26",830,0.07,771.9,"good"
2020,"15E","840003214588114",309,"blue","adams","b","","","","on","2020-05-12","2020-05-12 15:22:46",616,0.07,572.88,"good"
2020,"15E","840003214588114",309,"blue","adams","b","","","","mid-season","2020-05-27","2020-05-27 14:55:00",620,0.07,576.6,"good"
2020,"15E","840003214588114",309,"blue","adams","b","","","","mid-season","2020-06-11","2020-06-11 14:15:00",644,0.087,587.972,"good"
2020,"15E","840003214588114",309,"blue","adams","b","","","","mid-season","2020-07-09","2020-07-09 14:50:35",682,0.087,622.666,"good"
2020,"15E","840003214588114",309,"blue","adams","b","","","","mid-season","2020-08-06","2020-08-06 14:11:48",688,0.09,626.08,"good"
2020,"15E","840003214588114",309,"blue","adams","b","","","","mid-season","2020-09-03","2020-09-03 15:36:56",718,0.071,667.022,"good"
2020,"15E","840003214588114",309,"blue","adams","b","","no tag","","off-study","2020-10-05",NA,726,0.07,675.18,"good"
2020,"15E","840003214588124",319,"blue","adams","b","","","","on","2020-05-12","2020-05-12 15:25:30",700,0.07,651,"outlier"
2020,"15E","840003214588124",319,"blue","adams","b","Knight","","","mid-season","2020-05-27","2020-05-27 14:55:00",718,0.07,667.74,"outlier"
2020,"15E","840003214588124",319,"blue","adams","b","Knight","","","mid-season","2020-06-11","2020-06-11 14:38:00",742,0.087,677.446,"outlier"
2020,"15E","840003214588124",319,"blue","adams","b","Smith","","","mid-season","2020-07-09","2020-07-09 14:49:02",794,0.087,724.922,"outlier"
2020,"15E","840003214588124",319,"blue","adams","b","Smith","","","mid-season","2020-08-06","2020-08-06 14:12:03",782,0.09,711.62,"outlier"
2020,"15E","840003214588124",319,"blue","adams","b","","","","mid-season","2020-09-03","2020-09-03 15:45:07",776,0.071,720.904,"outlier"
2020,"15E","840003214588124",319,"blue","adams","b","","","","off-study","2020-10-05","2020-10-06 09:02:58",770,0.07,716.1,"outlier"
2020,"15E","840003214588137",332,"blue","adams","b","","","","on","2020-05-12","2020-05-12 15:29:07",722,0.07,671.46,"good"
2020,"15E","840003214588137",332,"blue","adams","b","","","","mid-season","2020-05-27","2020-05-27 14:39:00",728,0.07,677.04,"good"
2020,"15E","840003214588137",332,"blue","adams","b","","","","mid-season","2020-06-11","2020-06-11 14:26:00",764,0.087,697.532,"good"
2020,"15E","840003214588137",332,"blue","adams","b","","","","mid-season","2020-07-09","2020-07-09 14:54:10",822,0.087,750.486,"good"
2020,"15E","840003214588137",332,"blue","adams","b","","","","mid-season","2020-08-06","2020-08-06 14:12:20",816,0.09,742.56,"good"
2020,"15E","840003214588137",332,"blue","adams","b","","","","mid-season","2020-09-03","2020-09-03 15:29:08",882,0.071,819.378,"good"
2020,"15E","840003214588137",332,"blue","adams","b","","","","off-study","2020-10-05","2020-10-06 08:58:22",914,0.07,850.02,"good"
2020,"15E","840003214587485",420,"green","anderson","b","","","","on","2020-05-11","2020-05-11 18:32:08",642,0.07,597.06,"good"
2020,"15E","840003214587485",420,"green","anderson","b","","","","mid-season","2020-05-27","2020-05-27 14:53:00",718,0.07,667.74,"good"
2020,"15E","840003214587485",420,"green","anderson","b","","","","mid-season","2020-06-11","2020-06-11 14:26:00",752,0.087,686.576,"good"
2020,"15E","840003214587485",420,"green","anderson","b","","","","mid-season","2020-07-09","2020-07-09 14:45:49",804,0.087,734.052,"good"
2020,"15E","840003214587485",420,"green","anderson","b","","","","mid-season","2020-08-06","2020-08-06 14:12:33",832,0.09,757.12,"good"
2020,"15E","840003214587485",420,"green","anderson","b","","","","mid-season","2020-09-03","2020-09-03 15:34:58",880,0.071,817.52,"good"
2020,"15E","840003214587485",420,"green","anderson","b","","","","off-study","2020-10-06","2020-10-06 10:52:09",884,0.07,822.12,"good"
2020,"15E","840003214587497",432,"green","anderson","b","","","","on","2020-05-11","2020-05-11 18:35:42",756,0.07,703.08,"good"
2020,"15E","840003214587497",432,"green","anderson","b","","","","mid-season","2020-05-27","2020-05-27 14:54:00",792,0.07,736.56,"good"
2020,"15E","840003214587497",432,"green","anderson","b","","","","mid-season","2020-06-11","2020-06-11 14:31:00",850,0.087,776.05,"good"
2020,"15E","840003214587497",432,"green","anderson","b","","","","mid-season","2020-07-09","2020-07-09 14:47:01",916,0.087,836.308,"good"
2020,"15E","840003214587497",432,"green","anderson","b","","","","mid-season","2020-08-06","2020-08-06 14:12:53",954,0.09,868.14,"good"
2020,"15E","840003214587497",432,"green","anderson","b","","","","mid-season","2020-09-03","2020-09-03 15:37:38",1004,0.071,932.716,"good"
2020,"15E","840003214587497",432,"green","anderson","b","","","","off-study","2020-10-06","2020-10-06 11:04:09",1022,0.07,950.46,"good"
