"Year","Treatment","Herd","Allocation.number","Tag","Season.on.date","Season.off.date","Weight_Shrunk.on","Weight_Shrunk.off","Season.Days","Gain_shrunk","ADG_shrunk"
2013,"CARM","17S","14",98,2013-05-30,2013-09-28,628.68,890.94,121,262.26,2.16743801652893
2013,"CARM","17S","14",101,2013-05-30,2013-09-28,615.66,915.12,121,299.46,2.47487603305785
2013,"CARM","17S","14",159,2013-05-30,2013-09-28,606.36,969.06,121,362.7,2.99752066115702
2013,"CARM","17S","14",189,2013-05-30,2013-09-28,675.18,915.12,121,239.94,1.98297520661157
2013,"CARM","17S","14",413,2013-05-30,2013-09-28,558,877.92,121,319.92,2.64396694214876
2013,"CARM","17S","14",446,2013-05-30,2013-09-28,563.58,916.98,121,353.4,2.92066115702479
2013,"CARM","17S","14",459,2013-05-30,2013-09-28,584.04,853.74,121,269.7,2.22892561983471
2013,"CARM","17S","14",482,2013-05-30,2013-09-28,548.7,827.7,121,279,2.30578512396694
2013,"CARM","17S","14",487,2013-05-30,2013-09-28,569.16,837,121,267.84,2.21355371900826
2013,"CARM","17S","14",494,2013-05-30,2013-09-28,593.34,833.28,121,239.94,1.98297520661157
2013,"CARM","17S","14",527,2013-05-30,2013-09-28,520.8,818.4,121,297.6,2.45950413223141
2013,"CARM","17S","14",678,2013-05-30,2013-09-28,509.64,799.8,121,290.16,2.39801652892562
2013,"CARM","17S","14",685,2013-05-30,2013-09-28,537.54,883.5,121,345.96,2.85917355371901
2013,"CARM","17S","14",729,2013-05-30,2013-09-28,492.9,876.06,121,383.16,3.16661157024793
2013,"CARM","18S","14",4,2013-05-30,2013-09-28,626.82,956.04,121,329.22,2.72082644628099
2013,"CARM","18S","14",60,2013-05-30,2013-09-28,580.32,941.16,121,360.84,2.98214876033058
2013,"CARM","18S","14",90,2013-05-30,2013-09-28,598.92,859.32,121,260.4,2.15206611570248
2013,"CARM","18S","14",148,2013-05-30,2013-09-28,554.28,902.1,121,347.82,2.87454545454545
2013,"CARM","18S","14",411,2013-05-30,2013-09-28,533.82,883.5,121,349.68,2.8899173553719
2013,"CARM","18S","14",449,2013-05-30,2013-09-28,543.12,792.36,121,249.24,2.0598347107438
2013,"CARM","18S","14",461,2013-05-30,2013-09-28,526.38,872.34,121,345.96,2.85917355371901
2013,"CARM","18S","14",489,2013-05-30,2013-09-28,589.62,885.36,121,295.74,2.44413223140496
2013,"CARM","18S","14",507,2013-05-30,2013-09-28,637.98,943.02,121,305.04,2.52099173553719
2013,"CARM","18S","14",511,2013-05-30,2013-09-28,515.22,890.94,121,375.72,3.10512396694215
2013,"CARM","18S","14",610,2013-05-30,2013-09-28,660.3,903.96,121,243.66,2.01371900826446
2013,"CARM","18S","14",698,2013-05-30,2013-09-28,479.88,809.1,121,329.22,2.72082644628099
2013,"CARM","18S","14",803,2013-05-30,2013-09-28,571.02,931.86,121,360.84,2.98214876033058
2013,"CARM","18S","14",846,2013-05-30,2013-09-28,567.3,861.18,121,293.88,2.42876033057851
2013,"CARM","20NW","14",11,2013-05-30,2013-09-28,619.38,926.28,121,306.9,2.53636363636364
2013,"CARM","20NW","14",48,2013-05-30,2013-09-28,578.46,885.36,121,306.9,2.53636363636364
2013,"CARM","20NW","14",64,2013-05-30,2013-09-28,531.96,853.74,121,321.78,2.65933884297521
2013,"CARM","20NW","14",96,2013-05-30,2013-09-28,552.42,907.68,121,355.26,2.93603305785124
2013,"CARM","20NW","14",138,2013-05-30,2013-09-28,608.22,1013.7,121,405.48,3.35107438016529
2013,"CARM","20NW","14",157,2013-05-30,2013-09-28,513.36,786.78,121,273.42,2.2596694214876
2013,"CARM","20NW","14",448,2013-05-30,2013-09-28,561.72,837,121,275.28,2.27504132231405
2013,"CARM","20NW","14",470,2013-05-30,2013-09-28,522.66,848.16,121,325.5,2.6900826446281
2013,"CARM","20NW","14",477,2013-05-30,2013-09-28,632.4,879.78,121,247.38,2.04446280991736
2013,"CARM","20NW","14",696,2013-05-30,2013-09-28,565.44,898.38,121,332.94,2.75157024793388
2013,"CARM","20NW","14",714,2013-05-30,2013-09-28,569.16,954.18,121,385.02,3.18198347107438
