Year,PastureID,ID,on_date,on_wt_raw,on_wt,off_date,off_wt_raw,off_wt,on_ct,Past_Year,period_days,adg
2012,23E,635_nan,2012-09-06,764.0,764.0,2012-09-22,922.0,922.0,30,23E_2012,16,9.875
2021,23E,468_yellow,2021-05-22,524.0,487.32,2021-06-17,758.0,692.054,30,23E_2021,26,7.874384615384614
2005,15E,447_brown,2005-05-17,614.0,614.0,2005-06-16,846.0,846.0,20,15E_2005,30,7.733333333333333
2024,15E,1001_white,2024-05-17,714.0,664.02,2024-06-13,946.0,863.698,30,15E_2024,27,7.3954814814814815
2017,15E,357_white,2017-06-08,654.0,597.102,2017-07-06,880.0,803.44,23,15E_2017,28,7.369214285714288
2017,15E,802_green,2017-06-08,728.0,664.664,2017-07-06,934.0,852.742,23,15E_2017,28,6.717071428571428
2017,15E,508_yellow,2017-06-08,744.0,679.272,2017-07-06,950.0,867.35,23,15E_2017,28,6.717071428571428
2013,23W,814_nan,2013-06-27,714.0,651.882,2013-07-25,918.0,838.134,15,23W_2013,28,6.651857142857145
2017,15E,142_white,2017-06-08,692.0,631.796,2017-07-06,896.0,818.048,23,15E_2017,28,6.651857142857141
2016,15E,634_yellow,2016-05-13,568.0,528.24,2016-06-09,772.0,704.836,22,15E_2016,27,6.540592592592593
2021,23E,625_white,2021-05-22,744.0,691.92,2021-06-17,944.0,861.872,30,23E_2021,26,6.536615384615384
2017,15E,719_green,2017-06-08,752.0,686.576,2017-07-06,950.0,867.35,23,15E_2017,28,6.456214285714286
2014,23E,643_nan,2014-05-15,606.0,563.58,2014-06-12,814.0,743.182,30,23E_2014,28,6.414357142857142
2021,23E,717_white,2021-05-22,690.0,641.7,2021-06-17,884.0,807.092,30,23E_2021,26,6.361230769230767
2019,19N,707_yellow,2019-05-16,698.0,649.14,2019-06-13,906.0,827.178,26,19N_2019,28,6.3585
2023,15E,123_white,2023-05-19,682.0,634.26,2023-06-15,878.0,801.614,17,15E_2023,27,6.198296296296298
2017,15E,551_yellow,2017-06-08,804.0,734.052,2017-07-06,994.0,907.522,23,15E_2017,28,6.195357142857144
2021,23E,477_yellow,2021-05-22,666.0,619.38,2021-06-17,854.0,779.702,30,23E_2021,26,6.166230769230769
2021,19N,839_white,2021-05-22,612.0,569.16,2021-06-17,798.0,728.574,24,19N_2021,26,6.131307692307692
2017,15E,989_red,2017-06-08,692.0,631.796,2017-07-06,876.0,799.788,23,15E_2017,28,5.999714285714284
2021,23E,676_white,2021-05-22,646.0,600.78,2021-06-17,828.0,755.964,30,23E_2021,26,5.968615384615388
2009,23W,483_nan,2009-05-15,658.0,658.0,2009-06-12,824.0,824.0,15,23W_2009,28,5.928571428571429
2013,23E,682_nan,2013-05-30,570.0,570.0,2013-06-27,806.0,735.878,30,23E_2013,28,5.924214285714287
2023,15E,152_white,2023-05-19,634.0,589.62,2023-06-15,820.0,748.66,17,15E_2023,27,5.890370370370369
2022,19N,332_white,2022-05-23,734.0,682.62,2022-06-16,902.0,823.526,27,19N_2022,24,5.871083333333331
2016,23E,583_yellow,2016-05-13,752.0,699.36,2016-06-09,938.0,856.394,30,23E_2016,27,5.8160740740740735
2017,23E,191_white,2017-06-08,772.0,704.836,2017-07-06,950.0,867.35,30,23E_2017,28,5.8040714285714285
