"","YearSampled","Pasture","Plot","Transect","Distance","Block","Treatment","Ecosite","PastureSize_ha","X","Y","FGcode","kgPerHa"
"1",2013,"15E",1,1,"10",1,"TGM","Loamy",133.06,520234,4520700,"AG",164.69
"2",2013,"15E",1,1,"10",1,"TGM","Loamy",133.06,520234,4520700,"BOBU",297.08
"3",2013,"15E",1,1,"10",1,"TGM","Loamy",133.06,520234,4520700,"C3PG",23.14
"4",2013,"15E",1,1,"10",1,"TGM","Loamy",133.06,520234,4520700,"FORB",151.77
"5",2013,"15E",1,1,"10",1,"TGM","Loamy",133.06,520234,4520700,"SD",9.69
"6",2013,"15E",1,1,"10",1,"TGM","Loamy",133.06,520234,4520700,"WSPG",0
"7",2013,"15E",1,1,"10",1,"TGM","Loamy",133.06,520234,4520700,"SS",0
"8",2013,"15E",1,1,"10",1,"TGM","Loamy",133.06,520234,4520700,"OTHER",0
"9",2013,"15E",1,1,"10",1,"TGM","Loamy",133.06,520234,4520700,"NA",0
"10",2013,"15E",1,4,"10",1,"TGM","Loamy",133.06,520234,4520700,"AG",5.92
"11",2013,"15E",1,4,"10",1,"TGM","Loamy",133.06,520234,4520700,"BOBU",540.89
"12",2013,"15E",1,4,"10",1,"TGM","Loamy",133.06,520234,4520700,"C3PG",0
"13",2013,"15E",1,4,"10",1,"TGM","Loamy",133.06,520234,4520700,"FORB",0
"14",2013,"15E",1,4,"10",1,"TGM","Loamy",133.06,520234,4520700,"SD",5.38
"15",2013,"15E",1,4,"10",1,"TGM","Loamy",133.06,520234,4520700,"WSPG",0
"16",2013,"15E",1,4,"10",1,"TGM","Loamy",133.06,520234,4520700,"SS",0
"17",2013,"15E",1,4,"10",1,"TGM","Loamy",133.06,520234,4520700,"OTHER",0
"18",2013,"15E",1,4,"10",1,"TGM","Loamy",133.06,520234,4520700,"NA",0
"19",2013,"15E",1,4,"20",1,"TGM","Loamy",133.06,520234,4520700,"AG",2.15
"20",2013,"15E",1,4,"20",1,"TGM","Loamy",133.06,520234,4520700,"BOBU",685.12
"21",2013,"15E",1,4,"20",1,"TGM","Loamy",133.06,520234,4520700,"C3PG",18.84
"22",2013,"15E",1,4,"20",1,"TGM","Loamy",133.06,520234,4520700,"FORB",27.99
"23",2013,"15E",1,4,"20",1,"TGM","Loamy",133.06,520234,4520700,"SD",6.46
"24",2013,"15E",1,4,"20",1,"TGM","Loamy",133.06,520234,4520700,"WSPG",0
"25",2013,"15E",1,4,"20",1,"TGM","Loamy",133.06,520234,4520700,"SS",0
"26",2013,"15E",1,4,"20",1,"TGM","Loamy",133.06,520234,4520700,"OTHER",0
"27",2013,"15E",1,4,"20",1,"TGM","Loamy",133.06,520234,4520700,"NA",0
"28",2013,"15E",2,1,"10",1,"TGM","Loamy",133.06,520428,4520540,"AG",250.26
"29",2013,"15E",2,1,"10",1,"TGM","Loamy",133.06,520428,4520540,"BOBU",430.56
"30",2013,"15E",2,1,"10",1,"TGM","Loamy",133.06,520428,4520540,"C3PG",0
"31",2013,"15E",2,1,"10",1,"TGM","Loamy",133.06,520428,4520540,"FORB",1.61
"32",2013,"15E",2,1,"10",1,"TGM","Loamy",133.06,520428,4520540,"SD",0
"33",2013,"15E",2,1,"10",1,"TGM","Loamy",133.06,520428,4520540,"WSPG",0
"34",2013,"15E",2,1,"10",1,"TGM","Loamy",133.06,520428,4520540,"SS",0
"35",2013,"15E",2,1,"10",1,"TGM","Loamy",133.06,520428,4520540,"OTHER",0
"36",2013,"15E",2,1,"10",1,"TGM","Loamy",133.06,520428,4520540,"NA",0
"37",2013,"15E",2,1,"20",1,"TGM","Loamy",133.06,520428,4520540,"AG",0
"38",2013,"15E",2,1,"20",1,"TGM","Loamy",133.06,520428,4520540,"BOBU",569.41
"39",2013,"15E",2,1,"20",1,"TGM","Loamy",133.06,520428,4520540,"C3PG",171.68
"40",2013,"15E",2,1,"20",1,"TGM","Loamy",133.06,520428,4520540,"FORB",74.81
"41",2013,"15E",2,1,"20",1,"TGM","Loamy",133.06,520428,4520540,"SD",2.15
"42",2013,"15E",2,1,"20",1,"TGM","Loamy",133.06,520428,4520540,"WSPG",0
"43",2013,"15E",2,1,"20",1,"TGM","Loamy",133.06,520428,4520540,"SS",0
"44",2013,"15E",2,1,"20",1,"TGM","Loamy",133.06,520428,4520540,"OTHER",0
"45",2013,"15E",2,1,"20",1,"TGM","Loamy",133.06,520428,4520540,"NA",0
"46",2013,"15E",2,4,"10",1,"TGM","Loamy",133.06,520428,4520540,"AG",9.15
"47",2013,"15E",2,4,"10",1,"TGM","Loamy",133.06,520428,4520540,"BOBU",525.82
"48",2013,"15E",2,4,"10",1,"TGM","Loamy",133.06,520428,4520540,"C3PG",0
"49",2013,"15E",2,4,"10",1,"TGM","Loamy",133.06,520428,4520540,"FORB",35.52
"50",2013,"15E",2,4,"10",1,"TGM","Loamy",133.06,520428,4520540,"SD",4.31
"51",2013,"15E",2,4,"10",1,"TGM","Loamy",133.06,520428,4520540,"WSPG",182.99
"52",2013,"15E",2,4,"10",1,"TGM","Loamy",133.06,520428,4520540,"SS",0
"53",2013,"15E",2,4,"10",1,"TGM","Loamy",133.06,520428,4520540,"OTHER",0
"54",2013,"15E",2,4,"10",1,"TGM","Loamy",133.06,520428,4520540,"NA",0
"55",2013,"15E",2,4,"20",1,"TGM","Loamy",133.06,520428,4520540,"AG",0
"56",2013,"15E",2,4,"20",1,"TGM","Loamy",133.06,520428,4520540,"BOBU",515.59
"57",2013,"15E",2,4,"20",1,"TGM","Loamy",133.06,520428,4520540,"C3PG",0
"58",2013,"15E",2,4,"20",1,"TGM","Loamy",133.06,520428,4520540,"FORB",40.36
"59",2013,"15E",2,4,"20",1,"TGM","Loamy",133.06,520428,4520540,"SD",4.84
"60",2013,"15E",2,4,"20",1,"TGM","Loamy",133.06,520428,4520540,"WSPG",0
"61",2013,"15E",2,4,"20",1,"TGM","Loamy",133.06,520428,4520540,"SS",0
"62",2013,"15E",2,4,"20",1,"TGM","Loamy",133.06,520428,4520540,"OTHER",0
"63",2013,"15E",2,4,"20",1,"TGM","Loamy",133.06,520428,4520540,"NA",0
"64",2013,"15E",3,1,"10",1,"TGM","Loamy",133.06,520258,4520250,"AG",0
"65",2013,"15E",3,1,"10",1,"TGM","Loamy",133.06,520258,4520250,"BOBU",331.53
"66",2013,"15E",3,1,"10",1,"TGM","Loamy",133.06,520258,4520250,"C3PG",122.71
"67",2013,"15E",3,1,"10",1,"TGM","Loamy",133.06,520258,4520250,"FORB",0
"68",2013,"15E",3,1,"10",1,"TGM","Loamy",133.06,520258,4520250,"SD",7.53
"69",2013,"15E",3,1,"10",1,"TGM","Loamy",133.06,520258,4520250,"WSPG",0
"70",2013,"15E",3,1,"10",1,"TGM","Loamy",133.06,520258,4520250,"SS",0
"71",2013,"15E",3,1,"10",1,"TGM","Loamy",133.06,520258,4520250,"OTHER",0
"72",2013,"15E",3,1,"10",1,"TGM","Loamy",133.06,520258,4520250,"NA",0
"73",2013,"15E",3,4,"10",1,"TGM","Loamy",133.06,520258,4520250,"AG",0
"74",2013,"15E",3,4,"10",1,"TGM","Loamy",133.06,520258,4520250,"BOBU",262.64
"75",2013,"15E",3,4,"10",1,"TGM","Loamy",133.06,520258,4520250,"C3PG",51.67
"76",2013,"15E",3,4,"10",1,"TGM","Loamy",133.06,520258,4520250,"FORB",62.43
"77",2013,"15E",3,4,"10",1,"TGM","Loamy",133.06,520258,4520250,"SD",4.84
"78",2013,"15E",3,4,"10",1,"TGM","Loamy",133.06,520258,4520250,"WSPG",0
"79",2013,"15E",3,4,"10",1,"TGM","Loamy",133.06,520258,4520250,"SS",0
"80",2013,"15E",3,4,"10",1,"TGM","Loamy",133.06,520258,4520250,"OTHER",0
"81",2013,"15E",3,4,"10",1,"TGM","Loamy",133.06,520258,4520250,"NA",0
"82",2013,"15E",3,4,"20",1,"TGM","Loamy",133.06,520258,4520250,"AG",101.18
"83",2013,"15E",3,4,"20",1,"TGM","Loamy",133.06,520258,4520250,"BOBU",585.56
"84",2013,"15E",3,4,"20",1,"TGM","Loamy",133.06,520258,4520250,"C3PG",87.73
"85",2013,"15E",3,4,"20",1,"TGM","Loamy",133.06,520258,4520250,"FORB",0
"86",2013,"15E",3,4,"20",1,"TGM","Loamy",133.06,520258,4520250,"SD",14.53
"87",2013,"15E",3,4,"20",1,"TGM","Loamy",133.06,520258,4520250,"WSPG",0
"88",2013,"15E",3,4,"20",1,"TGM","Loamy",133.06,520258,4520250,"SS",1107.61
"89",2013,"15E",3,4,"20",1,"TGM","Loamy",133.06,520258,4520250,"OTHER",0
"90",2013,"15E",3,4,"20",1,"TGM","Loamy",133.06,520258,4520250,"NA",0
"91",2013,"15E",4,1,"10",1,"TGM","Loamy",133.06,520358,4520020,"AG",16.68
"92",2013,"15E",4,1,"10",1,"TGM","Loamy",133.06,520358,4520020,"BOBU",566.72
"93",2013,"15E",4,1,"10",1,"TGM","Loamy",133.06,520358,4520020,"C3PG",91.49
"94",2013,"15E",4,1,"10",1,"TGM","Loamy",133.06,520358,4520020,"FORB",18.3
"95",2013,"15E",4,1,"10",1,"TGM","Loamy",133.06,520358,4520020,"SD",8.61
"96",2013,"15E",4,1,"10",1,"TGM","Loamy",133.06,520358,4520020,"WSPG",0
"97",2013,"15E",4,1,"10",1,"TGM","Loamy",133.06,520358,4520020,"SS",0
"98",2013,"15E",4,1,"10",1,"TGM","Loamy",133.06,520358,4520020,"OTHER",0
"99",2013,"15E",4,1,"10",1,"TGM","Loamy",133.06,520358,4520020,"NA",0
"100",2013,"15E",4,1,"20",1,"TGM","Loamy",133.06,520358,4520020,"AG",9.69
"101",2013,"15E",4,1,"20",1,"TGM","Loamy",133.06,520358,4520020,"BOBU",425.17
"102",2013,"15E",4,1,"20",1,"TGM","Loamy",133.06,520358,4520020,"C3PG",165.23
"103",2013,"15E",4,1,"20",1,"TGM","Loamy",133.06,520358,4520020,"FORB",105.49
"104",2013,"15E",4,1,"20",1,"TGM","Loamy",133.06,520358,4520020,"SD",7.53
