SamplingDate,Pasture,Plot,Transect,Distance
8/2/2013,20SE,1,1,10
8/2/2013,20SE,1,1,20
8/2/2013,20SE,1,4,10
8/2/2013,20SE,1,4,20
8/2/2013,25NW,1,1,10
8/2/2013,25NW,1,1,20
8/2/2013,25NW,1,4,10
8/2/2013,25NW,1,4,20
8/2/2013,25NW,2,1,10
8/2/2013,25NW,2,1,20
8/2/2013,25NW,2,4,10
8/2/2013,25NW,2,4,20
8/2/2013,25NW,3,1,10
8/2/2013,25NW,3,1,20
8/2/2013,25NW,3,4,10
8/2/2013,25NW,3,4,20
8/2/2013,25NW,4,1,10
8/2/2013,25NW,4,1,20
8/2/2013,25NW,4,4,10
8/2/2013,25NW,4,4,20
8/2/2013,25SE,1,1,10
8/2/2013,25SE,1,1,20
8/2/2013,25SE,1,4,10
8/2/2013,25SE,1,4,20
8/2/2013,25SE,2,1,10
8/2/2013,25SE,2,1,20
8/2/2013,25SE,2,4,10
8/2/2013,25SE,2,4,20
8/2/2013,25SE,3,1,10
8/2/2013,25SE,3,1,20
8/2/2013,25SE,3,4,10
8/2/2013,25SE,3,4,20
8/2/2013,25SE,4,1,10
8/2/2013,25SE,4,1,20
8/2/2013,25SE,4,4,10
8/2/2013,25SE,4,4,20
8/2/2013,31W,1,1,10
8/2/2013,31W,1,1,20
8/2/2013,31W,1,4,10
8/2/2013,31W,1,4,20
8/2/2013,31W,2,1,10
8/2/2013,31W,2,1,20
8/2/2013,31W,2,4,10
8/2/2013,31W,2,4,20
8/2/2013,31W,3,1,10
8/2/2013,31W,3,1,20
8/2/2013,31W,3,4,10
8/2/2013,31W,3,4,20
8/2/2013,31W,4,1,10
8/2/2013,31W,4,1,20
8/2/2013,31W,4,4,10
8/2/2013,31W,4,4,20
8/5/2013,18S,1,1,10
8/5/2013,18S,1,1,20
8/5/2013,18S,1,4,10
8/5/2013,18S,1,4,20
8/5/2013,18S,2,1,10
8/5/2013,18S,2,1,20
8/5/2013,18S,2,4,10
8/5/2013,18S,2,4,20
8/5/2013,18S,3,1,10
8/5/2013,18S,3,1,20
8/5/2013,18S,3,4,10
8/5/2013,18S,3,4,20
8/5/2013,18S,4,1,10
8/5/2013,18S,4,1,20
8/5/2013,18S,4,4,10
8/5/2013,18S,4,4,20
8/5/2013,19N,1,1,10
8/5/2013,19N,1,1,20
8/5/2013,19N,1,4,10
8/5/2013,19N,1,4,20
8/5/2013,19N,2,1,10
8/5/2013,19N,2,1,20
8/5/2013,19N,2,4,10
8/5/2013,19N,2,4,20
8/5/2013,19N,3,1,10
8/5/2013,19N,3,1,20
8/5/2013,19N,3,4,10
8/5/2013,19N,3,4,20
8/5/2013,19N,4,1,10
8/5/2013,19N,4,1,20
8/5/2013,19N,4,4,10
8/5/2013,19N,4,4,20
8/5/2013,24W,1,1,10
8/5/2013,24W,1,1,20
8/5/2013,24W,1,4,10
8/5/2013,24W,1,4,20
8/5/2013,24W,2,1,10
8/5/2013,24W,2,1,20
8/5/2013,24W,2,4,10
8/5/2013,24W,2,4,20
8/5/2013,24W,3,1,10
8/5/2013,24W,3,1,20
8/5/2013,24W,3,4,10
8/5/2013,24W,4,1,10
8/5/2013,24W,4,1,20
8/5/2013,24W,4,4,10
8/5/2013,24W,4,4,20
8/5/2013,26E,1,1,10
8/5/2013,26E,1,1,20
8/5/2013,26E,1,4,10
8/5/2013,26E,1,4,20
8/5/2013,26E,2,1,10
8/5/2013,26E,2,1,20
8/5/2013,26E,2,4,10
8/5/2013,26E,2,4,20
