Year,Block,Treatment,Pasture,Ecosite,C3PGObj,Plot,Transect,Distance,BOBU,WSPG,VUOC,C3PG,FORB,SS,C4PG,SD,
2013,1,AGM,NH,Loamy,NonMCLO,1,1,10,333.7,0.0,126.5,294.4,0.0,0.0,333.7,1.6,
2013,1,AGM,NH,Loamy,NonMCLO,1,1,20,656.6,0.0,191.6,0.0,89.3,0.0,656.6,9.7,
2013,1,AGM,NH,Loamy,NonMCLO,1,4,10,174.9,317.5,130.8,301.9,250.8,0.0,492.4,68.4,
2013,1,AGM,NH,Loamy,NonMCLO,1,4,20,191.1,14.5,16.1,856.3,0.0,0.0,205.6,129.7,
2013,1,AGM,NH,Loamy,NonMCLO,2,1,10,1044.1,0.0,0.0,88.8,26.9,0.0,1044.1,7.5,
2013,1,AGM,NH,Loamy,NonMCLO,2,1,20,242.2,0.0,0.0,0.0,0.0,0.0,242.2,2.2,
2013,1,AGM,NH,Loamy,NonMCLO,2,4,10,1573.1,0.0,4.3,38.8,50.1,0.0,1573.1,9.7,
2013,1,AGM,NH,Loamy,NonMCLO,2,4,20,996.2,0.0,0.0,0.0,0.0,0.0,996.2,137.8,
2013,1,AGM,NH,Loamy,NonMCLO,3,1,10,503.8,73.7,0.0,282.6,0.0,0.0,577.5,23.7,
2013,1,AGM,NH,Loamy,NonMCLO,3,1,20,383.2,0.0,0.0,281.5,0.0,0.0,383.2,7.5,
2013,1,AGM,NH,Loamy,NonMCLO,3,4,10,388.0,0.0,0.0,125.4,0.2,0.0,388.0,5.4,
2013,1,AGM,NH,Loamy,NonMCLO,3,4,20,554.9,0.0,0.0,11.8,0.5,0.0,554.9,10.2,
2013,1,AGM,NH,Loamy,NonMCLO,4,1,10,472.5,0.0,0.0,0.0,245.4,0.0,472.5,7.5,
2013,1,AGM,NH,Loamy,NonMCLO,4,1,20,641.0,0.0,22.6,11.8,0.0,0.0,641.0,12.4,
2013,1,AGM,NH,Loamy,NonMCLO,4,4,10,451.0,0.0,11.8,164.7,79.7,0.0,451.0,23.7,
2013,1,AGM,NH,Loamy,NonMCLO,4,4,20,465.5,0.0,214.7,142.1,170.1,0.0,465.5,10.2,
2013,1,TGM,15E,Loamy,NonMCLO,1,1,10,297.1,0.0,164.7,23.1,151.8,0.0,297.1,9.7,
2013,1,TGM,15E,Loamy,NonMCLO,1,4,10,540.9,0.0,5.9,0.0,0.0,0.0,540.9,5.4,
2013,1,TGM,15E,Loamy,NonMCLO,1,4,20,685.1,0.0,2.2,18.8,28.0,0.0,685.1,6.5,
2013,1,TGM,15E,Loamy,NonMCLO,2,1,10,430.6,0.0,250.3,0.0,1.6,0.0,430.6,0.0,
2013,1,TGM,15E,Loamy,NonMCLO,2,1,20,569.4,0.0,0.0,171.7,74.8,0.0,569.4,2.2,
2013,1,TGM,15E,Loamy,NonMCLO,2,4,10,525.8,183.0,9.1,0.0,35.5,0.0,708.8,4.3,
2013,1,TGM,15E,Loamy,NonMCLO,2,4,20,515.6,0.0,0.0,0.0,40.4,0.0,515.6,4.8,
2013,1,TGM,15E,Loamy,NonMCLO,3,1,10,331.5,0.0,0.0,122.7,0.0,0.0,331.5,7.5,
2013,1,TGM,15E,Loamy,NonMCLO,3,4,10,262.6,0.0,0.0,51.7,62.4,0.0,262.6,4.8,
2013,1,TGM,15E,Loamy,NonMCLO,3,4,20,585.6,0.0,101.2,87.7,0.0,1107.6,585.6,14.5,
2013,1,TGM,15E,Loamy,NonMCLO,4,1,10,566.7,0.0,16.7,91.5,18.3,0.0,566.7,8.6,
2013,1,TGM,15E,Loamy,NonMCLO,4,1,20,425.2,0.0,9.7,165.2,105.5,0.0,425.2,7.5,
2013,1,TGM,15E,Loamy,NonMCLO,4,4,10,896.6,0.0,107.6,160.4,28.0,0.0,896.6,4.8,
2013,1,TGM,15E,Loamy,NonMCLO,4,4,20,599.0,0.0,0.0,0.0,36.6,0.0,599.0,3.8,
2013,2,AGM,21N,Loamy,NonMCLO,1,1,10,334.8,18.3,0.0,133.5,11.3,0.0,353.1,62.4,
2013,2,AGM,21N,Loamy,NonMCLO,1,1,20,277.2,19.4,0.0,0.0,0.0,0.0,296.5,20.5,
2013,2,AGM,21N,Loamy,NonMCLO,1,4,10,315.9,0.0,0.0,44.7,67.8,225.0,315.9,17.2,
2013,2,AGM,21N,Loamy,NonMCLO,1,4,20,297.1,117.9,0.0,9.7,24.2,0.0,414.9,4.8,
2013,2,AGM,21N,Loamy,NonMCLO,2,1,10,446.7,0.0,0.0,4.3,8.1,0.0,446.7,43.6,
2013,2,AGM,21N,Loamy,NonMCLO,2,1,20,585.0,0.0,0.0,98.0,3.8,0.0,585.0,50.6,
2013,2,AGM,21N,Loamy,NonMCLO,2,4,20,1018.8,0.0,50.6,3.8,28.0,0.0,1018.8,29.1,
2013,2,AGM,21N,Loamy,NonMCLO,3,1,10,376.7,24.2,0.0,178.1,31.8,0.0,401.0,45.7,
