Concatenate,Year,Pasture Name,Pasture,Treatment,Herd,Week,Date,Rotation,Crude Protein (%),DOM(%),DOM/CP,Fecal Nitrogen (%),Fecal Phosphorus (%),Tag #'s,Notes,Ecological Site,Julian Day,Precip(mm),HerdTreat,WOY,DOY,Phase
2014_20NW_AGM_CARM_1,2014,Elm,20NW,CARM,CARM,1,2014-05-23T00:00:00Z,1,11.62,64.88,5.6,2.01,0.2,NA,NA,Sandy,NA,NA,NA,20,142,1-early
2014_20NW_AGM_CARM_2,2014,Elm,20NW,CARM,CARM,2,2014-05-30T00:00:00Z,1,10.35,63.86,6.2,1.81,0.16,NA,NA,Sandy,NA,NA,NA,21,149,1-early
2014_18S_AGM_CARM_3,2014,Snowfence,18S,CARM,CARM,3,2014-06-06T00:00:00Z,2,12.63,64.73,5.1,1.94,0.27,NA,NA,Sandy,NA,NA,NA,22,156,1-early
2014_18S_AGM_CARM_4,2014,Snowfence,18S,CARM,CARM,4,2014-06-13T00:00:00Z,2,10.87,63.73,5.9,1.63,0.14,NA,NA,Sandy,NA,NA,NA,23,163,1-early
2014_18S_AGM_CARM_5,2014,Snowfence,18S,CARM,CARM,5,2014-06-20T00:00:00Z,2,10.03,62.63,6.2,1.32,0.17,NA,NA,Sandy,NA,NA,NA,24,170,1-early
2014_7SE_AGM_CARM_6,2014,Headquarters,7SE,CARM,CARM,6,2014-06-27T00:00:00Z,3,11.2,63.21,5.6,1.19,0.23,NA,NA,Mixed,NA,NA,NA,25,177,1-early
2014_7SE_AGM_CARM_7,2014,Headquarters,7SE,CARM,CARM,7,2014-07-03T00:00:00Z,3,7.77,61.61,7.9,1.22,0.02,NA,NA,Mixed,NA,NA,NA,26,183,2-middle
2014_7SE_AGM_CARM_8,2014,Headquarters,7SE,CARM,CARM,8,2014-07-08T00:00:00Z,3,8.38,62.83,7.5,1.26,0.12,NA,NA,Mixed,NA,NA,NA,27,188,2-middle
2014_8E_AGM_CARM_9,2014,Ridgeline,8E,CARM,CARM,9,2014-07-15T00:00:00Z,4,8.71,64.75,7.4,1.22,0.13,NA,NA,Mixed,NA,NA,NA,28,195,2-middle
2014_8E_AGM_CARM_10,2014,Ridgeline,8E,CARM,CARM,10,2014-07-23T00:00:00Z,4,7.27,62.58,8.6,1.05,0,NA,NA,Mixed,NA,NA,NA,29,203,2-middle
