ID,Year,Week of grazing season,Treatment,CP,DOM,sampling date,CARM pasture,PastureID,Week_in_Pasture
1,2014,1,CARM,11.62,64.88,5/23/2014 0:00,Elm,20NW,1
2,2014,1,TRM,13.37,65.7,5/23/2014 0:00,Elm,20SE,1
3,2014,2,CARM,10.35,63.86,5/30/2014 0:00,Elm,20NW,2
4,2014,2,TRM,14.69,65.65,5/30/2014 0:00,Elm,20SE,2
5,2014,3,CARM,12.63,64.73,6/6/2014 0:00,Snowfence,18S,1
6,2014,3,TRM,13.79,66.26,6/6/2014 0:00,Snowfence,19N,1
7,2014,4,CARM,10.87,63.73,6/13/2014 0:00,Snowfence,18S,2
8,2014,4,TRM,13.01,67.7,6/13/2014 0:00,Snowfence,19N,2
9,2014,5,CARM,10.03,62.63,6/20/2014 0:00,Snowfence,18S,3
10,2014,5,TRM,13.1,64.42,6/20/2014 0:00,Snowfence,19N,3
11,2014,6,CARM,11.2,63.21,6/27/2014 0:00,Headquarters,7SE,1
12,2014,6,TRM,10.86,65.27,6/27/2014 0:00,Headquarters,7NW,1
13,2014,7,CARM,7.77,61.61,7/3/2014 0:00,Headquarters,7SE,2
14,2014,7,TRM,9.93,64.5,7/3/2014 0:00,Headquarters,7NW,2
15,2014,8,CARM,8.38,62.83,7/8/2014 0:00,Headquarters,7SE,3
16,2014,8,TRM,8.03,60.83,7/8/2014 0:00,Headquarters,7NW,3
17,2014,9,CARM,8.71,64.75,7/15/2014 0:00,Ridgeline,8E,1
18,2014,9,TRM,9.42,63.56,7/15/2014 0:00,Ridgeline,5E,1
19,2014,10,CARM,7.27,62.58,7/23/2014 0:00,Ridgeline,8E,2
20,2014,10,TRM,8.29,62,7/23/2014 0:00,Ridgeline,5E,2
21,2014,11,CARM,8.07,62.91,7/29/2014 0:00,Saltflat,17S,1
22,2014,11,TRM,8.54,62.12,7/29/2014 0:00,Saltflat,17N,1
23,2014,12,CARM,7.42,61.16,8/5/2014 0:00,Saltflat,17S,2
24,2014,12,TRM,7.72,62.11,8/5/2014 0:00,Saltflat,17N,2
25,2014,13,CARM,5.85,59.55,8/12/2014 0:00,Saltflat,17S,3
26,2014,13,TRM,8.09,61.82,8/12/2014 0:00,Saltflat,17N,3
27,2014,14,CARM,5.6,61.93,8/18/2014 0:00,Saltflat,17S,4
28,2014,14,TRM,7.1,63.27,8/18/2014 0:00,Saltflat,17N,4
29,2014,15,CARM,9.31,61.25,8/26/2014 0:00,Crossroads,25NW,1
30,2014,15,TRM,7.98,60.86,8/26/2014 0:00,Crossroads,25SE,1
31,2014,16,CARM,6.93,58.94,9/2/2014 0:00,Crossroads,25NW,2
