Pasture,Date,Plot,Reading #,High,Low,Spp,G_B,Screen1
20NW,5-16-2014,1,1,18,4,stco,b,0
20NW,5-16-2014,1,2,22,10,stco,b,0
20NW,5-16-2014,1,3,12,5,stco,g,0
20NW,5-16-2014,1,4,20,12,stco,b,0
20NW,5-16-2014,1,5,18,8,oppo,b,1
20NW,5-16-2014,1,6,10,4,stco,g,0
20NW,5-16-2014,1,7,24,6,stco,b,0
20NW,5-16-2014,1,8,12,4,stco,g,0
20NW,5-16-2014,1,9,6,5,bogr,g,0
20NW,5-16-2014,1,10,16,10,arlo,b,1
20NW,5-16-2014,1,11,18,6,stco,b,0
20NW,5-16-2014,1,12,12,4,stco,g,0
20NW,5-16-2014,1,13,16,8,stco,g,0
20NW,5-16-2014,1,14,16,4,bogr,g,0
20NW,5-16-2014,1,15,20,4,oppo,b,1
20NW,5-16-2014,1,16,4,3,bogr,g,0
20NW,5-16-2014,1,17,11,6,stco,g,0
20NW,5-16-2014,1,18,10,6,stco,g,0
20NW,5-16-2014,1,19,3,2,bogr,g,0
20NW,5-16-2014,1,20,16,6,stco,g,0
20NW,5-16-2014,1,21,2,1,bogr,g,0
20NW,5-16-2014,1,22,20,10,stco,b,0
20NW,5-16-2014,1,23,20,16,stco,b,0
20NW,5-16-2014,1,24,17,12,stco,b,0
20NW,5-16-2014,1,25,14,10,stco,g,0
20NW,5-16-2014,2,1,18,8,stco,g,0
20NW,5-16-2014,2,2,8,4,stco,g,0
20NW,5-16-2014,2,3,16,6,stco,g,0
20NW,5-16-2014,2,4,14,10,stco,b,0
20NW,5-16-2014,2,5,26,14,stco,b,0
20NW,5-16-2014,2,6,14,10,stco,g,0
20NW,5-16-2014,2,7,6,4,bogr,g,0
20NW,5-16-2014,2,8,8,4,bogr,g,0
20NW,5-16-2014,2,9,18,10,stco,g,0
20NW,5-16-2014,2,10,12,4,stco,g,0
20NW,5-16-2014,2,11,32,10,stco,b,0
20NW,5-16-2014,2,12,8,4,bogr,g,0
20NW,5-16-2014,2,13,12,4,bogr,g,0
20NW,5-16-2014,2,14,18,12,stco,b,0
20NW,5-16-2014,2,15,18,10,stco,g,0
20NW,5-16-2014,2,16,10,6,stco,b,0
20NW,5-16-2014,2,17,14,12,stco,g,0
20NW,5-16-2014,2,18,20,8,stco,b,0
20NW,5-16-2014,2,19,16,10,stco,g,0
20NW,5-16-2014,2,20,10,8,stco,g,0
20NW,5-16-2014,2,21,12,6,bogr,b,0
20NW,5-16-2014,2,22,8,6,stco,g,0
20NW,5-16-2014,2,23,18,10,stco,g,0
20NW,5-16-2014,2,24,16,12,stco,g,0
20NW,5-16-2014,2,25,18,8,stco,b,0
20NW,5-16-2014,3,1,30,1,stco,g,0
20NW,5-16-2014,3,2,16,3,stco,g,0
20NW,5-16-2014,3,3,5,1,vuoc,g,1
20NW,5-16-2014,3,4,4,1,vuoc,g,1
20NW,5-16-2014,3,5,15,2,vuoc,g,1
20NW,5-16-2014,3,6,3,2,bogr,g,0
20NW,5-16-2014,3,7,6,2,bogr,b,0
20NW,5-16-2014,3,8,10,2,pasm,g,0
20NW,5-16-2014,3,9,4,1,bogr,g,0
20NW,5-16-2014,3,10,2,1,bogr,g,0
20NW,5-16-2014,3,11,15,3,stco,g,0
20NW,5-16-2014,3,12,16,3,bogr,g,0
20NW,5-16-2014,3,13,10,3,stco,b,0
20NW,5-16-2014,3,14,14,4,stco,g,0
20NW,5-16-2014,3,15,16,3,stco,g,0
20NW,5-16-2014,3,16,24,2,stco,g,0
20NW,5-16-2014,3,17,6,2,vuoc,g,1
20NW,5-16-2014,3,18,20,2,stco,g,0
20NW,5-16-2014,3,19,38,3,bogr,g,0
20NW,5-16-2014,3,20,20,3,stco,b,0
20NW,5-16-2014,3,21,16,3,stco,g,0
20NW,5-16-2014,3,22,36,2,bogr,g,0
20NW,5-16-2014,3,23,24,3,stco,g,0
20NW,5-16-2014,3,24,14,4,vuoc,g,1
20NW,5-16-2014,3,25,10,2,stco,g,0
20NW,5-16-2014,4,1,14,5,stco,g,0
20NW,5-16-2014,4,2,14,5,stco,g,0
20NW,5-16-2014,4,3,26,4,bogr,g,0
20NW,5-16-2014,4,4,0,0,bare,-,0
20NW,5-16-2014,4,5,15,7,stco,b,0
20NW,5-16-2014,4,6,14,3,stco,g,0
20NW,5-16-2014,4,7,19,6,stco,g,0
20NW,5-16-2014,4,8,23,1,stco,g,0
20NW,5-16-2014,4,9,29,8,stco,g,0
20NW,5-16-2014,4,10,15,3,stco,g,0
20NW,5-16-2014,4,11,23,2,stco,g,0
20NW,5-16-2014,4,12,14,2,stco,g,0
20NW,5-16-2014,4,13,11,2,bogr,g,0
20NW,5-16-2014,4,14,20,2,stco,b,0
20NW,5-16-2014,4,15,16,5,vuoc,g,1
20NW,5-16-2014,4,16,8,3,stco,g,0
20NW,5-16-2014,4,17,20,8,stco,b,0
20NW,5-16-2014,4,18,10,3,stco,g,0
20NW,5-16-2014,4,19,19,5,bogr,g,0
20NW,5-16-2014,4,20,21,7,stco,g,0
20NW,5-16-2014,4,21,20,6,stco,g,0
20NW,5-16-2014,4,22,13,4,arlo,b,1
20NW,5-16-2014,4,23,20,3,vuoc,g,1
20NW,5-16-2014,4,24,10,3,vuoc,g,1
20NW,5-16-2014,4,25,22,3,arlo,b,1
20NW,5/27/2014,1,1,6,1,bogr,g,0
20NW,5/27/2014,1,2,21,1,stco,g,0
20NW,5/27/2014,1,3,7,2,bogr,g,0
20NW,5/27/2014,1,4,2,3,stco,g,0
20NW,5/27/2014,1,5,9,1,bogr,g,0
20NW,5/27/2014,1,6,1,2,cael,g,0
20NW,5/27/2014,1,7,21,9,stco,g,0
20NW,5/27/2014,1,8,5,1,bogr,g,0
20NW,5/27/2014,1,9,9,3,bogr,g,0
20NW,5/27/2014,1,10,20,2,stco,g,0
20NW,5/27/2014,1,11,6,1,cael,g,0
20NW,5/27/2014,1,12,11,1,stco,g,0
20NW,5/27/2014,1,13,27,4,stco,g,0
20NW,5/27/2014,1,14,29,6,stco,g,0
20NW,5/27/2014,1,15,14,6,pasm,g,0
20NW,5/27/2014,1,16,11,2,stco,g,0
20NW,5/27/2014,1,17,16,4,pasm,g,0
20NW,5/27/2014,1,18,29,8,stco,b,0
20NW,5/27/2014,1,19,14,5,pasm,g,0
20NW,5/27/2014,1,20,17,3,stco,g,0
20NW,5/27/2014,1,21,9,2,bogr,g,0
20NW,5/27/2014,1,22,9,3,bogr,g,0
20NW,5/27/2014,1,23,11,2,cael,g,0
20NW,5/27/2014,1,24,9,2,bogr,g,0
20NW,5/27/2014,1,25,12,2,bogr,g,0
20NW,5/27/2014,2,1,5,1,bogr,g,0
20NW,5/27/2014,2,2,16,4,vuoc,b,1
20NW,5/27/2014,2,3,20,1,stco,g,0
20NW,5/27/2014,2,4,19,1,crmi,g,0
20NW,5/27/2014,2,5,15,3,vuoc,g,1
20NW,5/27/2014,2,6,41,1,spcr,b,0
20NW,5/27/2014,2,7,28,2,stco,g,0
20NW,5/27/2014,2,8,15,1,stco,g,0
20NW,5/27/2014,2,9,21,2,pasm,g,0
20NW,5/27/2014,2,10,15,5,stco,b,0
20NW,5/27/2014,2,11,12,3,bogr,g,0
20NW,5/27/2014,2,12,8,2,bogr,g,0
20NW,5/27/2014,2,13,29,7,stco,g,0
20NW,5/27/2014,2,14,28,9,stco,g,0
20NW,5/27/2014,2,15,9,1,cael,g,0
20NW,5/27/2014,2,16,28,9,stco,g,0
20NW,5/27/2014,2,17,38,1,stco,b,0
20NW,5/27/2014,2,18,28,1,pasm,b,0
20NW,5/27/2014,2,19,26,9,stco,b,0
20NW,5/27/2014,2,20,19,9,stco,g,0
20NW,5/27/2014,2,21,20,2,pasm,g,0
20NW,5/27/2014,2,22,38,3,pasm,b,0
20NW,5/27/2014,2,23,11,2,stco,g,0
20NW,5/27/2014,2,24,15,1,spco,g,0
20NW,5/27/2014,2,25,22,3,stco,g,0
20NW,5/27/2014,3,1,29,1,stco,g,0
20NW,5/27/2014,3,2,9,1,vuoc,g,1
20NW,5/27/2014,3,3,22,2,bogr,b,0
20NW,5/27/2014,3,4,16,2,vuoc,b,1
20NW,5/27/2014,3,5,11,4,bogr,g,0
20NW,5/27/2014,3,6,8,1,bogr,b,0
20NW,5/27/2014,3,7,24,3,stco,b,0
20NW,5/27/2014,3,8,28,9,stco,g,0
20NW,5/27/2014,3,9,25,1,stco,b,0
20NW,5/27/2014,3,10,19,5,stco,g,0
20NW,5/27/2014,3,11,16,9,stco,g,0
20NW,5/27/2014,3,12,29,3,stco,g,0
20NW,5/27/2014,3,13,18,9,stco,g,0
20NW,5/27/2014,3,14,11,2,vuoc,g,1
20NW,5/27/2014,3,15,27,9,stco,g,0
20NW,5/27/2014,3,16,13,2,bogr,g,0
20NW,5/27/2014,3,17,19,1,vuoc,g,1
20NW,5/27/2014,3,18,15,3,bogr,g,0
20NW,5/27/2014,3,19,11,4,vuoc,g,1
20NW,5/27/2014,3,20,29,3,stco,g,0
20NW,5/27/2014,3,21,30,1,stco,g,0
20NW,5/27/2014,3,22,19,3,stco,b,0
20NW,5/27/2014,3,23,34,7,stco,g,0
20NW,5/27/2014,3,24,20,1,bogr,b,0
20NW,5/27/2014,3,25,20,7,vuoc,b,1
20NW,5/27/2014,4,1,32,5,stco,g,0
20NW,5/27/2014,4,2,15,3,stco,g,0
20NW,5/27/2014,4,3,24,7,stco,g,0
20NW,5/27/2014,4,4,29,3,stco,g,0
20NW,5/27/2014,4,5,15,1,bogr,g,0
20NW,5/27/2014,4,6,24,3,bogr,g,0
20NW,5/27/2014,4,7,28,8,stco,g,0
20NW,5/27/2014,4,8,29,5,vuoc,g,1
20NW,5/27/2014,4,9,34,6,stco,g,0
20NW,5/27/2014,4,10,37,4,stco,g,0
20NW,5/27/2014,4,11,31,9,stco,g,0
20NW,5/27/2014,4,12,22,5,stco,g,0
20NW,5/27/2014,4,13,26,3,stco,g,0
20NW,5/27/2014,4,14,22,2,ecvi,g,0
20NW,5/27/2014,4,15,29,5,stco,g,0
20NW,5/27/2014,4,16,18,4,stco,g,0
20NW,5/27/2014,4,17,15,2,stco,g,0
20NW,5/27/2014,4,18,19,2,arlo,b,1
20NW,5/27/2014,4,19,19,3,bogr,g,0
20NW,5/27/2014,4,20,29,4,stco,g,0
20NW,5/27/2014,4,21,37,9,stco,g,0
20NW,5/27/2014,4,22,18,8,stco,g,0
20NW,5/27/2014,4,23,34,9,stco,g,0
20NW,5/27/2014,4,24,22,6,stco,g,0
20NW,5/27/2014,4,25,15,8,vuoc,g,1
20NW,5/30/2014,1,1,12,2,pasm,g,0
20NW,5/30/2014,1,2,4,1,bogr,g,0
20NW,5/30/2014,1,3,21,3,stco,g,0
20NW,5/30/2014,1,4,20,2,bogr,g,0
20NW,5/30/2014,1,5,7,1,bogr,g,0
20NW,5/30/2014,1,6,12,2,stco,g,0
20NW,5/30/2014,1,7,8,1,bogr,g,0
20NW,5/30/2014,1,8,11,2,bogr,g,0
20NW,5/30/2014,1,9,10,3,pasm,g,0
20NW,5/30/2014,1,10,13,1,stco,g,0
20NW,5/30/2014,1,11,24,5,stco,g,0
20NW,5/30/2014,1,12,24,8,stco,g,0
20NW,5/30/2014,1,13,32,3,pasm,g,0
20NW,5/30/2014,1,14,11,3,bogr,g,0
20NW,5/30/2014,1,15,19,4,oppo,g,1
20NW,5/30/2014,1,16,11,2,pasm,g,0
20NW,5/30/2014,1,17,12,2,pasm,g,0
20NW,5/30/2014,1,18,16,1,pasm,g,0
20NW,5/30/2014,1,19,11,2,pasm,g,0
20NW,5/30/2014,1,20,31,5,stco,g,0
20NW,5/30/2014,1,21,9,3,bogr,g,0
20NW,5/30/2014,1,22,8,3,cael,g,0
20NW,5/30/2014,1,23,8,3,bogr,g,0
