Pasture,Date,Plot,Reading_No,High,Low,Spp,G_B,Screen1,Adj_Low
18S,5/21/2015,1,1,30,5,bogr,b,0,5
18S,5/21/2015,1,2,24,5,atca,b,0,5
18S,5/21/2015,1,3,23,2,bogr,b,0,2
18S,5/21/2015,1,4,11,2,oppo,b,1,
18S,5/21/2015,1,5,21,2,bogr,b,0,2
18S,5/21/2015,1,6,29,5,pasm,b,0,5
18S,5/21/2015,1,7,18,4,thfi,b,0,4
18S,5/21/2015,1,8,26,5,oppo,b,1,
18S,5/21/2015,1,9,26,2,bogr,b,0,2
18S,5/21/2015,1,10,37,9,oppo,b,1,
18S,5/21/2015,1,11,35,2,bogr,b,0,2
18S,5/21/2015,1,12,19,6,sihy,b,0,6
18S,5/21/2015,1,13,38,9,atca,b,0,9
18S,5/21/2015,1,14,58,15,atca,b,0,15
18S,5/21/2015,1,15,15,8,sihy,b,0,8
18S,5/21/2015,1,16,36,5,stco,b,0,5
18S,5/21/2015,1,17,20,4,bogr,b,0,4
18S,5/21/2015,1,18,44,5,sihy,b,0,5
18S,5/21/2015,1,19,18,1,bogr,b,0,1
18S,5/21/2015,1,20,22,5,stco,b,0,5
18S,5/21/2015,1,21,29,9,stco,b,0,9
18S,5/21/2015,1,22,72,5,atca,b,0,5
18S,5/21/2015,1,23,20,5,sihy,b,0,5
18S,5/21/2015,1,24,52,8,stco,b,0,8
18S,5/21/2015,1,25,24,7,eref,b,1,
18S,5/21/2015,2,1,15,8,stco,b,0,8
18S,5/21/2015,2,2,29,3,stco,b,0,3
18S,5/21/2015,2,3,39,3,sihy,b,0,3
18S,5/21/2015,2,4,28,9,stco,b,0,9
18S,5/21/2015,2,5,26,7,stco,b,0,7
18S,5/21/2015,2,6,36,8,stco,b,0,8
18S,5/21/2015,2,7,32,11,stco,b,0,11
18S,5/21/2015,2,8,7,5,stco,b,0,5
18S,5/21/2015,2,9,11,3,bogr,b,0,3
18S,5/21/2015,2,10,23,9,stco,b,0,9
18S,5/21/2015,2,11,14,8,stco,b,0,8
18S,5/21/2015,2,12,21,5,stco,b,0,5
18S,5/21/2015,2,13,44,4,stco,b,0,4
18S,5/21/2015,2,14,51,19,atca,b,0,19
18S,5/21/2015,2,15,26,3,stco,b,0,3
18S,5/21/2015,2,16,46,11,stco,b,0,11
18S,5/21/2015,2,17,32,3,oppo,b,1,
18S,5/21/2015,2,18,34,9,stco,b,0,9
18S,5/21/2015,2,19,29,10,stco,b,0,10
18S,5/21/2015,2,20,28,3,stco,b,0,3
18S,5/21/2015,2,21,16,3,stco,b,0,3
18S,5/21/2015,2,22,34,9,stco,b,0,9
18S,5/21/2015,2,23,20,5,stco,b,0,5
18S,5/21/2015,2,24,14,1,stco,b,0,1
18S,5/21/2015,2,25,20,3,stco,b,0,3
18S,5/21/2015,3,1,30,9,eref,b,1,
18S,5/21/2015,3,2,24,6,sihy,b,0,6
18S,5/21/2015,3,3,24,3,oppo,b,1,
18S,5/21/2015,3,4,31,2,pasm,b,0,2
18S,5/21/2015,3,5,25,3,oppo,b,1,
18S,5/21/2015,3,6,15,3,oppo,b,1,
18S,5/21/2015,3,7,13,3,bogr,b,0,3
18S,5/21/2015,3,8,62,7,pasm,b,0,7
18S,5/21/2015,3,9,28,2,pasm,b,0,2
18S,5/21/2015,3,10,10,1,bogr,b,0,1
18S,5/21/2015,3,11,22,2,stco,b,0,2
18S,5/21/2015,3,12,21,1,bogr,b,0,1
18S,5/21/2015,3,13,32,4,pasm,b,0,4
18S,5/21/2015,3,14,31,1,bogr,b,0,1
18S,5/21/2015,3,15,38,4,pasm,b,0,4
18S,5/21/2015,3,16,34,3,bogr,b,0,3
18S,5/21/2015,3,17,11,7,oppo,b,1,
18S,5/21/2015,3,18,12,2,pasm,b,0,2
18S,5/21/2015,3,19,48,9,pasm,b,0,9
18S,5/21/2015,3,20,16,3,pasm,b,0,3
18S,5/21/2015,3,21,22,4,pasm,b,0,4
18S,5/21/2015,3,22,16,2,stco,b,0,2
18S,5/21/2015,3,23,51,5,oppo,b,1,
18S,5/21/2015,3,24,49,10,pasm,b,0,10
18S,5/21/2015,3,25,14,3,pasm,b,0,3
18S,5/21/2015,4,1,32,3,pasm,b,0,3
18S,5/21/2015,4,2,9,1,bogr,b,0,1
18S,5/21/2015,4,3,21,5,stco,b,0,5
18S,5/21/2015,4,4,44,8,stco,b,0,8
18S,5/21/2015,4,5,21,5,pasm,b,0,5
18S,5/21/2015,4,6,21,2,bogr,b,0,2
18S,5/21/2015,4,7,19,3,stco,b,0,3
18S,5/21/2015,4,8,21,7,stco,b,0,7
18S,5/21/2015,4,9,19,5,stco,b,0,5
18S,5/21/2015,4,10,34,5,stco,b,0,5
18S,5/21/2015,4,11,28,5,stco,b,0,5
18S,5/21/2015,4,12,48,2,cael,b,0,2
18S,5/21/2015,4,13,14,2,bogr,b,0,2
18S,5/21/2015,4,14,25,5,stco,b,0,5
18S,5/21/2015,4,15,21,2,bogr,b,0,2
18S,5/21/2015,4,16,20,7,sihy,b,0,7
18S,5/21/2015,4,17,14,3,bogr,b,0,3
18S,5/21/2015,4,18,21,8,pasm,b,0,8
18S,5/21/2015,4,19,21,2,bogr,b,0,2
18S,5/21/2015,4,20,8,1,cael,b,0,1
18S,5/21/2015,4,21,18,2,pasm,b,0,2
18S,5/21/2015,4,22,22,7,pasm,b,0,7
18S,5/21/2015,4,23,51,7,stco,b,0,7
18S,5/21/2015,4,24,10,1,bogr,b,0,1
18S,5/21/2015,4,25,9,3,bogr,b,0,3
18S,5/27/2015,1,1,26,6,oppo,b,1,
18S,5/27/2015,1,2,26,6,stco,b,0,6
18S,5/27/2015,1,3,26,4,oppo,b,1,
18S,5/27/2015,1,4,26,3,bogr,b,0,3
18S,5/27/2015,1,5,30,8,atca,b,0,8
18S,5/27/2015,1,6,28,3,stco,b,0,3
18S,5/27/2015,1,7,18,2,pasm,b,0,2
18S,5/27/2015,1,8,15,2,bogr,b,0,2
18S,5/27/2015,1,9,11,1,bogr,g,0,1
18S,5/27/2015,1,10,8,3,bogr,g,0,3
18S,5/27/2015,1,11,32,4,stco,b,0,4
18S,5/27/2015,1,12,20,2,bogr,b,0,2
18S,5/27/2015,1,13,32,5,stco,g,0,5
18S,5/27/2015,1,14,30,3,bogr,b,0,3
18S,5/27/2015,1,15,3,1,bogr,g,0,1
18S,5/27/2015,1,16,13,3,stco,g,0,3
18S,5/27/2015,1,17,23,5,stco,b,0,5
18S,5/27/2015,1,18,24,2,atca,g,0,2
18S,5/27/2015,1,19,26,2,stco,b,0,2
18S,5/27/2015,1,20,52,15,atca,g,0,15
18S,5/27/2015,1,21,24,9,stco,b,0,9
18S,5/27/2015,1,22,24,3,stco,b,0,3
18S,5/27/2015,1,23,17,5,bogr,g,0,5
18S,5/27/2015,1,24,20,3,stco,b,0,3
18S,5/27/2015,1,25,43,9,stco,b,0,9
18S,5/27/2015,2,1,16,8,stco,g,0,8
18S,5/27/2015,2,2,32,5,stco,b,0,5
18S,5/27/2015,2,3,25,5,stco,b,0,5
18S,5/27/2015,2,4,32,10,stco,b,0,10
18S,5/27/2015,2,5,24,7,vuoc,b,1,
18S,5/27/2015,2,6,46,11,stco,b,0,11
