Week,Pasture,Date,Plot,Reading_No,High,Low,Spp,G_B,Screen1,Adj_Low,Biomass_lbs_ac
1,8E,4/12/2016,1,1,22,3,bogr,b,0,3,704.079
1,8E,4/12/2016,1,2,27,3,atca,b,0,3,704.079
1,8E,4/12/2016,1,3,22,1,pasm,b,0,1,234.693
1,8E,4/12/2016,1,4,20,5,bogr,b,0,5,1173.465
1,8E,4/12/2016,1,5,24,3,bogr,b,0,3,704.079
1,8E,4/12/2016,1,6,12,2,bogr,b,0,2,469.386
1,8E,4/12/2016,1,7,20,2,bogr,b,0,2,469.386
1,8E,4/12/2016,1,8,21,1,bogr,b,0,1,234.693
1,8E,4/12/2016,1,9,14,2,bogr,b,0,2,469.386
1,8E,4/12/2016,1,10,6,1,bogr,b,0,1,234.693
1,8E,4/12/2016,1,11,16,1,bogr,b,0,1,234.693
1,8E,4/12/2016,1,12,17,2,bogr,b,0,2,469.386
1,8E,4/12/2016,1,13,27,5,oppo,b,1,,
1,8E,4/12/2016,1,14,22,10,pasm,b,0,10,2346.93
1,8E,4/12/2016,1,15,22,2,pasm,b,0,2,469.386
1,8E,4/12/2016,1,16,24,8,pasm,b,0,8,1877.544
1,8E,4/12/2016,1,17,20,5,pasm,b,0,5,1173.465
1,8E,4/12/2016,1,18,19,3,bogr,b,0,3,704.079
1,8E,4/12/2016,1,19,17,1,bogr,b,0,1,234.693
1,8E,4/12/2016,1,20,24,3,bogr,b,0,3,704.079
1,8E,4/12/2016,1,21,19,2,bogr,b,0,2,469.386
1,8E,4/12/2016,1,22,22,2,pasm,b,0,2,469.386
1,8E,4/12/2016,1,23,21,5,pasm,b,0,5,1173.465
1,8E,4/12/2016,1,24,19,3,pasm,b,0,3,704.079
1,8E,4/12/2016,1,25,26,4,bogr,b,0,4,938.772
1,8E,4/12/2016,2,1,29,1,heco,b,0,1,234.693
1,8E,4/12/2016,2,2,22,1,bogr,b,0,1,234.693
1,8E,4/12/2016,2,3,18,3,bogr,b,0,3,704.079
1,8E,4/12/2016,2,4,28,2,pasm,b,0,2,469.386
1,8E,4/12/2016,2,5,21,8,pasm,b,0,8,1877.544
1,8E,4/12/2016,2,6,19,2,bogr,b,0,2,469.386
1,8E,4/12/2016,2,7,13,2,bogr,b,0,2,469.386
1,8E,4/12/2016,2,8,21,2,bogr,b,0,2,469.386
1,8E,4/12/2016,2,9,14,0,cadu,b,0,0,0
1,8E,4/12/2016,2,10,7,1,oppo,b,1,,
1,8E,4/12/2016,2,11,22,3,bogr,b,0,3,704.079
1,8E,4/12/2016,2,12,28,3,bogr,b,0,3,704.079
1,8E,4/12/2016,2,13,22,2,bogr,b,0,2,469.386
1,8E,4/12/2016,2,14,36,1,bogr,b,0,1,234.693
1,8E,4/12/2016,2,15,24,1,bogr,b,0,1,234.693
1,8E,4/12/2016,2,16,22,1,bogr,b,0,1,234.693
1,8E,4/12/2016,2,17,21,1,bogr,b,0,1,234.693
1,8E,4/12/2016,2,18,22,1,bogr,b,0,1,234.693
1,8E,4/12/2016,2,19,23,1,bogr,b,0,1,234.693
1,8E,4/12/2016,2,20,25,4,bogr,b,0,4,938.772
1,8E,4/12/2016,2,21,21,1,bogr,b,0,1,234.693
