Week,Pasture,Date,Plot,Reading_No,High,Low,Spp,G_B,V_E_F,G_UG,Screen1,Adj_Low,Biomass_lbs_ac
1,18S,5/9/2017,1,1,10,4,bogr,b,,,0,4,938.772
1,18S,5/9/2017,1,2,9,4,oppo,g,,,1,,
1,18S,5/9/2017,1,3,17,4,bogr,g,,,0,4,938.772
1,18S,5/9/2017,1,4,16,7,oppo,g,,,1,,
1,18S,5/9/2017,1,5,7,2,litt,b,,,0,2,469.386
1,18S,5/9/2017,1,6,14,4,bogr,g,,,0,4,938.772
1,18S,5/9/2017,1,7,14,6,oppo,g,,,1,,
1,18S,5/9/2017,1,8,14,6,oppo,g,,,1,,
1,18S,5/9/2017,1,9,14,7,oppo,g,,,1,,
1,18S,5/9/2017,1,10,18,6,trdu,g,,,0,6,1408.158
1,18S,5/9/2017,1,11,4,1,bogr,g,,,0,1,234.693
1,18S,5/9/2017,1,12,10,2,oppo,g,,,1,,
1,18S,5/9/2017,1,13,7,3,litt,b,,,0,3,704.079
1,18S,5/9/2017,1,14,8,2,bogr,g,,,0,2,469.386
1,18S,5/9/2017,1,15,14,2,litt,b,,,0,2,469.386
1,18S,5/9/2017,1,16,18,7,bogr,g,v,ug,0,7,1642.851
1,18S,5/9/2017,1,17,10,3,heco,g,v,ug,0,3,704.079
1,18S,5/9/2017,1,18,4,2,litt,b,,,0,2,469.386
1,18S,5/9/2017,1,19,10,5,bogr,g,,,0,5,1173.465
1,18S,5/9/2017,1,20,12,4,arfr,g,,,1,,
1,18S,5/9/2017,1,21,38,5,atca,b,,,1,,
1,18S,5/9/2017,1,22,13,2,elel,g,,,0,2,469.386
1,18S,5/9/2017,1,23,24,4,heco,b,v,ug,0,4,938.772
1,18S,5/9/2017,1,24,10,1,heco,g,,,0,1,234.693
1,18S,5/9/2017,1,25,9,3,heco,b,,,0,3,704.079
1,18S,5/9/2017,2,1,14,10,heco,g,v,ug,0,10,2346.93
1,18S,5/9/2017,2,2,11,2,heco,b,e,ug,0,2,469.386
1,18S,5/9/2017,2,3,24,6,heco,b,,,0,6,1408.158
1,18S,5/9/2017,2,4,13,5,heco,g,v,ug,0,5,1173.465
1,18S,5/9/2017,2,5,16,6,heco,b,,,0,6,1408.158
1,18S,5/9/2017,2,6,28,10,heco,b,v,ug,0,10,2346.93
1,18S,5/9/2017,2,7,14,3,heco,b,e,ug,0,3,704.079
1,18S,5/9/2017,2,8,14,4,heco,g,v,ug,0,4,938.772
1,18S,5/9/2017,2,9,11,5,heco,g,v,ug,0,5,1173.465
1,18S,5/9/2017,2,10,10,2,heco,g,v,ug,0,2,469.386
1,18S,5/9/2017,2,11,10,6,heco,b,,,0,6,1408.158
1,18S,5/9/2017,2,12,6,4,heco,g,,,0,4,938.772
1,18S,5/9/2017,2,13,8,3,heco,g,v,ug,0,3,704.079
1,18S,5/9/2017,2,14,18,8,heco,b,,,0,8,1877.544
1,18S,5/9/2017,2,15,9,2,heco,g,,,0,2,469.386
1,18S,5/9/2017,2,16,18,7,heco,b,,,0,7,1642.851
1,18S,5/9/2017,2,17,8,3,bogr,g,,,0,3,704.079
1,18S,5/9/2017,2,18,8,3,heco,g,,,0,3,704.079
1,18S,5/9/2017,2,19,18,4,heco,b,v,g,0,4,938.772
1,18S,5/9/2017,2,20,20,10,heco,b,v,ug,0,10,2346.93
1,18S,5/9/2017,2,21,8,4,heco,g,v,ug,0,4,938.772
1,18S,5/9/2017,2,22,4,2,cadu,g,v,ug,0,2,469.386
1,18S,5/9/2017,2,23,8,5,bogr,g,,,0,5,1173.465
1,18S,5/9/2017,2,24,4,2,cadu,g,,,0,2,469.386
1,18S,5/9/2017,2,25,6,0,bare,b,,,0,0,0
1,18S,5/9/2017,3,1,20,9,heco,b,v,ug,0,9,2112.237
1,18S,5/9/2017,3,2,17,1,litt,b,v,ug,0,1,234.693
1,18S,5/9/2017,3,3,16,7,pasm,g,,,0,7,1642.851
1,18S,5/9/2017,3,4,23,8,oppo,b,,,1,,
1,18S,5/9/2017,3,5,13,4,pasm,g,,,0,4,938.772
1,18S,5/9/2017,3,6,10,4,bogr,g,,,0,4,938.772
1,18S,5/9/2017,3,7,29,9,heco,b,,,0,9,2112.237
1,18S,5/9/2017,3,8,18,3,pasm,g,,,0,3,704.079
1,18S,5/9/2017,3,9,23,2,bogr,b,,,0,2,469.386
1,18S,5/9/2017,3,10,21,8,oppo,b,,,1,,
1,18S,5/9/2017,3,11,8,2,pasm,g,,,0,2,469.386
1,18S,5/9/2017,3,12,32,10,heco,b,v,ug,0,10,2346.93
1,18S,5/9/2017,3,13,14,7,pasm,b,,,0,7,1642.851
1,18S,5/9/2017,3,14,4,2,bogr,g,,,0,2,469.386
1,18S,5/9/2017,3,15,4,3,oppo,g,,,1,,
1,18S,5/9/2017,3,16,11,2,litt,b,v,ug,0,2,469.386
1,18S,5/9/2017,3,17,33,6,cadu,b,,,0,6,1408.158
1,18S,5/9/2017,3,18,12,8,pasm,g,,,0,8,1877.544
1,18S,5/9/2017,3,19,14,2,bogr,b,,,0,2,469.386
1,18S,5/9/2017,3,20,24,10,heco,b,v,ug,0,10,2346.93
1,18S,5/9/2017,3,21,18,6,pasm,b,,,0,6,1408.158
1,18S,5/9/2017,3,22,21,10,pasm,b,,,0,10,2346.93
1,18S,5/9/2017,3,23,24,10,pasm,g,,,0,10,2346.93
1,18S,5/9/2017,3,24,15,9,heco,g,,,0,9,2112.237
1,18S,5/9/2017,3,25,30,4,pasm,g,,,0,4,938.772
1,18S,5/9/2017,4,1,17,10,pasm,g,,,0,10,2346.93
1,18S,5/9/2017,4,2,14,8,pasm,b,,,0,8,1877.544
1,18S,5/9/2017,4,3,13,8,oppo,g,v,ug,1,,
1,18S,5/9/2017,4,4,22,8,pasm,g,,,0,8,1877.544
1,18S,5/9/2017,4,5,8,5,heco,g,v,ug,0,5,1173.465
1,18S,5/9/2017,4,6,9,5,heco,g,v,ug,0,5,1173.465
1,18S,5/9/2017,4,7,21,5,heco,b,v,ug,0,5,1173.465
1,18S,5/9/2017,4,8,6,2,heco,g,,,0,2,469.386
1,18S,5/9/2017,4,9,16,7,heco,b,v,ug,0,7,1642.851
1,18S,5/9/2017,4,10,20,10,heco,b,,,0,10,2346.93
1,18S,5/9/2017,4,11,22,12,heco,b,,,0,12,2816.316
1,18S,5/9/2017,4,12,32,10,heco,b,v,ug,0,10,2346.93
1,18S,5/9/2017,4,13,28,8,heco,b,,,0,8,1877.544
1,18S,5/9/2017,4,14,17,4,heco,g,,,0,4,938.772
1,18S,5/9/2017,4,15,12,4,heco,g,,,0,4,938.772
1,18S,5/9/2017,4,16,8,3,cadu,g,,,0,3,704.079
1,18S,5/9/2017,4,17,11,3,heco,b,,,0,3,704.079
1,18S,5/9/2017,4,18,20,4,eref,g,,,1,,
1,18S,5/9/2017,4,19,24,3,cadu,g,,,0,3,704.079
