Week,Pasture,Date,Plot,Reading_No,High,Low,Spp,G_B,Comments,Screen1,Adj_Low,Biomass_lbs_ac
Entry,17S,5/13/2020,1,1,11,6,oppo,b,,1,,
Entry,17S,5/13/2020,1,2,18,2,cadu,b,,0,2,469.386
Entry,17S,5/13/2020,1,3,16,1,oppo,b,,1,,
Entry,17S,5/13/2020,1,4,16,5,oppo,b,,1,,
Entry,17S,5/13/2020,1,5,7,3,heco,b,,0,3,704.079
Entry,17S,5/13/2020,1,6,0,0,bare,,,0,0,0
Entry,17S,5/13/2020,1,7,15,2,bogr,b,,0,2,469.386
Entry,17S,5/13/2020,1,8,11,1,bogr,b,,0,1,234.693
Entry,17S,5/13/2020,1,9,5,1,bogr,b,,0,1,234.693
Entry,17S,5/13/2020,1,10,1,0,bare,b,,0,0,0
Entry,17S,5/13/2020,1,11,22,7,oppo,b,,1,,
Entry,17S,5/13/2020,1,12,8,2,bogr,b,,0,2,469.386
Entry,17S,5/13/2020,1,13,3,1,spcr,g,,0,1,234.693
Entry,17S,5/13/2020,1,14,3,2,bogr,b,,0,2,469.386
Entry,17S,5/13/2020,1,15,3,1,bogr,b,,0,1,234.693
Entry,17S,5/13/2020,1,16,5,3,bogr,b,,0,3,704.079
Entry,17S,5/13/2020,1,17,29,1,bogr,b,,0,1,234.693
Entry,17S,5/13/2020,1,18,15,3,bogr,b,,0,3,704.079
Entry,17S,5/13/2020,1,19,1,0,bare,g,,0,0,0
Entry,17S,5/13/2020,1,20,12,2,bogr,b,,0,2,469.386
Entry,17S,5/13/2020,1,21,20,6,oppo,b,,1,,
Entry,17S,5/13/2020,1,22,3,1,bogr,b,,0,1,234.693
Entry,17S,5/13/2020,1,23,3,1,bogr,b,,0,1,234.693
Entry,17S,5/13/2020,1,24,18,4,cafi,b,,0,4,938.772
Entry,17S,5/13/2020,1,25,3,1,bogr,b,,0,1,234.693
Entry,17S,5/13/2020,2,1,22,4,cadu,b,,0,4,938.772
Entry,17S,5/13/2020,2,2,0,0,bare,,,0,0,0
Entry,17S,5/13/2020,2,3,16,1,bogr,b,,0,1,234.693
Entry,17S,5/13/2020,2,4,21,1,bogr,b,,0,1,234.693
Entry,17S,5/13/2020,2,5,26,6,arpu,b,,1,,
Entry,17S,5/13/2020,2,6,19,1,bogr,b,,0,1,234.693
Entry,17S,5/13/2020,2,7,3,0,bare,g,,0,0,0
Entry,17S,5/13/2020,2,8,4,2,bogr,b,,0,2,469.386
Entry,17S,5/13/2020,2,9,4,2,bogr,g,,0,2,469.386
Entry,17S,5/13/2020,2,10,12,2,bogr,b,,0,2,469.386
Entry,17S,5/13/2020,2,11,4,2,bogr,g,,0,2,469.386
Entry,17S,5/13/2020,2,12,7,3,bogr,b,,0,3,704.079
Entry,17S,5/13/2020,2,13,5,2,bogr,b,,0,2,469.386
Entry,17S,5/13/2020,2,14,7,2,bogr,b,,0,2,469.386
Entry,17S,5/13/2020,2,15,12,1,bogr,b,,0,1,234.693
Entry,17S,5/13/2020,2,16,5,3,bogr,g,,0,3,704.079
Entry,17S,5/13/2020,2,17,2,1,bogr,b,,0,1,234.693
Entry,17S,5/13/2020,2,18,4,2,bogr,g,,0,2,469.386
Entry,17S,5/13/2020,2,19,16,2,bogr,b,,0,2,469.386
Entry,17S,5/13/2020,2,20,8,2,cadu,b,,0,2,469.386
Entry,17S,5/13/2020,2,21,4,2,bogr,b,,0,2,469.386
Entry,17S,5/13/2020,2,22,4,2,bogr,g,,0,2,469.386
Entry,17S,5/13/2020,2,23,5,2,bogr,g,,0,2,469.386
Entry,17S,5/13/2020,2,24,2,1,bogr,b,,0,1,234.693
