Week,Pasture,Date,Plot,Reading_No,High,Low,H.Spp,Spp,G_B,Comments,Screen1,Biomass_lbs_ac
0,20NW,05/18/2022,1,1,25,2,bogr,bogr,b,,0,907.711
0,20NW,05/18/2022,1,2,31,2,SD,bogr,b,,1,
0,20NW,05/18/2022,1,3,26,2,bogr,bogr,b,,0,937.437
0,20NW,05/18/2022,1,4,35,5,spcr,spcr,b,,0,1466.364
0,20NW,05/18/2022,1,5,16,3,bogr,bogr,b,,0,727.308
0,20NW,05/18/2022,1,6,50,5,spcr,spcr,b,,0,1912.254
0,20NW,05/18/2022,1,7,28,10,spcr,spcr,b,,0,1693.937
0,20NW,05/18/2022,1,8,40,10,spcr,heco,b,,0,2050.649
0,20NW,05/18/2022,1,9,24,8,SD,heco,b,,1,
0,20NW,05/18/2022,1,10,16,2,SD,heco,b,,1,
0,20NW,05/18/2022,1,11,62,6,pasm,spcr,b,,0,2356.097
0,20NW,05/18/2022,1,12,15,5,heco,heco,b,,0,871.844
0,20NW,05/18/2022,1,13,76,20,pasm,eref,b,,1,
0,20NW,05/18/2022,1,14,19,7,heco,heco,b,,0,1165.01
0,20NW,05/18/2022,1,15,42,12,heco,yugl,b,,1,
0,20NW,05/18/2022,1,16,54,3,SD,heco,b,hean?,1,
0,20NW,05/18/2022,1,17,57,5,SD,heco,b,,1,
0,20NW,05/18/2022,1,18,49,1,SD,cadu,b,,1,
0,20NW,05/18/2022,1,19,39,12,SD,heco,b,,1,
0,20NW,05/18/2022,1,20,48,7,SD,heco,b,,1,
0,20NW,05/18/2022,1,21,75,4,SD,yugl,b,,1,
0,20NW,05/18/2022,1,22,20,6,bogr,heco,b,,0,1107.605
0,20NW,05/18/2022,1,23,31,8,spcr,heco,b,,0,1608.853
0,20NW,05/18/2022,1,24,26,12,heco,heco,b,,0,1808.747
0,20NW,05/18/2022,1,25,20,4,spcr,heco,b,,0,933.343
0,20NW,05/18/2022,2,1,68,5,heco,heco,b,all high reads OSD,0,2447.322
0,20NW,05/18/2022,2,2,50,6,heco,heco,b,,0,1999.385
0,20NW,05/18/2022,2,3,58,9,heco,heco,b,,0,2498.586
0,20NW,05/18/2022,2,4,70,9,SD,heco,b,,1,
0,20NW,05/18/2022,2,5,40,1,heco,heco,b,,0,1266.47
0,20NW,05/18/2022,2,6,32,2,heco,heco,b,,0,1115.793
0,20NW,05/18/2022,2,7,36,3,bogr,bogr,b,,0,1321.828
0,20NW,05/18/2022,2,8,44,6,heco,arpu,b,,1,
0,20NW,05/18/2022,2,9,26,5,pasm,bogr,b,,0,1198.83
0,20NW,05/18/2022,2,10,46,5,SD,heco,b,,1,
0,20NW,05/18/2022,2,11,23,3,bogr,bogr,b,,0,935.39
0,20NW,05/18/2022,2,12,30,0,bogr,bare,b,,0,882.079
0,20NW,05/18/2022,2,13,62,1,heco,heco,b,,0,1920.442
0,20NW,05/18/2022,2,14,52,9,heco,heco,b,,0,2320.23
0,20NW,05/18/2022,2,15,36,10,heco,heco,b,,0,1931.745
0,20NW,05/18/2022,2,16,60,8,heco,heco,b,,0,2470.907
0,20NW,05/18/2022,2,17,42,4,SD,heco,b,,1,
0,20NW,05/18/2022,2,18,50,6,heco,heco,b,,0,1999.385
0,20NW,05/18/2022,2,19,76,9,heco,heco,b,,0,3033.654
0,20NW,05/18/2022,2,20,48,5,SD,spcr,b,,1,
0,20NW,05/18/2022,2,21,38,3,SD,heco,b,,1,
0,20NW,05/18/2022,2,22,33,4,bogr,heco,b,,0,1319.781
0,20NW,05/18/2022,2,23,25,2,SD,pasm,b,,1,
0,20NW,05/18/2022,2,24,22,7,heco,heco,b,,0,1254.188
0,20NW,05/18/2022,2,25,22,4,arpu,arpu,b,,1,
0,20NW,05/18/2022,3,1,37,14,heco,heco,b,tall reads OSD,0,2309.995
0,20NW,05/18/2022,3,2,37,7,heco,heco,b,,0,1700.078
0,20NW,05/18/2022,3,3,32,4,bogr,bogr,b,,0,1290.055
0,20NW,05/18/2022,3,4,27,3,bogr,bogr,b,,0,1054.294
0,20NW,05/18/2022,3,5,53,3,heco,bogr,b,,0,1827.17
0,20NW,05/18/2022,3,6,42,5,bogr,heco,b,,0,1674.446
0,20NW,05/18/2022,3,7,45,7,heco,heco,b,,0,1937.886
0,20NW,05/18/2022,3,8,17,3,heco,heco,b,,0,757.034
0,20NW,05/18/2022,3,9,3,1,heco,heco,b,,0,166.608
0,20NW,05/18/2022,3,10,31,5,SD,heco,b,,1,
0,20NW,05/18/2022,3,11,27,1,bogr,bogr,b,,0,880.032
0,20NW,05/18/2022,3,12,55,3,SD,heco,b,,1,
0,20NW,05/18/2022,3,13,21,3,SD,heco,b,,1,
0,20NW,05/18/2022,3,14,18,7,heco,heco,b,,0,1135.284
0,20NW,05/18/2022,3,15,31,1,bogr,vuoc,b,,1,
0,20NW,05/18/2022,3,16,38,2,SD,bogr,b,,1,
0,20NW,05/18/2022,3,17,36,1,bogr,bogr,b,,0,1147.566
0,20NW,05/18/2022,3,18,25,7,heco,heco,b,,0,1343.366
0,20NW,05/18/2022,3,19,24,7,bogr,heco,b,,0,1313.64
0,20NW,05/18/2022,3,20,21,5,heco,heco,b,,0,1050.2
0,20NW,05/18/2022,3,21,20,3,heco,heco,b,,0,846.212
0,20NW,05/18/2022,3,22,19,7,bogr,heco,b,,0,1165.01
0,20NW,05/18/2022,3,23,14,5,heco,heco,b,,0,842.118
0,20NW,05/18/2022,3,24,41,1,heco,bogr,b,,0,1296.196
0,20NW,05/18/2022,3,25,51,4,heco,heco,b,,0,1854.849
0,20NW,05/18/2022,4,1,20,9,heco,heco,b,,0,1368.998
0,20NW,05/18/2022,4,2,22,7,bogr,heco,b,,0,1254.188
0,20NW,05/18/2022,4,3,32,2,bogr,bogr,b,,0,1115.793
0,20NW,05/18/2022,4,4,9,1,bogr,bogr,b,,0,344.964
0,20NW,05/18/2022,4,5,16,4,bogr,heco,b,,0,814.439
0,20NW,05/18/2022,4,6,26,5,bogr,heco,b,,0,1198.83
0,20NW,05/18/2022,4,7,22,5,heco,heco,b,,0,1079.926
