Pasture,General Ecosite,Plot,Transect , Distance,High,Low,Spp,High,Low,Spp,MeanHigh,MeanLow
5E,Plains,1,1,3,17,7,EREF,16,5,CRMI,16.5,6
5E,Plains,1,1,6,13,2,PASM,15,5,BOGR,14,3.5
5E,Plains,1,1,9,17,8,CRMI,14,3,PASM,15.5,5.5
5E,Plains,1,1,12,5,0,LIT,7,2,BOGR,6,1
5E,Plains,1,1,15,11,2,EREF,10,3,CAEL,10.5,2.5
5E,Plains,1,1,18,5,2,VUOC,8,3,BOGR,6.5,2.5
5E,Plains,1,1,21,9,2,PASM,15,2,EREF,12,2
5E,Plains,1,1,24,6,1,BOGR,6,1,BOGR,6,1
5E,Plains,1,2,3,21,7,BOGR,24,2,STCO,22.5,4.5
5E,Plains,1,2,6,33,1,STCO,28,9,ATCA,30.5,5
5E,Plains,1,2,9,18,3,PASM,11,1,PASM,14.5,2
5E,Plains,1,2,12,16,5,BOGR,22,5,BOGR,19,5
5E,Plains,1,2,15,21,6,OPPO,30,3,PASM,25.5,4.5
5E,Plains,1,2,18,33,1,PASM,33,3,PASM,33,2
5E,Plains,1,2,21,14,2,PASM,26,2,BOGR,20,2
5E,Plains,1,2,24,22,5,PASM,36,3,PASM,29,4
5E,Plains,1,3,3,25,10,ATCA,20,6,ATCA,22.5,8
5E,Plains,1,3,6,5,1,BOGR,19,3,PASM,12,2
5E,Plains,1,3,9,18,2,PASM,9,3,PASM,13.5,2.5
5E,Plains,1,3,12,5,1,BOGR,12,2,BOGR,8.5,1.5
5E,Plains,1,3,15,9,1,BOGR,13,3,PASM,11,2
5E,Plains,1,3,18,12,3,BOGR,9,3,OPPO,10.5,3
5E,Plains,1,3,21,12,6,BOGR,18,4,CELA,15,5
5E,Plains,1,3,24,14,6,CELA,5,3,BOGR,9.5,4.5
5E,Plains,1,4,3,16,3,PASM,16,2,BOGR,16,2.5
5E,Plains,1,4,6,15,2,BOGR,28,10,PASM,21.5,6
5E,Plains,1,4,9,15,3,BOGR,19,2,PASM,17,2.5
5E,Plains,1,4,12,30,3,PASM,28,4,PASM,29,3.5
5E,Plains,1,4,15,22,4,PASM,24,5,PASM,23,4.5
