Pasture,General Ecosite,Plot,Transect , Distance,East-High,East-Low,East-Spp,West-High,West-Low,West-Spp,MeanLow,MeanHigh,,
8E,Plains,1,1,3,12,2,PASM,9,1,BOGR,1.5,10.5,,
8E,Plains,1,1,6,21,3,PASM,10,1,BOGR,2,15.5,,
8E,Plains,1,1,9,4,2,BOGR,9,1,BOGR,1.5,6.5,,
8E,Plains,1,1,12,16,3,BOGR,16,2,BOGR,2.5,16,,
8E,Plains,1,1,15,8,1,BOGR,8,4,BOGR,2.5,8,,
8E,Plains,1,1,18,6,3,BOGR,5,1,BOGR,2,5.5,,
8E,Plains,1,1,21,12,5,PASM,16,5,BOGR,5,14,,
8E,Plains,1,1,24,12,1,BOGR,6,2,BOGR,1.5,9,,
8E,Plains,1,2,3,21,1,PASM,24,3,PASM,2,22.5,,
8E,Plains,1,2,6,15,2,PASM,14,1,VUOC,1.5,14.5,,
8E,Plains,1,2,9,24,5,PASM,21,2,PASM,3.5,22.5,,
8E,Plains,1,2,12,10,2,BOGR,11,3,VUOC,2.5,10.5,,
8E,Plains,1,2,15,21,9,PASM,21,3,BOGR,6,21,,
8E,Plains,1,2,18,16,2,PASM,16,2,VUOC,2,16,,
8E,Plains,1,2,21,11,5,VUOC,22,1,VUOC,3,16.5,,
8E,Plains,1,2,24,6,1,VUOC,36,16,ATCA,8.5,21,,
8E,Plains,1,3,3,27,4,BOGR,6,2,OPPO,3,16.5,,
8E,Plains,1,3,6,5,2,BOGR,3,0,BARE,1,4,,
8E,Plains,1,3,9,25,4,BOGR,33,1,PASM,2.5,29,,
8E,Plains,1,3,12,21,3,PASM,22,2,BOGR,2.5,21.5,,
8E,Plains,1,3,15,10,2,BOGR,21,4,BOGR,3,15.5,,
8E,Plains,1,3,18,16,3,OPPO,36,5,PASM,4,26,,
8E,Plains,1,3,21,28,4,BOGR,16,9,SAIB,6.5,22,,
8E,Plains,1,3,24,8,0,BARE,7,4,BOGR,2,7.5,,
8E,Plains,1,4,3,32,5,OPPO,9,2,BOGR,3.5,20.5,,
8E,Plains,1,4,6,21,8,OPPO,11,6,OPPO,7,16,,
8E,Plains,1,4,9,18,9,SIHY,10,5,CRMI,7,14,,
8E,Plains,1,4,12,21,7,VUOC,10,3,VUOC,5,15.5,,
8E,Plains,1,4,15,20,6,PASM,31,14,PASM,10,25.5,,
