Year,Pasture,General Ecosite,Plot,Transect , Distance,East-High,East-Low,East-Spp,West-High,West-Low,West-Spp,Average High,Average Low,Notes
2015,29-30,Plains,1,1,3,14,2,PASM,14,5,PASM,14,3.5,
2015,29-30,Plains,1,1,6,13,9,MATA,16,7,MATA,14.5,8,
2015,29-30,Plains,1,1,9,16,9,ATCA,9,1,PASM,12.5,5,
2015,29-30,Plains,1,1,12,11,2,BOGR,9,3,MATA,10,2.5,
2015,29-30,Plains,1,1,15,6,3,MATA,8,2,MATA,7,2.5,
2015,29-30,Plains,1,1,18,9,3,MATA,9,3,MATA,9,3,
2015,29-30,Plains,1,1,21,15,5,PASM,21,7,MATA,18,6,
2015,29-30,Plains,1,1,24,6,7,PASM,11,3,PASM,8.5,5,
2015,29-30,Plains,1,2,3,5,1,BOGR,3,1,BOGR,4,1,
2015,29-30,Plains,1,2,6,2,1,BOGR,11,3,BOGR,6.5,2,
2015,29-30,Plains,1,2,9,7,1,BOGR,5,2,BOGR,6,1.5,
2015,29-30,Plains,1,2,12,3,0,BOGR,4,1,MATA,3.5,0.5,
2015,29-30,Plains,1,2,15,2,1,BOGR,6,1,BOGR,4,1,
2015,29-30,Plains,1,2,18,12,4,LARE,4,1,MATA,8,2.5,
2015,29-30,Plains,1,2,21,4,1,BOGR,9,5,ATCA,6.5,3,
2015,29-30,Plains,1,2,24,0,0,BARE,0,0,BARE,0,0,
2015,29-30,Plains,1,3,3,10,2,BOGR,8,5,MATA,9,3.5,
2015,29-30,Plains,1,3,6,12,7,MATA,14,9,MATA,13,8,
2015,29-30,Plains,1,3,9,10,8,MATA,9,3,MATA,9.5,5.5,
2015,29-30,Plains,1,3,12,7,4,MATA,10,7,MATA,8.5,5.5,
2015,29-30,Plains,1,3,15,7,2,MATA,13,7,MATA,10,4.5,
2015,29-30,Plains,1,3,18,10,7,MATA,4,3,MATA,7,5,
2015,29-30,Plains,1,3,21,13,8,ATCA,7,5,MATA,10,6.5,
2015,29-30,Plains,1,3,24,1,0,BARE,3,1,BOGR,2,0.5,
2015,29-30,Plains,1,4,3,5,2,MATA,9,5,MATA,7,3.5,
2015,29-30,Plains,1,4,6,2,1,SPCO,5,1,MATA,3.5,1,
2015,29-30,Plains,1,4,9,11,6,MATA,8,6,MATA,9.5,6,
2015,29-30,Plains,1,4,12,5,1,MATA,9,3,MATA,7,2,
2015,29-30,Plains,1,4,15,11,4,SPCO,5,2,MATA,8,3,
2015,29-30,Plains,1,4,18,9,2,MATA,7,4,MATA,8,3,
2015,29-30,Plains,1,4,21,5,1,MATA,7,1,MATA,6,1,
2015,29-30,Plains,1,4,24,7,0,BARE,6,2,MATA,6.5,1,
2015,29-30,Plains,2,1,3,17,2,MATA,2,1,MATA,9.5,1.5,
