Year,Pasture,Plot,Transect , Distance,East-High,East-Low,East-Spp,West-High,West-Low,West-Spp,Average High,Average Low,Notes,,,,
2017,10S,1,1,3,13,5,BOGR,10,3,BOGR,11.5,4,,,,,
2017,10S,1,1,6,16,3,BOGR,18,2,CADU,17,2.5,,,,,
2017,10S,1,1,9,12,5,BOGR,15,4,BOGR,13.5,4.5,,,,,
2017,10S,1,1,12,11,5,BOGR,12,2,BOGR,11.5,3.5,,,,,
2017,10S,1,1,15,8,3,BOGR,16,5,BOGR,12,4,,,,,
2017,10S,1,1,18,14,3,ARPU,12,4,BOGR,13,3.5,,,,,
2017,10S,1,1,21,18,5,ARFR,8,5,BOGR,13,5,,,,,
2017,10S,1,1,24,12,3,ARFR,15,3,ARFR,13.5,3,,,,,
2017,10S,1,2,3,12,2,BOGR,16,3,BOGR,14,2.5,,,,,
2017,10S,1,2,6,22,4,BOGR,13,6,OPPO,17.5,5,,,,,
2017,10S,1,2,9,8,3,BOGR,13,4,BOGR,10.5,3.5,,,,,
2017,10S,1,2,12,9,3,BOGR,15,9,SPCO,12,6,,,,,
2017,10S,1,2,15,13,3,BOGR,10,4,BOGR,11.5,3.5,,,,,
2017,10S,1,2,18,9,3,BOGR,10,4,BUDA,9.5,3.5,,,,,
2017,10S,1,2,21,29,0,ARFR,19,3,ARFR,24,1.5,,,,,
2017,10S,1,2,24,10,2,BOGR,11,2,BOGR,10.5,2,,,,,
2017,10S,1,3,3,24,5,ARFR,22,5,VUOC,23,5,,,,,
2017,10S,1,3,6,21,5,BOGR,22,5,THFI,21.5,5,,,,,
2017,10S,1,3,9,12,2,BOGR,19,4,BOGR,15.5,3,,,,,
2017,10S,1,3,12,9,3,BOGR,13,4,BOGR,11,3.5,,,,,
2017,10S,1,3,15,14,5,CADU,15,4,BOGR,14.5,4.5,,,,,
2017,10S,1,3,18,22,10,ELEL,21,9,ARFR,21.5,9.5,,,,,
2017,10S,1,3,21,22,6,THFI,15,6,BOGR,18.5,6,,,,,
2017,10S,1,3,24,26,7,THFI,12,2,BOGR,19,4.5,,,,,
2017,10S,1,4,3,14,5,OPPO,20,3,HECO,17,4,,,,,
2017,10S,1,4,6,12,5,OPPO,7,2,BOGR,9.5,3.5,,,,,
2017,10S,1,4,9,34,4,ARFR,20,6,ARFR,27,5,,,,,
2017,10S,1,4,12,20,3,HECO,14,3,HECO,17,3,,,,,
2017,10S,1,4,15,48,3,HECO,19,3,HECO,33.5,3,,,,,
2017,10S,1,4,18,18,5,PASM,22,3,PASM,20,4,,,,,
2017,10S,1,4,21,26,9,ARFR,26,9,ARFR,26,9,,,,,
2017,10S,1,4,24,18,4,PASM,18,6,PASM,18,5,,,,,
2017,10S,2,1,3,16,4,CADU,16,3,CADU,16,3.5,,,,,
2017,10S,2,1,6,16,3,BOGR,22,3,OPPO,19,3,,,,,
2017,10S,2,1,9,18,3,CADU,15,2,CADU,16.5,2.5,,,,,
2017,10S,2,1,12,11,4,BOGR,16,6,ELEL,13.5,5,,,,,
2017,10S,2,1,15,29,10,ARFR,24,7,ARFR,26.5,8.5,,,,,
2017,10S,2,1,18,12,3,BOGR,18,7,CADU,15,5,,,,,
2017,10S,2,1,21,8,2,BOGR,12,3,BOGR,10,2.5,,,,,
2017,10S,2,1,24,14,4,BOGR,14,3,CADU,14,3.5,,,,,
2017,10S,2,2,3,15,1,CADU,17,10,CADU,16,5.5,stake replaced ,,,,
2017,10S,2,2,6,13,3,CADU,14,6,CADU,13.5,4.5,,,,,
2017,10S,2,2,9,32,4,ELEL,14,5,CADU,23,4.5,,,,,
2017,10S,2,2,12,16,2,BOGR,14,6,CADU,15,4,,,,,
2017,10S,2,2,15,7,2,BOGR,12,7,CADU,9.5,4.5,,,,,
2017,10S,2,2,18,17,4,ELEL,16,2,CADU,16.5,3,,,,,
2017,10S,2,2,21,27,14,ARFR,20,10,SPCO,23.5,12,,,,,
2017,10S,2,2,24,10,2,EREF,22,12,OECO,16,7,,,,,
