Date,Pasture,EcoSite,Plot,Transect,Distance,High East,Low East,Spp East,High West,Low West,Spp West,MeanHigh,MeanLow,Notes
6/15/2018,21N,Plains,1,1,3,27,4,PASM,27,7,PASM,27,5.5,
6/15/2018,21N,Plains,1,1,6,20,5,PASM,17,5,PASM,18.5,5,
6/15/2018,21N,Plains,1,1,9,17,2,PASM,22,3,PASM,19.5,2.5,
6/15/2018,21N,Plains,1,1,12,20,2,BUDA,20,2,BOGR,20,2,
6/15/2018,21N,Plains,1,1,15,18,7,HEVI,21,3,PASM,19.5,5,
6/15/2018,21N,Plains,1,1,18,17,4,HEVI,17,5,PASM,17,4.5,
6/15/2018,21N,Plains,1,1,21,20,3,GUSA,22,3,ARPU,21,3,
6/15/2018,21N,Plains,1,1,24,26,7,PASM,21,3,PASM,23.5,5,
6/15/2018,21N,Plains,1,2,3,15,3,ELEL,13,8,VUOC,14,5.5,
6/15/2018,21N,Plains,1,2,6,13,2,VUOC,24,7,ELEL,18.5,4.5,
6/15/2018,21N,Plains,1,2,9,11,4,VUOC,13,4,VUOC,12,4,
6/15/2018,21N,Plains,1,2,12,17,9,VUOC,20,5,ELEL,18.5,7,
6/15/2018,21N,Plains,1,2,15,21,7,ELEL,22,7,ELEL,21.5,7,
6/15/2018,21N,Plains,1,2,18,15,5,VUOC,22,10,ELEL,18.5,7.5,
6/15/2018,21N,Plains,1,2,21,13,2,BOGR,14,3,BOGR,13.5,2.5,
6/15/2018,21N,Plains,1,2,24,12,2,VUOC,11,4,VUOC,11.5,3,
6/15/2018,21N,Plains,1,3,3,26,9,VUOC,46,9,ERNA,36,9,
6/15/2018,21N,Plains,1,3,6,21,9,VUOC,28,11,PASM,24.5,10,
6/15/2018,21N,Plains,1,3,9,26,10,ELEL,29,3,VUOC,27.5,6.5,
6/15/2018,21N,Plains,1,3,12,20,7,VUOC,22,9,VUOC,21,8,
6/15/2018,21N,Plains,1,3,15,31,5,VUOC,29,13,ELEL,30,9,
6/15/2018,21N,Plains,1,3,18,20,8,VUOC,17,9,VUOC,18.5,8.5,
6/15/2018,21N,Plains,1,3,21,28,4,VUOC,31,7,THFI,29.5,5.5,
6/15/2018,21N,Plains,1,3,24,10,5,GUSA,10,1,BOGR,10,3,
6/15/2018,21N,Plains,1,4,3,12,3,VUOC,10,4,VUOC,11,3.5,
6/15/2018,21N,Plains,1,4,6,20,13,GUSA,15,5,SPCO,17.5,9,
6/15/2018,21N,Plains,1,4,9,14,3,VUOC,20,4,CADU,17,3.5,
6/15/2018,21N,Plains,1,4,12,16,5,OPPO,14,7,PIOP,15,6,
6/15/2018,21N,Plains,1,4,15,17,6,PSTE,24,5,HEVI,20.5,5.5,
6/15/2018,21N,Plains,1,4,18,50,9,EREF,52,11,ELEL,51,10,
6/15/2018,21N,Plains,1,4,21,16,7,HEVI,28,5,HEVI,22,6,
6/15/2018,21N,Plains,1,4,24,10,3,GUSA,12,3,EREF,11,3,
6/15/2018,21N,Plains,2,1,3,21,4,VUOC,15,3,VUOC,18,3.5,
6/15/2018,21N,Plains,2,1,6,15,3,CADU,11,6,ARFR,13,4.5,
6/15/2018,21N,Plains,2,1,9,16,5,PASM,11,3,BOGR,13.5,4,
6/15/2018,21N,Plains,2,1,12,10,1,BOGR,11,3,BOGR,10.5,2,
6/15/2018,21N,Plains,2,1,15,18,1,BUDA,23,6,PASM,20.5,3.5,
6/15/2018,21N,Plains,2,1,18,35,3,PASM,15,2,PASM,25,2.5,
6/15/2018,21N,Plains,2,1,21,18,3,PLPA,28,9,ARFR,23,6,
6/15/2018,21N,Plains,2,1,24,31,7,ELEL,23,6,ELEL,27,6.5,
6/15/2018,21N,Plains,2,2,3,11,3,VUOC,10,5,VUOC,10.5,4,
6/15/2018,21N,Plains,2,2,6,12,5,VUOC,14,3,VUOC,13,4,
6/15/2018,21N,Plains,2,2,9,13,3,VUOC,12,3,VUOC,12.5,3,
6/15/2018,21N,Plains,2,2,12,17,5,VUOC,9,3,VUOC,13,4,
6/15/2018,21N,Plains,2,2,15,15,1,VUOC,13,4,VUOC,14,2.5,
6/15/2018,21N,Plains,2,2,18,16,4,VUOC,12,4,BOGR,14,4,
6/15/2018,21N,Plains,2,2,21,12,3,VUOC,12,4,VUOC,12,3.5,
6/15/2018,21N,Plains,2,2,24,13,4,VUOC,11,3,VUOC,12,3.5,
6/15/2018,21N,Plains,2,3,3,16,2,BOGR,9,3,BOGR,12.5,2.5,
6/15/2018,21N,Plains,2,3,6,7,2,BOGR,8,1,BOGR,7.5,1.5,
6/15/2018,21N,Plains,2,3,9,8,3,BOGR,10,3,ELEL,9,3,
6/15/2018,21N,Plains,2,3,12,24,10,PASM,25,4,PIOP,24.5,7,
6/15/2018,21N,Plains,2,3,15,20,3,BOGR,17,2,PIOP,18.5,2.5,
6/15/2018,21N,Plains,2,3,18,25,8,ELEL,12,3,BOGR,18.5,5.5,
6/15/2018,21N,Plains,2,3,21,11,4,BUDA,22,3,BOGR,16.5,3.5,
6/15/2018,21N,Plains,2,3,24,20,5,ARFR,7,1,BUDA,13.5,3,
6/15/2018,21N,Plains,2,4,3,16,3,VUOC,16,3,BOGR,16,3,
6/15/2018,21N,Plains,2,4,6,14,3,VUOC,12,2,VUOC,13,2.5,
6/15/2018,21N,Plains,2,4,9,16,7,VUOC,22,4,PASM,19,5.5,
6/15/2018,21N,Plains,2,4,12,12,3,BUDA,18,13,ERNA,15,8,
6/15/2018,21N,Plains,2,4,15,16,5,VUOC,15,3,VUOC,15.5,4,
6/15/2018,21N,Plains,2,4,18,12,2,VUOC,10,1,BOGR,11,1.5,
6/15/2018,21N,Plains,2,4,21,10,2,BOGR,11,1,CRMI,10.5,1.5,
6/15/2018,21N,Plains,2,4,24,26,5,SPCO,29,6,ELEL,27.5,5.5,
6/18/2018,21N,Plains,3,1,3,52,4,BOGR,41,5,HECO,46.5,4.5,
6/18/2018,21N,Plains,3,1,6,62,3,BOGR,40,2,ELEL,51,2.5,
6/18/2018,21N,Plains,3,1,9,58,3,BUDA,12,3,HECO,35,3,
6/18/2018,21N,Plains,3,1,12,66,6,HECO,56,4,BOGR,61,5,
6/18/2018,21N,Plains,3,1,15,10,2,BOGR,16,5,GUSA,13,3.5,
6/18/2018,21N,Plains,3,1,18,8,2,BUDA,5,1,BOGR,6.5,1.5,
6/18/2018,21N,Plains,3,1,21,14,4,BOGR,59,5,BOGR,36.5,4.5,
6/18/2018,21N,Plains,3,1,24,20,6,OPPO,18,8,OPPO,19,7,
6/18/2018,21N,Plains,3,2,3,12,3,BOGR,22,2,BUDA,17,2.5,
6/18/2018,21N,Plains,3,2,6,26,9,EREF,34,2,BOGR,30,5.5,
6/18/2018,21N,Plains,3,2,9,62,13,HECO,71,7,HECO,66.5,10,
6/18/2018,21N,Plains,3,2,12,78,8,HECO,54,9,HECO,66,8.5,
6/18/2018,21N,Plains,3,2,15,65,13,ELEL,56,9,HECO,60.5,11,
6/18/2018,21N,Plains,3,2,18,45,5,ELEL,52,7,HECO,48.5,6,
6/18/2018,21N,Plains,3,2,21,22,13,GUSA,28,9,GUSA,25,11,
6/18/2018,21N,Plains,3,2,24,26,9,ELEL,16,4,VUOC,21,6.5,
6/18/2018,21N,Plains,3,3,3,12,5,VUOC,13,3,VUOC,12.5,4,
6/18/2018,21N,Plains,3,3,6,21,7,THFI,16,9,VUOC,18.5,8,
6/18/2018,21N,Plains,3,3,9,21,5,CADU,16,5,VUOC,18.5,5,
6/18/2018,21N,Plains,3,3,12,15,7,VUOC,14,3,BOGR,14.5,5,
6/18/2018,21N,Plains,3,3,15,27,10,ARPU,13,5,VUOC,20,7.5,
6/18/2018,21N,Plains,3,3,18,24,4,VUOC,22,3,BOGR,23,3.5,
6/18/2018,21N,Plains,3,3,21,19,3,PASM,21,5,ARFR,20,4,
6/18/2018,21N,Plains,3,3,24,27,4,CADU,49,15,ELEL,38,9.5,
6/18/2018,21N,Plains,3,4,3,20,3,BUDA,8,4,VUOC,14,3.5,
6/18/2018,21N,Plains,3,4,6,15,3,BUDA,24,5,PASM,19.5,4,
6/18/2018,21N,Plains,3,4,9,28,3,VUOC,18,7,SPCO,23,5,
