Date,Pasture,Plot,Transect,Distance,High East,Low East,Spp East,High West,Low West,Spp West,MeanHigh,MeanLow,Notes
6/18/2019,21N,1,1,3,26,6,PASM,26,8,PASM,26,7,
6/18/2019,21N,1,1,6,18,2,PASM,17,6,OPPO,17.5,4,
6/18/2019,21N,1,1,9,14,2,PASM,21,4,PASM,17.5,3,
6/18/2019,21N,1,1,12,15,4,GUSA,16,2,PASM,15.5,3,
6/18/2019,21N,1,1,15,21,4,HEVI,22,3,PASM,21.5,3.5,
6/18/2019,21N,1,1,18,18,2,ARPU,10,1,BOGR,14,1.5,
6/18/2019,21N,1,1,21,13,2,GUSA,14,3,BOGR,13.5,2.5,
6/18/2019,21N,1,1,24,21,5,PASM,24,4,PASM,22.5,4.5,
6/18/2019,21N,1,2,3,19,5,OPPO,20,1,CADU,19.5,3,
6/18/2019,21N,1,2,6,19,4,CHLE,34,16,CHLE,26.5,10,
6/18/2019,21N,1,2,9,19,1,LEDE,11,1,BOGR,15,1,
6/18/2019,21N,1,2,12,15,2,CHLE,8,6,SPCO,11.5,4,
6/18/2019,21N,1,2,15,12,2,SPCO,16,6,CADU,14,4,
6/18/2019,21N,1,2,18,12,3,OPPO,10,4,SPCO,11,3.5,
6/18/2019,21N,1,2,21,6,3,BOGR,10,1,BOGR,8,2,
6/18/2019,21N,1,2,24,4,1,BOGR,21,2,CHLE,12.5,1.5,
6/18/2019,21N,1,3,3,29,8,PASM,38,13,PASM,33.5,10.5,
6/18/2019,21N,1,3,6,31,7,PASM,33,11,PASM,32,9,
6/18/2019,21N,1,3,9,37,10,BRTE,21,8,OEAL,29,9,
6/18/2019,21N,1,3,12,17,10,CHLE,13,10,CRMI,15,10,
6/18/2019,21N,1,3,15,10,5,CRMI,24,3,ELEL,17,4,
6/18/2019,21N,1,3,18,12,8,OPPO,13,5,LEDE,12.5,6.5,
6/18/2019,21N,1,3,21,24,6,CHLE,39,3,CHLE,31.5,4.5,
6/18/2019,21N,1,3,24,10,1,VUOC,1,0,ELEL,5.5,0.5,
6/18/2019,21N,1,4,3,11,2,EREF,10,3,CRMI,10.5,2.5,
6/18/2019,21N,1,4,6,20,5,ARFR,13,4,OPPO,16.5,4.5,
6/18/2019,21N,1,4,9,9,2,LEDE,22,4,ELEL,15.5,3,
6/18/2019,21N,1,4,12,11,3,OPPO,8,4,OPPO,9.5,3.5,
6/18/2019,21N,1,4,15,15,1,CADU,25,6,EREF,20,3.5,
6/18/2019,21N,1,4,18,28,8,ELEL,26,12,ELEL,27,10,
6/18/2019,21N,1,4,21,15,2,EREF,19,3,HEVI,17,2.5,
6/18/2019,21N,1,4,24,10,4,GUSA,13,3,EREF,11.5,3.5,
