Date,Pasture,Plot,Transect,Distance,High East,Low East,Spp East,High West,Low West,Spp West,MeanHigh,MeanLow
6/16/20,23E,3,3,3,3,1,bogr,2,1,buda,2.5,1
6/16/20,23E,3,3,6,2,1,bogr,3,1,buda,2.5,1
6/16/20,23E,3,3,9,3,1,bogr,4,1,bogr,3.5,1
6/16/20,23E,3,3,12,2,1,bogr,3,1,bogr,2.5,1
6/16/20,23E,3,3,15,3,1,bogr,5,2,bogr,4,1.5
6/16/20,23E,3,3,18,7,1,bogr,3,1,bogr,5,1
6/16/20,23E,3,3,21,11,1,bogr,3,1,bogr,7,1
6/16/20,23E,3,3,24,4,1,bogr,7,1,buda,5.5,1
6/16/20,23E,3,4,3,9,1,bogr,8,3,oppo,8.5,2
6/16/20,23E,3,4,6,3,1,bogr,3,1,bogr,3,1
6/16/20,23E,3,4,9,5,1,bogr,9,2,bogr,7,1.5
6/16/20,23E,3,4,12,9,1,pasm,3,1,bogr,6,1
6/16/20,23E,3,4,15,4,1,bogr,6,1,bogr,5,1
6/16/20,23E,3,4,18,3,1,bogr,5,1,bogr,4,1
6/16/20,23E,3,4,21,6,1,bogr,3,1,bogr,4.5,1
6/16/20,23E,3,4,24,2,1,bogr,3,1,oppo,2.5,1
6/16/20,23E,4,1,3,3,1,bogr,7,1,bogr,5,1
6/16/20,23E,4,1,6,8,1,bogr,4,1,bogr,6,1
6/16/20,23E,4,1,9,4,1,cadu,2,1,bogr,3,1
6/16/20,23E,4,1,12,2,1,bogr,0,0,bare,1,0.5
6/16/20,23E,4,1,15,11,1,bogr,4,1,bogr,7.5,1
6/16/20,23E,4,1,18,3,1,bogr,7,1,oppo,5,1
6/16/20,23E,4,1,21,5,1,bogr,5,1,bogr,5,1
6/16/20,23E,4,1,24,4,1,vuoc,6,1,vuoc,5,1
6/16/20,23E,4,2,3,12,2,vuoc,17,1,vuoc,14.5,1.5
6/16/20,23E,4,2,6,5,1,vuoc,12,2,vuoc,8.5,1.5
6/16/20,23E,4,2,9,3,1,vuoc,6,2,vuoc,4.5,1.5
6/16/20,23E,4,2,12,6,1,vuoc,6,1,vuoc,6,1
6/16/20,23E,4,2,15,11,4,dung,13,5,arpu,12,4.5
6/16/20,23E,4,2,18,4,3,vuoc,2,1,bogr,3,2
6/16/20,23E,4,2,21,5,1,vuoc,20,5,arpu,12.5,3
6/16/20,23E,4,2,24,23,4,arpu,26,4,arpu,24.5,4
6/16/20,23E,4,3,3,5,1,bogr,3,1,bogr,4,1
