Date,Pasture,Plot,Transect , Distance,East-High,East-High-Spp,East-Low,East-Low-Spp,West-High,West-High-Sp,West-Low,West-Low-Spp,MeanHigh,MeanLow
6/14/2021,20SE,1,1,3,37,heco,1,heco,34,heco,1,crmi,35.5,1
6/14/2021,20SE,1,1,6,55,heco,3,heco,66,heco,2,heco,60.5,2.5
6/14/2021,20SE,1,1,9,23,heco,3,crmi,40,heco,4,crmi,31.5,3.5
6/14/2021,20SE,1,1,12,30,heco,1,crmi,35,heco,1,crmi,32.5,1
6/14/2021,20SE,1,1,15,13,heco,1,heco,9,heco,1,bogr,11,1
6/14/2021,20SE,1,1,18,11,cadu,2,crmi,17,heco,1,cadu,14,1.5
6/14/2021,20SE,1,1,21,8,cadu,1,cadu,15,heco,1,heco,11.5,1
6/14/2021,20SE,1,1,24,10,cadu,1,cadu,20,heco,2,cadu,15,1.5
6/14/2021,20SE,1,2,3,37,heco,1,heco,42,heco,4,heco,39.5,2.5
6/14/2021,20SE,1,2,6,26,heco,1,cadu,37,heco,4,cadu,31.5,2.5
6/14/2021,20SE,1,2,9,28,heco,1,cadu,31,heco,4,heco,29.5,2.5
6/14/2021,20SE,1,2,12,23,eref,3,pste,33,heco,3,lare,28,3
6/14/2021,20SE,1,2,15,54,heco,6,heco,35,heco,3,chle,44.5,4.5
6/14/2021,20SE,1,2,18,10,lare,1,lare,15,lare,5,lare,12.5,3
6/14/2021,20SE,1,2,21,53,heco,5,oppo,20,lare,1,cadu,36.5,3
6/14/2021,20SE,1,2,24,10,lare,5,lare,18,heco,2,lare,14,3.5
6/14/2021,20SE,1,3,3,34,heco,1,heco,34,heco,1,chle,34,1
6/14/2021,20SE,1,3,6,29,heco,2,heco,56,heco,2,heco,42.5,2
6/14/2021,20SE,1,3,9,31,heco,3,heco,65,heco,5,heco,48,4
6/14/2021,20SE,1,3,12,35,chle,1,chle,52,heco,1,chle,43.5,1
6/14/2021,20SE,1,3,15,55,heco,2,heco,42,heco,5,heco,48.5,3.5
6/14/2021,20SE,1,3,18,41,heco,1,chle,32,heco,4,heco,36.5,2.5
6/14/2021,20SE,1,3,21,28,chle,5,chle,44,heco,5,heco,36,5
6/14/2021,20SE,1,3,24,26,heco,2,chle,28,heco,3,lede,27,2.5
6/14/2021,20SE,1,4,3,42,heco,1,chle,22,chle,3,chle,32,2
6/14/2021,20SE,1,4,6,25,heco,3,lede,31,heco,3,heco,28,3
6/14/2021,20SE,1,4,9,26,chle,1,heco,43,heco,3,heco,34.5,2
6/14/2021,20SE,1,4,12,42,heco,1,chle,30,chle,8,chle,36,4.5
6/14/2021,20SE,1,4,15,39,heco,1,chle,48,heco,3,chle,43.5,2
6/14/2021,20SE,1,4,18,27,heco,5,chle,42,heco,1,chle,34.5,3
6/14/2021,20SE,1,4,21,53,heco,8,chle,42,heco,3,heco,47.5,5.5
6/14/2021,20SE,1,4,24,33,heco,1,chle,32,heco,5,chle,32.5,3
6/14/2021,20SE,2,1,3,26,heco,1,chle,24,chle,2,heco,25,1.5
6/14/2021,20SE,2,1,6,25,heco,1,pste,41,heco,7,chle,33,4
6/14/2021,20SE,2,1,9,32,heco,4,lede,53,heco,5,heco,42.5,4.5
6/14/2021,20SE,2,1,12,21,chle,6,lede,31,heco,3,crmi,26,4.5
6/14/2021,20SE,2,1,15,29,heco,2,chle,44,heco,4,heco,36.5,3
6/14/2021,20SE,2,1,18,31,heco,7,crmi,10,heco,2,spcr,20.5,4.5
6/14/2021,20SE,2,1,21,14,crmi,3,crmi,12,heco,5,crmi,13,4
6/14/2021,20SE,2,1,24,28,heco,1,heco,60,heco,2,oeal,44,1.5
6/14/2021,20SE,2,2,3,37,pasm,1,pasm,28,heco,4,heco,32.5,2.5
6/14/2021,20SE,2,2,6,36,pasm,1,pasm,25,chle,1,lare,30.5,1
6/14/2021,20SE,2,2,9,40,heco,15,atca,30,chle,2,chle,35,8.5
6/14/2021,20SE,2,2,12,36,chle,1,chle,48,heco,3,chle,42,2
6/14/2021,20SE,2,2,15,28,heco,1,chle,34,heco,8,lede,31,4.5
6/14/2021,20SE,2,2,18,52,heco,4,chle,40,heco,3,chle,46,3.5
6/14/2021,20SE,2,2,21,22,chle,6,chle,25,chle,7,chle,23.5,6.5
6/14/2021,20SE,2,2,24,24,chle,3,chle,20,heco,5,chle,22,4
6/14/2021,20SE,2,3,3,33,heco,1,spco,19,chle,3,chle,26,2
6/14/2021,20SE,2,3,6,44,heco,2,heco,45,heco,5,heco,44.5,3.5
6/14/2021,20SE,2,3,9,48,heco,1,heco,55,heco,3,heco,51.5,2
6/14/2021,20SE,2,3,12,35,heco,2,chle,50,heco,2,chle,42.5,2
6/14/2021,20SE,2,3,15,40,heco,2,chle,44,heco,6,heco,42,4
6/14/2021,20SE,2,3,18,40,heco,1,heco,25,heco,5,heco,32.5,3
6/14/2021,20SE,2,3,21,42,heco,2,chle,39,heco,3,lare,40.5,2.5
6/14/2021,20SE,2,3,24,36,heco,3,chle,52,heco,3,heco,44,3
6/14/2021,20SE,2,4,3,52,heco,1,heco,51,heco,1,chle,51.5,1
6/14/2021,20SE,2,4,6,22,heco,2,chle,22,heco,3,chle,22,2.5
6/14/2021,20SE,2,4,9,39,heco,7,chle,43,heco,2,heco,41,4.5
6/14/2021,20SE,2,4,12,37,heco,1,chle,42,heco,2,chle,39.5,1.5
6/14/2021,20SE,2,4,15,52,chle,1,chle,54,chle,1,chle,53,1
6/14/2021,20SE,2,4,18,61,chle,1,chle,46,heco,5,chle,53.5,3
6/14/2021,20SE,2,4,21,35,chle,1,chle,35,chle,8,chle,35,4.5
6/14/2021,20SE,2,4,24,31,chle,2,chle,39,chle,3,chle,35,2.5
6/15/2021,20SE,3,1,3,36,heco,1,heco,26,chle,4,chle,31,2.5
6/15/2021,20SE,3,1,6,40,chle,1,chle,20,chle,2,lare,30,1.5
6/15/2021,20SE,3,1,9,8,cadu,1,cadu,10,chle,1,bogr,9,1
6/15/2021,20SE,3,1,12,23,lare,1,bogr,30,chle,1,chle,26.5,1
6/15/2021,20SE,3,1,15,14,bogr,2,oppo,8,oppo,2,bogr,11,2
6/15/2021,20SE,3,1,18,6,bogr,1,bogr,13,pste,1,bogr,9.5,1
6/15/2021,20SE,3,1,21,9,bogr,2,bogr,8,bogr,1,bogr,8.5,1.5
6/15/2021,20SE,3,1,24,7,bogr,1,bogr,14,lare,5,bogr,10.5,3
6/15/2021,20SE,3,2,3,39,heco,2,crmi,28,chle,2,heco,33.5,2
6/15/2021,20SE,3,2,6,54,heco,6,elel,47,heco,5,heco,50.5,5.5
6/15/2021,20SE,3,2,9,30,chle,4,lede,24,heco,2,crmi,27,3
6/15/2021,20SE,3,2,12,48,heco,1,cadu,30,heco,1,heco,39,1
6/15/2021,20SE,3,2,15,46,heco,9,pste,14,heco,1,cadu,30,5
6/15/2021,20SE,3,2,18,8,heco,1,cadu,13,heco,1,cadu,10.5,1
6/15/2021,20SE,3,2,21,8,cadu,1,cadu,11,crmi,1,cadu,9.5,1
6/15/2021,20SE,3,2,24,41,chle,1,heco,28,heco,1,heco,34.5,1
6/15/2021,20SE,3,3,3,12,chle,1,spco,12,lede,7,lede,12,4
6/15/2021,20SE,3,3,6,25,heco,2,ciun,14,chle,1,chle,19.5,1.5
6/15/2021,20SE,3,3,9,38,heco,3,heco,52,heco,1,heco,45,2
6/15/2021,20SE,3,3,12,43,heco,1,heco,45,heco,1,heco,44,1
6/15/2021,20SE,3,3,15,49,heco,1,chle,42,heco,11,heco,45.5,6
6/15/2021,20SE,3,3,18,32,heco,2,heco,36,heco,5,heco,34,3.5
6/15/2021,20SE,3,3,21,35,heco,6,chle,26,heco,4,chle,30.5,5
6/15/2021,20SE,3,3,24,30,heco,1,chle,54,heco,3,heco,42,2
6/15/2021,20SE,3,4,3,17,pasm,1,cadu,8,bogr,1,bogr,12.5,1
6/15/2021,20SE,3,4,6,13,cadu,1,cadu,10,lare,1,cadu,11.5,1
6/15/2021,20SE,3,4,9,22,heco,1,bogr,8,bogr,1,bogr,15,1
6/15/2021,20SE,3,4,12,35,heco,1,bogr,9,cadu,1,bogr,22,1
6/15/2021,20SE,3,4,15,3,bogr,1,bogr,7,bogr,1,bogr,5,1
6/15/2021,20SE,3,4,18,28,heco,1,heco,44,heco,1,heco,36,1
6/15/2021,20SE,3,4,21,42,heco,1,heco,46,heco,2,heco,44,1.5
6/15/2021,20SE,3,4,24,41,heco,2,heco,38,heco,3,heco,39.5,2.5
6/16/2021,20SE,4,1,3,26,spai,5,spai,20,spai,7,chle,23,6
6/16/2021,20SE,4,1,6,26,spai,1,crmi,24,heco,7,spai,25,4
6/16/2021,20SE,4,1,9,32,spai,7,spai,32,spai,11,spai,32,9
6/16/2021,20SE,4,1,12,28,spai,7,spai,23,spai,7,spai,25.5,7
6/16/2021,20SE,4,1,15,21,spai,3,spai,31,spai,4,spai,26,3.5
