Date,Pasture,Plot,Transect , Distance,East-High,East-High-Spp,East-Low,East-Low-Spp,West-High,West-High-Sp,West-Low,West-Low-Spp,
6/8/2022,20SE,5,1,3,34,spai,3,spai,38,spai,3,spai,0
6/8/2022,20SE,5,1,6,6,thfi,2,thfi,12,bogr,2,bogr,0
6/8/2022,20SE,5,1,9,6,bogr,2,bogr,11,pasm,2,cadu,0
6/8/2022,20SE,5,1,12,25,bogr,5,bogr,20,bogr,1,bogr,0
6/8/2022,20SE,5,1,15,16,spai,2,spai,14,spai,4,spai,0
6/8/2022,20SE,5,1,18,40,spai,9,spai,42,bogr,8,spai,0
6/8/2022,20SE,5,1,21,84,spai,13,spai,40,bogr,9,spai,0
6/8/2022,20SE,5,1,24,32,spai,5,spai,28,spai,9,spai,0
6/8/2022,20SE,5,2,3,30,spai,3,spai,22,spai,5,spai,0
6/8/2022,20SE,5,2,6,20,spai,4,spai,34,spai,4,spai,0
6/8/2022,20SE,5,2,9,17,spai,4,spai,18,spai,3,spai,0
6/8/2022,20SE,5,2,12,28,spai,11,spai,46,pasm,3,spai,0
6/8/2022,20SE,5,2,15,32,spai,9,spai,19,pasm,2,pasm,0
6/8/2022,20SE,5,2,18,32,spai,11,spai,25,spai,4,spai,0
6/8/2022,20SE,5,2,21,16,spai,5,spai,16,spai,5,spai,0
6/8/2022,20SE,5,2,24,37,sial,5,spai,31,thfi,2,spai,0
6/8/2022,20SE,5,3,3,23,spai,3,spai,14,spai,2,spai,0
6/8/2022,20SE,5,3,6,9,spai,0,spai,8,spai,0,bogr,0
6/8/2022,20SE,5,3,9,20,disp,5,disp,34,spai,4,chle,0
6/8/2022,20SE,5,3,12,24,chle,2,chle,14,spai,3,spai,0
6/8/2022,20SE,5,3,15,16,spai,4,spai,29,chle,5,spai ,0
6/8/2022,20SE,5,3,18,22,spai,9,spai,34,spai,9,spai,0
6/8/2022,20SE,5,3,21,21,spai,8,spai,9,spai,2,spai,0
6/8/2022,20SE,5,3,24,14,spai,2,spai,20,spai,5,spai,0
6/8/2022,20SE,5,4,3,18,pasm,5,spai,29,sial,7,spai,0
6/8/2022,20SE,5,4,6,32,sial,1,spai,22,spai,6,spai,0
6/8/2022,20SE,5,4,9,44,spai,7,oppo,24,pasm,3,pasm,0
6/8/2022,20SE,5,4,12,23,spai,5,spai,20,spai,5,spai,0
6/8/2022,20SE,5,4,15,34,spai,6,spai,48,sial,7,spai,0
6/8/2022,20SE,5,4,18,29,spai,7,spai,56,sial,3,pasm,0
6/8/2022,20SE,5,4,21,21,disp,3,pasm,34,spai,9,spai,0
6/8/2022,20SE,5,4,24,36,spai,5,spai,44,spai,7,spai,0
6/8/2022,20SE,6,1,3,48,bogr,2,sial,22,bogr,4,oppo,0
6/8/2022,20SE,6,1,6,28,bogr,3,bogr,13,bogr,1,bogr,0
6/8/2022,20SE,6,1,9,22,bogr,2,bogr,31,bogr,1,bogr,0
6/8/2022,20SE,6,1,12,25,bogr,2,bogr,34,bogr,0,bogr,0
6/8/2022,20SE,6,1,15,24,spcr,5,bogr,18,bogr,4,pasm,0
6/8/2022,20SE,6,1,18,90+,bogr,7,bogr,44,heco,2,bogr,0
6/8/2022,20SE,6,1,21,64,bogr,3,bogr,24,bogr,2,pasm,0
6/8/2022,20SE,6,1,24,28,bogr,2,bogr,32,bogr,2,bogr,0
6/8/2022,20SE,6,2,3,3,bogr,3,bogr,29,bogr,3,bogr,0
6/8/2022,20SE,6,2,6,4,bogr,4,bogr,20,bogr,2,bogr,0
6/8/2022,20SE,6,2,9,3,bogr,3,bogr,34,bogr,1,bogr,0
6/8/2022,20SE,6,2,12,4,bogr,4,bogr,40,bogr,1,bogr,0
6/8/2022,20SE,6,2,15,3,spcr,3,spcr,32,bogr,3,heco,0
6/8/2022,20SE,6,2,18,2,bogr,2,heco,26,heco,2,heco,0
6/8/2022,20SE,6,2,21,2,bogr,2,bogr,42,bogr,12,eref,0
6/8/2022,20SE,6,2,24,3,bogr,3,eref,44,bogr,1,bogr,0
6/8/2022,20SE,6,3,3,28,bogr,4,eref,33,bogr,3,bogr,0
6/8/2022,20SE,6,3,6,32,bogr,2,bogr,26,bogr,1,bogr,0
6/8/2022,20SE,6,3,9,39,bogr,3,bogr,38,bogr,3,bogr,0
6/8/2022,20SE,6,3,12,32,bogr,1,bogr,36,bogr,3,bogr,0
6/8/2022,20SE,6,3,15,31,bogr,1,bogr,33,bogr,4,bogr,0
6/8/2022,20SE,6,3,18,36,bogr,6,oppo,30,bogr,3,bogr,0
6/8/2022,20SE,6,3,21,21,bogr,2,bogr,26,bogr,2,bogr,0
6/8/2022,20SE,6,3,24,27,bogr,2,bogr,28,bogr,1,bogr,0
6/8/2022,20SE,6,4,3,45,bogr,3,oppo,30,bogr,1,bogr,0
6/8/2022,20SE,6,4,6,29,bogr,4,bogr,33,bogr,4,bogr,0
6/8/2022,20SE,6,4,9,39,bogr,5,bogr,38,bogr,5,bogr,0
6/8/2022,20SE,6,4,12,34,bogr,3,bogr,37,bogr,4,bogr,0
6/8/2022,20SE,6,4,15,22,bogr,3,bogr,18,bogr,3,bogr,0
6/8/2022,20SE,6,4,18,37,bogr,2,bogr,23,bogr,4,bogr,0
6/8/2022,20SE,6,4,21,27,bogr,1,bogr,38,bogr,4,bogr,0
6/8/2022,20SE,6,4,24,25,bogr,2,bogr,35,bogr,3,bogr,0
6/8/2022,18S,1,1,3,43,chle,4,bogr,28,bogr,2,bogr,0
6/8/2022,18S,1,1,6,24,bogr,4,bogr,19,bogr,2,bogr,0
6/8/2022,18S,1,1,9,22,bogr,1,bogr,24,heco,2,heco,0
6/8/2022,18S,1,1,12,32,atca,4,atca,38,heco,6,heco,0
6/8/2022,18S,1,1,15,32,bogr,1,bogr,30,bogr,2,bogr,0
6/8/2022,18S,1,1,18,38,bogr,4,bogr,12,bogr,1,bogr,0
6/8/2022,18S,1,1,21,22,bogr,2,bogr,26,bogr,3,bogr,0
6/8/2022,18S,1,1,24,21,bogr,3,bogr,43,heco,3,oppo,0
6/8/2022,18S,1,2,3,16,heco,6,heco,32,heco,6,heco,0
6/8/2022,18S,1,2,6,59,atca,10,atca,66,atca,6,atca,0
