Date,Pasture,Plot,Transect,Distance,East-High,East-High-Spp,East-Low,East-Low-Spp,West-High,West-High-Spp,West-Low,West-Low-Spp,
6/2/2023,2930,1,1,3,62,ATCA,19,ATCA,14,PASM,3,CHLE,
6/2/2023,2930,1,1,6,30,PASM,9,ATCA,27,PASM,2,PASM,
6/2/2023,2930,1,1,9,39,ATCA,33,ATCA,57,ATCA,47,ATCA,
6/2/2023,2930,1,1,12,10,CHLE,8,CHLE,13,LARE,4,CHLE,
6/2/2023,2930,1,1,15,18,CHLE,12,CHLE,53,ATCA,32,ATCA,
6/2/2023,2930,1,1,18,20,PASM,9,CHLE,18,PASM,7,CHLE,
6/2/2023,2930,1,1,21,24,PASM,5,PASM,16,PASM,6,CHLE,
6/2/2023,2930,1,1,24,18,LARE,6,SPCO,13,PASM,3,SPCO,
6/2/2023,2930,1,2,3,10,SPCO,3,SPCO,58,ATCA,25,ATCA,
6/2/2023,2930,1,2,6,24,KRLA,16,KRLA,27,KRLA,17,KRLA,
6/2/2023,2930,1,2,9,22,BOGR,1,BOGR,24,KRLA,21,KRLA,
6/2/2023,2930,1,2,12,20,PASM,7,KRLA,22,PASM,8,KRLA,
6/2/2023,2930,1,2,15,25,ATCA,7,KRLA,29,ATCA,20,ATCA,
6/2/2023,2930,1,2,18,48,ATCA,30,ATCA,7,SPCO,2,SPCO,
6/2/2023,2930,1,2,21,12,KRLA,1,SPCO,24,KRLA,22,KRLA,
6/2/2023,2930,1,2,24,8,SPCO,4,KRLA,27,KRLA,21,KRLA,
6/2/2023,2930,1,3,3,7,CHLE,4,CHLE,16,PASM,1,PASM,
6/2/2023,2930,1,3,6,11,SPCO,1,SPCO,9,PASM,4,SPCO,
6/2/2023,2930,1,3,9,8,SAIB,1,SAIB,14,PASM,4,SPCO,
6/2/2023,2930,1,3,12,12,CADU,5,SPCO,12,PASM,1,SPCO,
6/2/2023,2930,1,3,15,7,SPCO,3,SPCO,17,KRLA,9,KRLA,
6/2/2023,2930,1,3,18,7,SPCO,3,SPCO,11,SPCO,2,SPCO,
6/2/2023,2930,1,3,21,11,CHAL,1,SPCO,8,SAIB,2,SAIB,
6/2/2023,2930,1,3,24,10,SPCO,1,SAIB,13,SPCO,5,SPCO,
6/2/2023,2930,1,4,3,16,LYJU,3,BOGR,10,LYJU,1,LYJU,
6/2/2023,2930,1,4,6,7,SPCO,4,CHLE,12,ELEL,3,BOGR,
6/2/2023,2930,1,4,9,8,BOGR,2,BOGR,9,BOGR,3,BOGR,
6/2/2023,2930,1,4,12,8,ATCA,3,BOGR,8,BOGR,3,CHAL,
6/2/2023,2930,1,4,15,13,BOGR,6,SPCO,14,BOGR,5,BOGR,
6/2/2023,2930,1,4,18,6,CHIN,3,CHIN,24,ATCA,6,ATCA,
6/2/2023,2930,1,4,21,11,SPCO,3,BOGR,22,ATCA,17,ATCA,
6/2/2023,2930,1,4,24,24,ATCA,4,SPCO,90,ATCA,41,ATCA,
6/20/2023,15E,1,1,3,19,SAIB,4,EREF,14,BOGR,7,OPPO,
6/20/2023,15E,1,1,6,29,PASM,4,BOGR,21,BOGR,2,BOGR,
6/20/2023,15E,1,1,9,36,SAIB,8,SAIB,37,PASM,2,PASM,
6/20/2023,15E,1,1,12,36,HECO,4,BOGR,28,PASM,6,SAIB,
6/20/2023,15E,1,1,15,22,PASM,0,PASM,28,PASM,4,PASM,
6/20/2023,15E,1,1,18,31,PASM,7,PASM,23,BOGR,1,PASM,
6/20/2023,15E,1,1,21,55,PASM,2,PASM,51,HECO,0,PASM,
6/20/2023,15E,1,1,24,64,HECO,14,EREF,59,HECO,1,HECO,
6/20/2023,15E,1,2,3,27,SAIB,10,SPCO,26,SAIB,2,SPCR,
6/20/2023,15E,1,2,6,31,SAIB,2,SAIB,25,SAIB,5,SAIB,
6/20/2023,15E,1,2,9,26,SAIB,2,SAIB,9,BOGR,1,SAIB,
6/20/2023,15E,1,2,12,13,SAIB,4,SAIB,36,HECO,5,SAIB,
6/20/2023,15E,1,2,15,14,SAIB,4,SAIB,22,SAIB,3,SAIB,
6/20/2023,15E,1,2,18,33,SAIB,10,SAIB,57,HECO,33,SAIB,
6/20/2023,15E,1,2,21,22,ARFR,9,ARFR,19,PASM,1,SAIB,
6/20/2023,15E,1,2,24,25,BOGR,12,OPPO,24,BOGR,3,BOGR,
6/20/2023,15E,1,3,3,24,PASM,2,BOGR,25,PASM,4,PASM,
6/20/2023,15E,1,3,6,31,SAIB,6,SAIB,21,BOGR,7,SAIB,
6/20/2023,15E,1,3,9,12,SAIB,3,BOGR,16,SAIB,2,SAIB,
6/20/2023,15E,1,3,12,27,SAIB,7,SAIB,23,PASM,4,EREF,
6/20/2023,15E,1,3,15,22,BOGR,3,SAIB,22,BOGR,3,BOGR,
6/20/2023,15E,1,3,18,13,SAIB,5,BOGR,27,SAIB,5,SAIB,
6/20/2023,15E,1,3,21,18,ELEL,6,SAIB,25,BOGR,6,SAIB,
6/20/2023,15E,1,3,24,31,PASM,5,PASM,58,PASM,2,PASM,
6/20/2023,15E,1,4,3,11,SPCO,10,SPCO,24,ARPU,4,ARPU,
6/20/2023,15E,1,4,6,14,BOGR,5,BOGR,18,SAIB,4,BOGR,
6/20/2023,15E,1,4,9,10,CADU,1,CADU,20,BOGR,3,BOGR,
6/20/2023,15E,1,4,12,10,BOGR,0,BOGR,18,BOGR,1,BOGR,
6/20/2023,15E,1,4,15,9,BOGR,2,BOGR,14,BOGR,2,BOGR,
6/20/2023,15E,1,4,18,23,SAIB,2,BOGR,12,BOGR,3,BOGR,
6/20/2023,15E,1,4,21,15,BOGR,0,BOGR,11,SPCO,1,SPCO,
6/20/2023,15E,1,4,24,20,BOGR,2,BOGR,20,SAIB,4,SAIB,
6/20/2023,15E,2,1,3,23,SAIB,4,SAIB,10,BOGR,1,BOGR,
6/20/2023,15E,2,1,6,13,BOGR,3,BOGR,17,BOGR,2,BUDA,
6/20/2023,15E,2,1,9,22,BOGR,5,PASM,28,SAIB,3,SAIB,
6/20/2023,15E,2,1,12,12,BOGR,2,BOGR,24,PASM,4,SAIB,
6/20/2023,15E,2,1,15,20,BOGR,17,EREF,12,BOGR,4,BOGR,
6/20/2023,15E,2,1,18,26,PASM,1,PASM,15,PASM,0,BOGR,
6/20/2023,15E,2,1,21,13,BOGR,1,BOGR,20,BOGR,1,BOGR,
6/20/2023,15E,2,1,24,20,PASM,4,PASM,25,PASM,3,PASM,
6/20/2023,15E,2,2,3,22,PASM,4,PASM,15,BOGR,3,SPCO,
6/20/2023,15E,2,2,6,12,BOGR,3,BUDA,8,BOGR,1,BOGR,
6/20/2023,15E,2,2,9,13,BOGR,4,BOGR,15,BOGR,3,ERNA,
6/20/2023,15E,2,2,12,3,BOGR,0,BOGR,22,BOGR,1,BOGR,
6/20/2023,15E,2,2,15,12,BOGR,2,BOGR,13,BOGR,1,BOGR,
6/20/2023,15E,2,2,18,23,BOGR,5,BOGR,13,BOGR,3,BOGR,
6/20/2023,15E,2,2,21,9,BOGR,1,BOGR,15,BOGR,1,BOGR,
6/20/2023,15E,2,2,24,15,BOGR,3,BOGR,14,BOGR,2,BUDA,
6/20/2023,15E,2,3,3,41,SAIB,14,PASM,32,BOGR,6,PASM,
6/20/2023,15E,2,3,6,25,BOGR,10,SAIB,50,SAIB,8,SAIB,
6/20/2023,15E,2,3,9,12,BOGR,2,BOGR,34,SAIB,3,SAIB,
6/20/2023,15E,2,3,12,21,SAIB,2,BOGR,26,SAIB,6,SAIB,
6/20/2023,15E,2,3,15,26,SAIB,7,SAIB,40,SAIB,6,SAIB,
6/20/2023,15E,2,3,18,25,BOGR,1,BOGR,15,BOGR,1,BOGR,
6/20/2023,15E,2,3,21,22,BOGR,4,OPPO,4,BOGR,0,BARE,
6/20/2023,15E,2,3,24,2,BOGR,0,POPR,12,CADU,1,CADU,
6/20/2023,15E,2,4,3,43,PASM,4,SPCO,55,PASM,5,PASM,
6/20/2023,15E,2,4,6,42,PASM,15,PASM,30,SAIB,2,BOGR,
6/20/2023,15E,2,4,9,52,PASM,12,PASM,48,PASM,4,PASM,
6/20/2023,15E,2,4,12,60,PASM,6,PASM,40,PASM,9,PASM,
6/20/2023,15E,2,4,15,12,BOGR,3,BOGR,17,BOGR,6,BOGR,
6/20/2023,15E,2,4,18,15,BOGR,3,BOGR,19,BOGR,3,BOGR,
6/20/2023,15E,2,4,21,16,BOGR,4,BOGR,17,BOGR,3,BOGR,
6/20/2023,15E,2,4,24,15,BOGR,3,BOGR,16,BOGR,2,BOGR,
6/16/2023,15E,3,1,3,14,BOGR,4,BOGR,12,BOGR,0,BARE,
6/16/2023,15E,3,1,6,11,BOGR,1,BOGR,13,SAIB,2,SAIB,
6/16/2023,15E,3,1,9,8,BOGR,0,BOGR,10,BOGR,0,BARE,
6/16/2023,15E,3,1,12,15,BOGR,7,OPPO,13,BOGR,0,BARE,
6/16/2023,15E,3,1,15,8,BOGR,2,BOGR,15,BOGR,0,BARE,
6/16/2023,15E,3,1,18,20,SAIB,7,SAIB,14,BOGR,2,PIOP,
6/16/2023,15E,3,1,21,19,SAIB,5,BOGR,23,BOGR,5,BOGR,
6/16/2023,15E,3,1,24,14,BOGR,5,BOGR,16,IPLA,1,IPLA,
6/16/2023,15E,3,2,3,13,BOGR,4,BOGR,12,SAIB,2,SAIB,
6/16/2023,15E,3,2,6,12,EREF,3,SPCO,16,EREF,4,EREF,
6/16/2023,15E,3,2,9,17,SAIB,8,SAIB,15,BOGR,3,SAIB,
6/16/2023,15E,3,2,12,19,BOGR,6,BOGR,15,SPCO,4,BOGR,
6/16/2023,15E,3,2,15,21,SAIB,4,SAIB,14,SAIB,1,BOGR,
6/16/2023,15E,3,2,18,17,SAIB,6,SAIB,14,BOGR,1,BOGR,
6/16/2023,15E,3,2,21,17,ELEL,1,ELEL,27,SAIB,4,SAIB,
6/16/2023,15E,3,2,24,15,BOGR,6,SAIB,17,BOGR,1,BOGR,
6/16/2023,15E,3,3,3,15,SAIB,9,OPPO,15,SAIB,4,BOGR,
6/16/2023,15E,3,3,6,10,CADU,1,CADU,12,BOGR,2,BOGR,
6/16/2023,15E,3,3,9,12,CADU,2,CADU,15,BOGR,3,SPCO,
6/16/2023,15E,3,3,12,15,VUOC,3,GACO,9,BOGR,2,BOGR,
6/16/2023,15E,3,3,15,8,VUOC,1,BOGR,14,BOGR,2,BOGR,
6/16/2023,15E,3,3,18,17,VUOC,7,SAIB,18,ERNA,9,ERNA,
6/16/2023,15E,3,3,21,20,PASM,3,BOGR,10,BOGR,2,BOGR,
6/16/2023,15E,3,3,24,24,HECO,2,VUOC,12,BOGR,2,BOGR,
6/16/2023,15E,3,4,3,9,BUDA,2,BUDA,10,SAIB,3,BUDA,
6/16/2023,15E,3,4,6,11,ELEL,1,CADU,12,BOGR,2,BOGR,
6/16/2023,15E,3,4,9,14,ARPU,4,SPCO,10,SPCO,1,BOGR,
6/16/2023,15E,3,4,12,11,BOGR,2,BOGR,12,BOGR,2,BOGR,
6/16/2023,15E,3,4,15,15,ARPU,7,ARPU,16,LYJU,2,BOGR,
6/16/2023,15E,3,4,18,23,SAIB,8,PIOP,9,CADU,1,BOGR,
6/16/2023,15E,3,4,21,11,BOGR,4,BOGR,12,BOGR,1,BOGR,
6/16/2023,15E,3,4,24,10,BOGR,2,BOGR,12,BOGR,2,BOGR,
6/16/2023,15E,4,1,3,14,SAIB,3,BOGR,7,BOGR,1,BOGR,
6/16/2023,15E,4,1,6,25,HECO,6,HECO,55,HECO,6,HECO,
6/16/2023,15E,4,1,9,9,BOGR,3,BOGR,12,BOGR,3,BOGR,
6/16/2023,15E,4,1,12,11,SPCO,0,SPCO,26,ARPU,4,OPPO,
6/16/2023,15E,4,1,15,7,OPPO,2,OPPO,9,BOGR,2,BOGR,
6/16/2023,15E,4,1,18,27,ARFR,12,ARFR,16,SAIB,3,SAIB,
6/16/2023,15E,4,1,21,10,SAIB,8,SAIB,12,CADU,4,OPPO,
6/16/2023,15E,4,1,24,16,SAIB,6,SAIB,19,SAIB,4,SAIB,
6/16/2023,15E,4,2,3,12,BOGR,3,BOGR,14,SPCO,2,SPCO,
6/16/2023,15E,4,2,6,11,ARPU,5,ARPU,10,CADU,2,BOGR,
6/16/2023,15E,4,2,9,6,CADU,0,CADU,17,BOGR,3,OPPO,
6/16/2023,15E,4,2,12,15,BOGR,6,CRMI,22,SPCR,1,SPCR,
6/16/2023,15E,4,2,15,26,SAIB,8,SAIB,15,SAIB,3,SAIB,
6/16/2023,15E,4,2,18,35,HECO,10,SAIB,31,HECO,1,HECO,
6/16/2023,15E,4,2,21,51,HECO,4,SAIB,60,HECO,2,SAIB,
6/16/2023,15E,4,2,24,13,CADU,2,CADU,40,HECO,1,CADU,
6/16/2023,15E,4,3,3,31,PASM,2,PASM,40,PASM,1,PASM,
6/16/2023,15E,4,3,6,30,SAIB,4,OPPO,36,PASM,3,BOGR,
6/16/2023,15E,4,3,9,40,PASM,5,ELEL,56,PASM,7,OPPO,
6/16/2023,15E,4,3,12,14,PASM,6,CRMI,31,PASM,2,PASM,
6/16/2023,15E,4,3,15,27,SAIB,8,SAIB,18,SAIB,3,BOGR,
6/16/2023,15E,4,3,18,50,HECO,2,PIOP,40,HECO,6,BOGR,
6/16/2023,15E,4,3,21,32,HECO,6,SAIB,34,HECO,1,BOGR,
6/16/2023,15E,4,3,24,18,BOGR,2,BOGR,18,BOGR,1,BOGR,
6/16/2023,15E,4,4,3,11,BOGR,7,OPPO,11,BOGR,2,BOGR,
6/16/2023,15E,4,4,6,17,EREF,5,EREF,16,PASM,1,PASM,
6/16/2023,15E,4,4,9,30,PASM,10,PASM,34,PASM,9,OPPO,
6/16/2023,15E,4,4,12,25,PASM,12,PASM,29,PASM,10,EREF,
6/16/2023,15E,4,4,15,26,PASM,6,PASM,27,PASM,6,PASM,
6/16/2023,15E,4,4,18,26,PASM,3,PASM,31,PASM,10,PASM,
6/16/2023,15E,4,4,21,29,PASM,4,PASM,30,PASM,2,OPPO,
6/16/2023,15E,4,4,24,15,SAIB,2,BOGR,9,BOGR,2,BOGR,
6/15/2023,17N,1,1,3,22,BOGR,2,BOGR,6,BOGR,3,BOGR,
