Date,Treatment,Pasture,Plot,Ecosite,Transect,Distance,High1,Low1,Spp1,High 2,Low2,Spp2,MeanHigh,MeanLow,Screen1,Screen2,Low1,Low2,MeanLOW
24-Oct,AGM,25NW,1,Upland,1,10,1,1,BOGR,2,1,BOGR,1.5,1,0,0,1,1,1
24-Oct,AGM,25NW,1,Upland,1,20,4,1,BOGR,5,1,BOGR,4.5,1,0,0,1,1,1
24-Oct,AGM,25NW,1,Upland,4,10,8,2,BOGR,4,1,BOGR,6,1.5,0,0,2,1,1.5
24-Oct,AGM,25NW,1,Upland,4,20,6,1,BOGR,13,2,BOGR,9.5,1.5,0,0,1,2,1.5
24-Oct,AGM,25NW,2,Upland,1,10,15,1,PASM,6,2,BOGR,10.5,1.5,0,0,1,2,1.5
24-Oct,AGM,25NW,2,Upland,1,20,9,1,BOGR,19,2,BOGR,14,1.5,0,0,1,2,1.5
24-Oct,AGM,25NW,2,Upland,4,10,4,1,PASM,7,1,BOGR,5.5,1,0,0,1,1,1
24-Oct,AGM,25NW,2,Upland,4,20,4,1,BOGR,2,1,BOGR,3,1,0,0,1,1,1
24-Oct,AGM,25NW,3,Upland,1,10,8,1,BOGR,10,1,BOGR,9,1,0,0,1,1,1
24-Oct,AGM,25NW,3,Upland,1,20,8,1,BOGR,9,3,BOGR,8.5,2,0,0,1,3,2
24-Oct,AGM,25NW,3,Upland,4,10,2,1,DCR,0,0,Bare,1,0.5,0,0,1,0,0.5
24-Oct,AGM,25NW,3,Upland,4,20,5,1,BOGR,5,1,SD,5,1,0,0,1,1,1
24-Oct,AGM,25NW,4,Upland,1,10,4,2,BOGR,7,1,BOGR,5.5,1.5,0,0,2,1,1.5
24-Oct,AGM,25NW,4,Upland,1,20,12,4,BOGR,3,1,BOGR,7.5,2.5,0,0,4,1,2.5
24-Oct,AGM,25NW,4,Upland,4,10,6,2,BOGR,9,1,BOGR,7.5,1.5,0,0,2,1,1.5
24-Oct,AGM,25NW,4,Upland,4,20,8,1,BOGR,10,3,BOGR,9,2,0,0,1,3,2
23-Oct,TGM,25SE,1,Upland,1,10,9,1,BOGR,10,1,ARLO,9.5,1,0,0,1,1,1
23-Oct,TGM,25SE,1,Upland,1,20,5,2,OPPO,0,0,BOGR,2.5,1,1,0,,0,0
23-Oct,TGM,25SE,1,Upland,4,10,4,1,BOGR,5,1,BOGR,4.5,1,0,0,1,1,1
23-Oct,TGM,25SE,1,Upland,4,20,4,1,BOGR,9,2,BOGR,6.5,1.5,0,0,1,2,1.5
23-Oct,TGM,25SE,2,Upland,1,10,9,1,BOGR,4,1,BOGR,6.5,1,0,0,1,1,1
23-Oct,TGM,25SE,2,Upland,1,20,2,1,BOGR,4,1,BOGR,3,1,0,0,1,1,1
23-Oct,TGM,25SE,2,Upland,4,10,3,1,BOGR,7,2,BOGR,5,1.5,0,0,1,2,1.5
23-Oct,TGM,25SE,2,Upland,4,20,4,2,BOGR,2,1,BOGR,3,1.5,0,0,2,1,1.5
23-Oct,TGM,25SE,3,Upland,1,10,2,1,BOGR,5,1,BOGR,3.5,1,0,0,1,1,1
23-Oct,TGM,25SE,3,Upland,1,20,12,1,BOGR,11,1,BOGR,11.5,1,0,0,1,1,1
23-Oct,TGM,25SE,3,Upland,4,10,0,0,Bare,2,1,SPCO,1,0.5,0,0,0,1,0.5
23-Oct,TGM,25SE,3,Upland,4,20,4,2,BOGR,3,1,OPPO,3.5,1.5,0,1,2,,2
23-Oct,TGM,25SE,4,Upland,1,10,10,2,BOGR,6,1,BOGR,8,1.5,0,0,2,1,1.5
23-Oct,TGM,25SE,4,Upland,1,20,2,1,BOGR,6,1,BOGR,4,1,0,0,1,1,1
23-Oct,TGM,25SE,4,Upland,4,10,6,1,BOGR,4,1,BOGR,5,1,0,0,1,1,1
23-Oct,TGM,25SE,4,Upland,4,20,5,2,BOGR,3,1,BOGR,4,1.5,0,0,2,1,1.5
23-Oct,AGM,21N,1,Upland,1,10,2,1,BOGR,4,1,BOGR,3,1,0,0,1,1,1
23-Oct,AGM,21N,1,Upland,1,20,5,1,OPPO,5,1,BOGR,5,1,1,0,,1,1
23-Oct,AGM,21N,1,Upland,4,10,2,1,BUDA,3,1,BUDA,2.5,1,0,0,1,1,1
23-Oct,AGM,21N,1,Upland,4,20,2,1,CAEL,2,1,BOGR,2,1,0,0,1,1,1
23-Oct,AGM,21N,2,Upland,1,10,17,5,ARFR,3,1,BOGR,10,3,1,0,,1,1
23-Oct,AGM,21N,2,Upland,1,20,2,1,BOGR,2,1,BOGR,2,1,0,0,1,1,1
23-Oct,AGM,21N,2,Upland,4,10,3,1,BUDA,4,1,BUDA,3.5,1,0,0,1,1,1
23-Oct,AGM,21N,2,Upland,4,20,1,1,BOGR,1,0,BOGR,1,0.5,0,0,1,0,0.5
23-Oct,AGM,21N,3,Upland,1,10,11,4,STCO,9,1,Bare,10,2.5,0,0,4,1,2.5
23-Oct,AGM,21N,3,Upland,1,20,1,1,BOGR,5,1,BOGR,3,1,0,0,1,1,1
23-Oct,AGM,21N,3,Upland,4,10,2,1,BOGR,3,1,BOGR,2.5,1,0,0,1,1,1
23-Oct,AGM,21N,3,Upland,4,20,6,2,BOGR,5,1,BOGR,5.5,1.5,0,0,2,1,1.5
23-Oct,AGM,21N,4,Upland,1,10,2,1,BOGR,9,2,BOGR,5.5,1.5,0,0,1,2,1.5
23-Oct,AGM,21N,4,Upland,1,,,,,,,,,,0,0,0,0,0
23-Oct,AGM,21N,4,Upland,4,10,3,1,BOGR,6,2,BOGR,4.5,1.5,0,0,1,2,1.5
23-Oct,AGM,21N,4,Upland,4,20,2,1,BOGR,1,1,BOGR,1.5,1,0,0,1,1,1
23-Oct,TGM,24W,1,Upland,1,10,10,1,BOGR,10,1,BOGR,10,1,0,0,1,1,1
23-Oct,TGM,24W,1,Upland,1,20,13,1,BOGR,16,2,BOGR,14.5,1.5,0,0,1,2,1.5
23-Oct,TGM,24W,1,Upland,4,10,11,4,BOGR,11,1,BOGR,11,2.5,0,0,4,1,2.5
23-Oct,TGM,24W,1,Upland,4,20,11,1,EREF,0,0,Bare,5.5,0.5,1,0,,0,0
23-Oct,TGM,24W,2,Upland,1,10,2,1,BOGR,8,1,BOGR,5,1,0,0,1,1,1
23-Oct,TGM,24W,2,Upland,1,20,4,1,BOGR,6,1,BOGR,5,1,0,0,1,1,1
23-Oct,TGM,24W,2,Upland,4,10,5,1,BOGR,3,1,BOGR,4,1,0,0,1,1,1
23-Oct,TGM,24W,2,Upland,4,20,19,2,BOGR,10,1,BOGR,14.5,1.5,0,0,2,1,1.5
23-Oct,TGM,24W,3,Upland,1,10,3,1,BOGR,20,1,BOGR,11.5,1,0,0,1,1,1
23-Oct,TGM,24W,3,Upland,1,20,3,1,ARLO,0,0,Bare,1.5,0.5,0,0,1,0,0.5
23-Oct,TGM,24W,3,Upland,4,10,9,1,BOGR,17,1,BOGR,13,1,0,0,1,1,1
23-Oct,TGM,24W,3,Upland,4,20,2,1,BOGR,16,2,BOGR,9,1.5,0,0,1,2,1.5
23-Oct,TGM,24W,4,Upland,1,10,11,5,OPPO,3,1,BOGR,7,3,1,0,,1,1
23-Oct,TGM,24W,4,Upland,1,20,22,7,ARLO,10,1,ARFR,16,4,0,1,7,,7
23-Oct,TGM,24W,4,Upland,4,10,3,1,BOGR,4,1,BOGR,3.5,1,0,0,1,1,1
23-Oct,TGM,24W,4,Upland,4,20,11,2,BOGR,9,2,BOGR,10,2,0,0,2,2,2
23-Oct,TGM,20SE,1,Upland,1,10,22,9,STCO,25,2,STCO,23.5,5.5,0,0,9,2,5.5
