Date,Pasture,Ecosite,Plot,Transect,Distance,High-E,Low-E,Spp-E,High-W,Low-W,Spp-W,Mean High,Mean Low,Screen 1,Screen 2 ,Low 1,Low 2 ,Mean Low Filtered
10/6/2014,17N,Upland,1,1,3,5,4,CAEL,3,1,BOGR,4,2.5,0,0,4,1,2.5
10/6/2014,17N,Upland,1,1,6,6,4,BOGR,12,2,BOGR,9,3,0,0,4,2,3
10/6/2014,17N,Upland,1,1,9,6,4,BOGR,12,3,BOGR,9,3.5,0,0,4,3,3.5
10/6/2014,17N,Upland,1,1,12,2,1,CAEL,21,10,VUOC,11.5,5.5,0,1,1,,1
10/6/2014,17N,Upland,1,1,15,3,2,BOGR,6,4,VUOC,4.5,3,0,1,2,,2
10/6/2014,17N,Upland,1,1,18,3,2,BOGR,30,1,VUOC,16.5,1.5,0,1,2,,2
10/6/2014,17N,Upland,1,1,21,3,2,BOGR,5,3,BOGR,4,2.5,0,0,2,3,2.5
10/6/2014,17N,Upland,1,1,24,3,2,BOGR,18,4,BOGR,10.5,3,0,0,2,4,3
10/6/2014,17N,Upland,1,2,3,9,1,BOGR,4,2,BOGR,6.5,1.5,0,0,1,2,1.5
10/6/2014,17N,Upland,1,2,6,11,1,BOGR,10,2,BOGR,10.5,1.5,0,0,1,2,1.5
10/6/2014,17N,Upland,1,2,9,6,2,BOGR,6,2,BOGR,6,2,0,0,2,2,2
10/6/2014,17N,Upland,1,2,12,10,1,BOGR,11,4,BOGR,10.5,2.5,0,0,1,4,2.5
10/6/2014,17N,Upland,1,2,15,14,2,BOGR,7,1,BOGR,10.5,1.5,0,0,2,1,1.5
10/6/2014,17N,Upland,1,2,18,11,2,BOGR,8,3,BOGR,9.5,2.5,0,0,2,3,2.5
10/6/2014,17N,Upland,1,2,21,16,2,BOGR,7,0,BOGR,11.5,1,0,0,2,0,1
10/6/2014,17N,Upland,1,2,24,11,1,BOGR,9,2,BOGR,10,1.5,0,0,1,2,1.5
10/6/2014,17N,Upland,1,3,3,12,5,BOGR,10,2,BOGR,11,3.5,0,0,5,2,3.5
10/6/2014,17N,Upland,1,3,6,18,4,BOGR,24,2,BOGR,21,3,0,0,4,2,3
10/6/2014,17N,Upland,1,3,9,16,5,STCO,20,4,BOGR,18,4.5,0,0,5,4,4.5
