Date,Pasture,Plot,Transect,Distance,High-E,Low-E,Spp-E,High-W,Low-W,Spp-W,MeanLowAll,ForageSppCheck,ForageSppCheck,LowFor-E,LowFor-W,MeanLowFor
10/6/15,10S,1,1,3,12,2,bogr,7,1,bogr,1.5,1,1,2,1,1.5
10/6/15,10S,1,1,6,8,2,pasm,14,3,bogr,2.5,1,1,2,3,2.5
10/6/15,10S,1,1,9,22,4,arfr,6,2,bogr,3,0,1,,2,
10/6/15,10S,1,1,12,8,1,bogr,14,2,pasm,1.5,1,1,1,2,1.5
10/6/15,10S,1,1,15,23,3,bogr,11,2,pasm,2.5,1,1,3,2,2.5
10/6/15,10S,1,1,18,22,2,bogr,24,2,bogr,2,1,1,2,2,2
10/6/15,10S,1,1,21,4,1,bogr,34,1,bogr,1,1,1,1,1,1
10/6/15,10S,1,1,24,20,4,pasm,14,3,bogr,3.5,1,1,4,3,3.5
10/6/15,10S,1,2,3,8,1,bogr,8,2,bogr,1.5,1,1,1,2,1.5
10/6/15,10S,1,2,6,3,1,bogr,16,1,bogr,1,1,1,1,1,1
10/6/15,10S,1,2,9,3,1,bogr,4,1,bogr,1,1,1,1,1,1
10/6/15,10S,1,2,12,28,3,bogr,19,1,bogr,2,1,1,3,1,2
10/6/15,10S,1,2,15,4,1,bogr,29,3,bogr,2,1,1,1,3,2
10/6/15,10S,1,2,18,21,2,bogr,24,2,bogr,2,1,1,2,2,2
10/6/15,10S,1,2,21,2,1,bogr,4,1,bogr,1,1,1,1,1,1
10/6/15,10S,1,2,24,4,1,bogr,4,1,bogr,1,1,1,1,1,1
10/6/15,10S,1,3,3,10,2,bogr,8,2,bogr,2,1,1,2,2,2
10/6/15,10S,1,3,6,12,1,bogr,14,2,bogr,1.5,1,1,1,2,1.5
10/6/15,10S,1,3,9,16,1,bogr,5,1,bogr,1,1,1,1,1,1
10/6/15,10S,1,3,12,9,1,bogr,34,1,bogr,1,1,1,1,1,1
10/6/15,10S,1,3,15,14,2,bogr,14,2,bogr,2,1,1,2,2,2
10/6/15,10S,1,3,18,32,3,bogr,28,4,bogr,3.5,1,1,3,4,3.5
10/6/15,10S,1,3,21,39,2,bogr,22,2,bogr,2,1,1,2,2,2
10/6/15,10S,1,3,24,23,2,bogr,52,9,pasm,5.5,1,1,2,9,5.5
10/6/15,10S,1,4,3,20,2,arlo,6,1,bogr,1.5,0,1,,1,
10/6/15,10S,1,4,6,12,1,bogr,4,2,bogr,1.5,1,1,1,2,1.5
10/6/15,10S,1,4,9,20,3,bogr,9,1,bogr,2,1,1,3,1,2
10/6/15,10S,1,4,12,18,2,bogr,15,2,pasm,2,1,1,2,2,2
10/6/15,10S,1,4,15,4,1,bogr,8,1,bogr,1,1,1,1,1,1
10/6/15,10S,1,4,18,11,2,bogr,6,1,bogr,1.5,1,1,2,1,1.5
10/6/15,10S,1,4,21,21,1,bogr,23,1,bogr,1,1,1,1,1,1
10/6/15,10S,1,4,24,14,3,bogr,11,1,bogr,2,1,1,3,1,2
