Date,Pasture,Ecosite,Plot,Transect,Distance,High East,Low East,Spp East,High West,Low West,Spp West,MeanHigh,MeanLow,Notes
10/11/2017,8E,Uplands,4,1,3,22,3,pasm,28,8,pasm,25,5.5,
10/11/2017,8E,Uplands,4,1,6,17,3,pasm,16,3,pasm,16.5,3,
10/11/2017,8E,Uplands,4,1,9,30,1,pasm,18,1,pasm,24,1,
10/11/2017,8E,Uplands,4,1,12,26,3,pasm,23,2,pasm,24.5,2.5,
10/11/2017,8E,Uplands,4,1,15,24,11,atca,14,3,pasm,19,7,
10/11/2017,8E,Uplands,4,1,18,18,2,bogr,28,4,pasm,23,3,
10/11/2017,8E,Uplands,4,1,21,18,1,bogr,18,2,pasm,18,1.5,
10/11/2017,8E,Uplands,4,1,24,19,2,pasm,20,4,pasm,19.5,3,
10/11/2017,8E,Uplands,4,2,3,6,2,bogr,12,3,atca,9,2.5,
10/11/2017,8E,Uplands,4,2,6,24,1,bogr,28,2,atca,26,1.5,
10/11/2017,8E,Uplands,4,2,9,4,2,bogr,8,2,bogr,6,2,
10/11/2017,8E,Uplands,4,2,12,4,1,bogr,4,2,bogr,4,1.5,
10/11/2017,8E,Uplands,4,2,15,6,2,bogr,6,2,bogr,6,2,
10/11/2017,8E,Uplands,4,2,18,16,2,pasm,11,3,pasm,13.5,2.5,
10/11/2017,8E,Uplands,4,2,21,15,3,pasm,18,2,pasm,16.5,2.5,
10/11/2017,8E,Uplands,4,2,24,19,2,bogr,13,1,bogr,16,1.5,
10/11/2017,8E,Uplands,4,3,3,19,3,bogr,8,1,pasm,13.5,2,
10/11/2017,8E,Uplands,4,3,6,36,4,arpu,20,2,oppo,28,3,
10/11/2017,8E,Uplands,4,3,9,25,2,bogr,16,2,pasm,20.5,2,
10/11/2017,8E,Uplands,4,3,12,15,2,spco,14,4,pasm,14.5,3,
10/11/2017,8E,Uplands,4,3,15,19,5,bogr,16,1,pasm,17.5,3,
10/11/2017,8E,Uplands,4,3,18,13,2,bogr,6,1,pasm,9.5,1.5,
10/11/2017,8E,Uplands,4,3,21,16,2,pasm,19,2,pasm,17.5,2,
10/11/2017,8E,Uplands,4,3,24,9,3,bogr,18,5,pasm,13.5,4,
10/11/2017,8E,Uplands,4,4,3,16,3,arpu,10,3,bogr,13,3,
10/11/2017,8E,Uplands,4,4,6,7,2,bogr,2,2,bogr,4.5,2,
10/11/2017,8E,Uplands,4,4,9,23,5,arpu,58,19,atca,40.5,12,
10/11/2017,8E,Uplands,4,4,12,9,1,hevi,4,0,bogr,6.5,0.5,
10/11/2017,8E,Uplands,4,4,15,14,1,bogr,14,2,pasm,14,1.5,
10/11/2017,8E,Uplands,4,4,18,12,1,bogr,6,1,bogr,9,1,
10/11/2017,8E,Uplands,4,4,21,24,5,pasm,22,2,pasm,23,3.5,
10/11/2017,8E,Uplands,4,4,24,19,1,pasm,30,4,pasm,24.5,2.5,
10/11/2017,8E,Uplands,3,1,3,33,1,pasm,40,1,pasm,36.5,1,
10/11/2017,8E,Uplands,3,1,6,6,1,bogr,4,2,bogr,5,1.5,
10/11/2017,8E,Uplands,3,1,9,23,4,arpu,19,1,bogr,21,2.5,
10/11/2017,8E,Uplands,3,1,12,6,1,bogr,6,3,bogr,6,2,
10/11/2017,8E,Uplands,3,1,15,15,2,bogr,14,2,bogr,14.5,2,
10/11/2017,8E,Uplands,3,1,18,6,2,bogr,3,2,bogr,4.5,2,
10/11/2017,8E,Uplands,3,1,21,6,1,bogr,4,2,bogr,5,1.5,
10/11/2017,8E,Uplands,3,1,24,6,2,bogr,4,2,bogr,5,2,
10/11/2017,8E,Uplands,3,2,3,18,10,atca,27,3,bogr,22.5,6.5,
10/11/2017,8E,Uplands,3,2,6,20,2,bogr,23,5,bogr,21.5,3.5,
10/11/2017,8E,Uplands,3,2,9,20,1,bogr,16,2,bogr,18,1.5,
10/11/2017,8E,Uplands,3,2,12,9,2,bogr,17,1,bogr,13,1.5,
10/11/2017,8E,Uplands,3,2,15,4,2,bogr,16,2,bogr,10,2,
10/11/2017,8E,Uplands,3,2,18,19,2,bogr,33,18,atca,26,10,
10/11/2017,8E,Uplands,3,2,21,3,1,bogr,4,2,bogr,3.5,1.5,
10/11/2017,8E,Uplands,3,2,24,8,0,bogr,38,5,atca,23,2.5,
10/11/2017,8E,Uplands,3,3,3,6,2,bogr,4,2,bogr,5,2,
10/11/2017,8E,Uplands,3,3,6,4,1,bogr,9,2,bogr,6.5,1.5,
10/11/2017,8E,Uplands,3,3,9,18,5,atca,9,0,bogr,13.5,2.5,
10/11/2017,8E,Uplands,3,3,12,50,18,atca,4,0,bogr,27,9,
10/11/2017,8E,Uplands,3,3,15,34,4,bogr,7,2,bogr,20.5,3,
10/11/2017,8E,Uplands,3,3,18,11,2,bogr,5,2,bogr,8,2,
10/11/2017,8E,Uplands,3,3,21,19,3,bogr,19,2,bogr,19,2.5,
10/11/2017,8E,Uplands,3,3,24,9,2,bogr,4,1,bogr,6.5,1.5,
10/11/2017,8E,Uplands,3,4,3,12,2,oppo,25,2,oppo,18.5,2,
10/11/2017,8E,Uplands,3,4,6,6,1,bogr,10,1,bogr,8,1,
10/11/2017,8E,Uplands,3,4,9,28,2,pasm,21,5,pasm,24.5,3.5,
10/11/2017,8E,Uplands,3,4,12,7,1,buda,10,2,bogr,8.5,1.5,
10/11/2017,8E,Uplands,3,4,15,6,3,oppo,6,1,bogr,6,2,
10/11/2017,8E,Uplands,3,4,18,32,1,buda,8,1,bogr,20,1,
10/11/2017,8E,Uplands,3,4,21,14,3,bogr,6,2,bogr,10,2.5,
10/11/2017,8E,Uplands,3,4,24,4,2,bogr,4,2,bogr,4,2,
10/11/2017,8E,Uplands,2,1,3,11,3,saib,29,5,saib,20,4,
10/11/2017,8E,Uplands,2,1,6,7,2,bogr,17,2,crmi,12,2,
10/11/2017,8E,Uplands,2,1,9,14,3,oppo,21,2,pasm,17.5,2.5,
10/11/2017,8E,Uplands,2,1,12,27,8,pasm,20,1,pasm,23.5,4.5,
10/11/2017,8E,Uplands,2,1,15,35,2,pasm,36,2,pasm,35.5,2,
10/11/2017,8E,Uplands,2,1,18,14,5,bogr,13,2,eref,13.5,3.5,
10/11/2017,8E,Uplands,2,1,21,23,4,pasm,14,1,pasm,18.5,2.5,
10/11/2017,8E,Uplands,2,1,24,44,3,pasm,27,3,pasm,35.5,3,
10/11/2017,8E,Uplands,2,2,3,22,1,oppo,17,2,bogr,19.5,1.5,
10/11/2017,8E,Uplands,2,2,6,5,2,buda,3,1,bogr,4,1.5,
10/11/2017,8E,Uplands,2,2,9,18,3,bogr,21,3,eref,19.5,3,
10/11/2017,8E,Uplands,2,2,12,3,1,bogr,7,1,buda,5,1,
10/11/2017,8E,Uplands,2,2,15,14,3,oppo,22,9,oppo,18,6,
10/11/2017,8E,Uplands,2,2,18,26,4,oppo,20,2,gusa,23,3,
10/11/2017,8E,Uplands,2,2,21,19,2,bogr,7,5,oppo,13,3.5,
10/11/2017,8E,Uplands,2,2,24,14,3,pasm,18,2,eref,16,2.5,
10/11/2017,8E,Uplands,2,3,3,10,1,bogr,9,4,gusa,9.5,2.5,
10/11/2017,8E,Uplands,2,3,6,17,3,bogr,6,4,gusa,11.5,3.5,
10/11/2017,8E,Uplands,2,3,9,13,3,eref,13,2,pasm,13,2.5,
10/11/2017,8E,Uplands,2,3,12,6,2,bogr,28,5,arpu,17,3.5,
10/11/2017,8E,Uplands,2,3,15,14,3,oppo,29,5,gusa,21.5,4,
10/11/2017,8E,Uplands,2,3,18,21,3,gusa,6,3,bogr,13.5,3,
10/11/2017,8E,Uplands,2,3,21,10,3,bogr,5,2,bogr,7.5,2.5,
10/11/2017,8E,Uplands,2,3,24,28,0,pasm,19,1,oppo,23.5,0.5,
10/11/2017,8E,Uplands,2,4,3,15,3,bogr,11,1,bogr,13,2,
10/11/2017,8E,Uplands,2,4,6,16,3,bogr,15,2,bogr,15.5,2.5,
10/11/2017,8E,Uplands,2,4,9,23,2,oppo,15,2,bogr,19,2,
10/11/2017,8E,Uplands,2,4,12,22,2,oppo,38,9,erna,30,5.5,
10/11/2017,8E,Uplands,2,4,15,28,5,oppo,25,2,bogr,26.5,3.5,
10/11/2017,8E,Uplands,2,4,18,13,6,oppo,17,2,buda,15,4,
10/11/2017,8E,Uplands,2,4,21,24,2,pasm,25,2,bogr,24.5,2,
10/11/2017,8E,Uplands,2,4,24,32,2,pasm,18,3,eref,25,2.5,
10/11/2017,8E,Uplands,1,1,3,30,4,bogr,8,1,bogr,19,2.5,
10/11/2017,8E,Uplands,1,1,6,11,2,bogr,8,2,bogr,9.5,2,
10/11/2017,8E,Uplands,1,1,9,3,1,bogr,3,1,buda,3,1,
10/11/2017,8E,Uplands,1,1,12,14,3,bogr,21,4,bogr,17.5,3.5,
10/11/2017,8E,Uplands,1,1,15,11,3,pasm,30,4,pasm,20.5,3.5,
10/11/2017,8E,Uplands,1,1,18,19,2,buda,16,4,pasm,17.5,3,
10/11/2017,8E,Uplands,1,1,21,16,3,gusa,19,5,evnu,17.5,4,
10/11/2017,8E,Uplands,1,1,24,11,2,bogr,11,3,bogr,11,2.5,
10/11/2017,8E,Uplands,1,2,3,15,1,bogr,20,3,atca,17.5,2,
10/11/2017,8E,Uplands,1,2,6,17,2,pasm,15,1,buda,16,1.5,
10/11/2017,8E,Uplands,1,2,9,21,2,eref,19,1,bogr,20,1.5,
10/11/2017,8E,Uplands,1,2,12,27,5,atca,14,0,bogr,20.5,2.5,
10/11/2017,8E,Uplands,1,2,15,17,2,bogr,28,1,bogr,22.5,1.5,
10/11/2017,8E,Uplands,1,2,18,16,1,bogr,28,2,arpu,22,1.5,
10/11/2017,8E,Uplands,1,2,21,10,2,bogr,18,1,eref,14,1.5,
10/11/2017,8E,Uplands,1,2,24,19,3,bogr,41,30,atca,30,16.5,
10/11/2017,8E,Uplands,1,3,3,14,2,bogr,14,2,bogr,14,2,
10/11/2017,8E,Uplands,1,3,6,5,0,bogr,4,3,bogr,4.5,1.5,
10/11/2017,8E,Uplands,1,3,9,16,2,bogr,22,1,pasm,19,1.5,
10/11/2017,8E,Uplands,1,3,12,18,2,bogr,24,4,bogr,21,3,
10/11/2017,8E,Uplands,1,3,15,4,1,buda,20,4,bogr,12,2.5,
10/11/2017,8E,Uplands,1,3,18,21,3,oppo,23,0,bogr,22,1.5,
10/11/2017,8E,Uplands,1,3,21,15,2,bogr,21,2,bogr,18,2,
10/11/2017,8E,Uplands,1,3,24,16,2,bogr,9,2,bogr,12.5,2,
10/11/2017,8E,Uplands,1,4,3,33,2,bogr,15,4,oeal,24,3,
10/11/2017,8E,Uplands,1,4,6,31,4,bogr,16,4,bogr,23.5,4,
10/11/2017,8E,Uplands,1,4,9,21,2,bogr,4,1,buda,12.5,1.5,
10/11/2017,8E,Uplands,1,4,12,24,9,oppo,9,1,bogr,16.5,5,
10/11/2017,8E,Uplands,1,4,15,19,3,bogr,28,10,eref,23.5,6.5,
10/11/2017,8E,Uplands,1,4,18,19,2,bogr,28,3,bogr,23.5,2.5,
10/11/2017,8E,Uplands,1,4,21,11,1,bogr,16,2,pasm,13.5,1.5,
10/11/2017,8E,Uplands,1,4,24,6,1,bogr,1,0,bogr,3.5,0.5,
10/11/2017,25NW,Uplands,4,1,3,18,1,bogr,8,2,bogr,13,1.5,
10/11/2017,25NW,Uplands,4,1,6,6,1,bogr,4,2,bogr,5,1.5,
10/11/2017,25NW,Uplands,4,1,9,21,3,bogr,5,3,bogr,13,3,
10/11/2017,25NW,Uplands,4,1,12,14,2,bogr,8,2,bogr,11,2,
10/11/2017,25NW,Uplands,4,1,15,17,5,bogr,5,2,bogr,11,3.5,
10/11/2017,25NW,Uplands,4,1,18,8,3,bogr,16,3,bogr,12,3,
10/11/2017,25NW,Uplands,4,1,21,13,2,bogr,14,3,arpu,13.5,2.5,
10/11/2017,25NW,Uplands,4,1,24,10,2,bogr,12,2,bogr,11,2,
10/11/2017,25NW,Uplands,4,2,3,7,4,cadu,7,2,bogr,7,3,
10/11/2017,25NW,Uplands,4,2,6,11,2,bogr,16,1,bogr,13.5,1.5,
10/11/2017,25NW,Uplands,4,2,9,23,4,bogr,20,4,cadu,21.5,4,
10/11/2017,25NW,Uplands,4,2,12,16,2,bogr,16,3,pasm,16,2.5,
10/11/2017,25NW,Uplands,4,2,15,22,5,pasm,30,4,pasm,26,4.5,
10/11/2017,25NW,Uplands,4,2,18,15,3,bogr,20,3,bogr,17.5,3,
10/11/2017,25NW,Uplands,4,2,21,19,3,cadu,8,3,cadu,13.5,3,
10/11/2017,25NW,Uplands,4,2,24,14,2,cadu,26,4,oppo,20,3,
10/11/2017,25NW,Uplands,4,3,3,21,1,bogr,23,1,bogr,22,1,
10/11/2017,25NW,Uplands,4,3,6,16,2,pasm,26,17,gusa,21,9.5,
10/11/2017,25NW,Uplands,4,3,9,15,3,bogr,24,4,pasm,19.5,3.5,
10/11/2017,25NW,Uplands,4,3,12,16,4,pasm,12,3,pasm,14,3.5,
10/11/2017,25NW,Uplands,4,3,15,29,5,pasm,26,3,bogr,27.5,4,
10/11/2017,25NW,Uplands,4,3,18,28,3,pasm,26,6,pasm,27,4.5,
10/11/2017,25NW,Uplands,4,3,21,26,3,bogr,28,2,pasm,27,2.5,
10/11/2017,25NW,Uplands,4,3,24,11,3,bogr,13,3,pasm,12,3,
10/11/2017,25NW,Uplands,4,4,3,24,2,bogr,21,4,eref,22.5,3,
10/11/2017,25NW,Uplands,4,4,6,11,2,bogr,25,3,eref,18,2.5,
10/11/2017,25NW,Uplands,4,4,9,14,3,bogr,5,3,bogr,9.5,3,
