Date,Pasture,Plot,Transect,Distance,High East,Low East,Spp East,High West,Low West,Spp West,MeanHigh,MeanLow,Notes,,,,,
10/9/18,31E,1,1,3,4,1,BOGR,3,1,CADU,,,,,,,,
10/9/18,31E,1,1,6,4,1,BOGR,8,2,VUOC,,,,,,,,
10/9/18,31E,1,1,9,10,1,BOGR,3,1,CADU,,,,,,,,
10/9/18,31E,1,1,12,1,1,BOGR,3,1,BOGR,,,,,,,,
10/9/18,31E,1,1,15,2,1,BOGR,2,1,BOGR,,,,,,,,
10/9/18,31E,1,1,18,3,1,VUOC,8,1,VUOC,,,,,,,,
10/9/18,31E,1,1,21,20,5,VUOC,13,3,VUOC,,,,,,,,
10/9/18,31E,1,1,24,1,1,BOGR,2,1,BOGR,,,,,,,,
10/9/18,31E,1,2,3,3,1,BOGR,3,1,CADU,,,,,,,,
10/9/18,31E,1,2,6,11,3,VUOC,14,1,BOGR,,,,,,,,
10/9/18,31E,1,2,9,9,2,VUOC,24,3,VUOC,,,,,,,,
10/9/18,31E,1,2,12,12,3,VUOC,3,1,PLPA,,,,,,,,
10/9/18,31E,1,2,15,1,0,BOGR,4,1,VUOC,,,,,,,,
10/9/18,31E,1,2,18,12,1,BOGR,10,1,BOGR,,,,,,,,
10/9/18,31E,1,2,21,15,3,BOGR,18,1,BOGR,,,,,,,,
10/9/18,31E,1,2,24,20,1,BOGR,12,1,VUOC,,,,,,,,
10/9/18,31E,1,3,3,10,1,VUOC,12,2,VUOC,,,,,,,,
10/9/18,31E,1,3,6,9,2,BOGR,4,2,VUOC,,,,,,,,
10/9/18,31E,1,3,9,7,1,VUOC,4,3,BOGR,,,,,,,,
10/9/18,31E,1,3,12,5,2,BOGR,10,1,BOGR,,,,,,,,
10/9/18,31E,1,3,15,8,1,BOGR,1,0,BOGR,,,,,,,,
10/9/18,31E,1,3,18,3,1,BOGR,6,1,BOGR,,,,,,,,
10/9/18,31E,1,3,21,14,2,VUOC,5,1,BOGR,,,,,,,,
10/9/18,31E,1,3,24,3,2,BOGR,8,2,VUOC,,,,,,,,
10/9/18,31E,1,4,3,6,1,PASM,15,3,BOGR,,,,,,,,
10/9/18,31E,1,4,6,18,1,PASM,10,3,PASM,,,,,,,,
10/9/18,31E,1,4,9,13,2,PASM,22,3,BOGR,,,,,,,,
10/9/18,31E,1,4,12,11,2,BOGR,12,2,BOGR,,,,,,,,
10/9/18,31E,1,4,15,10,1,PASM,5,3,BOGR,,,,,,,,
10/9/18,31E,1,4,18,17,1,BOGR,3,3,BOGR,,,,,,,,
10/9/18,31E,1,4,21,10,3,BOGR,15,1,BOGR,,,,,,,,
10/9/18,31E,1,4,24,11,2,PASM,18,2,BOGR,,,,,,,,
10/9/18,31E,2,1,3,15,2,VUOC,7,1,BOGR,,,,,,,,
10/9/18,31E,2,1,6,20,5,VUOC,18,2,VUOC,,,,,,,,
