Date,Pasture,Treatment,Ecosite,Plot,Transect,Distance,High East,Low East,Spp East,High West,Low West,Spp West,MeanHigh,MeanLow,Screen1,Screen2,Low1,Low2,MeanLow(forage)
10/8/2019,20SE,TGM,Salt Flat,4,1,3,28,8,spai,40,2,spai,34,5,0,0,8,2,5
10/8/2019,20SE,TGM,Salt Flat,4,1,6,40,3,chle,42,5,spai,41,4,0,0,3,5,4
10/8/2019,20SE,TGM,Salt Flat,4,1,9,38,3,spai,34,4,pasm,36,3.5,0,0,3,4,3.5
10/8/2019,20SE,TGM,Salt Flat,4,1,12,24,3,chle,31,2,chle,27.5,2.5,0,0,3,2,2.5
10/8/2019,20SE,TGM,Salt Flat,4,1,15,41,4,spai,34,2,spai,37.5,3,0,0,4,2,3
10/8/2019,20SE,TGM,Salt Flat,4,1,18,26,9,spai,34,3,spai,30,6,0,0,9,3,6
10/8/2019,20SE,TGM,Salt Flat,4,1,21,46,5,spai,26,3,pasm,36,4,0,0,5,3,4
10/8/2019,20SE,TGM,Salt Flat,4,1,24,66,2,spai,37,1,heco,51.5,1.5,0,0,2,1,1.5
10/8/2019,20SE,TGM,Salt Flat,4,2,3,26,4,spai,26,3,pasm,26,3.5,0,0,4,3,3.5
10/8/2019,20SE,TGM,Salt Flat,4,2,6,24,2,spai,20,3,pasm,22,2.5,0,0,2,3,2.5
10/8/2019,20SE,TGM,Salt Flat,4,2,9,39,5,spai,28,2,spai,33.5,3.5,0,0,5,2,3.5
10/8/2019,20SE,TGM,Salt Flat,4,2,12,26,3,spai,39,3,spai,32.5,3,0,0,3,3,3
10/8/2019,20SE,TGM,Salt Flat,4,2,15,28,5,spai,48,2,spai,38,3.5,0,0,5,2,3.5
10/8/2019,20SE,TGM,Salt Flat,4,2,18,22,3,spai,49,2,spai,35.5,2.5,0,0,3,2,2.5
10/8/2019,20SE,TGM,Salt Flat,4,2,21,28,3,spai,48,4,spai,38,3.5,0,0,3,4,3.5
10/8/2019,20SE,TGM,Salt Flat,4,2,24,38,7,spai,49,4,spai,43.5,5.5,0,0,7,4,5.5
10/8/2019,20SE,TGM,Salt Flat,4,3,3,41,3,spai,43,5,spai,42,4,0,0,3,5,4
10/8/2019,20SE,TGM,Salt Flat,4,3,6,38,8,spai,25,8,spai,31.5,8,0,0,8,8,8
10/8/2019,20SE,TGM,Salt Flat,4,3,9,19,4,spai,16,8,spai,17.5,6,0,0,4,8,6
10/8/2019,20SE,TGM,Salt Flat,4,3,12,36,2,brte,41,9,brte,38.5,5.5,1,1,,,
10/8/2019,20SE,TGM,Salt Flat,4,3,15,31,8,brte,22,3,brte,26.5,5.5,1,1,,,
10/8/2019,20SE,TGM,Salt Flat,4,3,18,17,2,spai,18,2,spai,17.5,2,0,0,2,2,2
10/8/2019,20SE,TGM,Salt Flat,4,3,21,20,3,spai,46,3,pasm,33,3,0,0,3,3,3
10/8/2019,20SE,TGM,Salt Flat,4,3,24,23,2,spai,67,4,pasm,45,3,0,0,2,4,3
10/8/2019,20SE,TGM,Salt Flat,4,4,3,16,5,spai,16,2,bogr,16,3.5,0,0,5,2,3.5
10/8/2019,20SE,TGM,Salt Flat,4,4,6,32,1,chle,27,2,spai,29.5,1.5,0,0,1,2,1.5
10/8/2019,20SE,TGM,Salt Flat,4,4,9,34,3,spai,16,5,spai,25,4,0,0,3,5,4
10/8/2019,20SE,TGM,Salt Flat,4,4,12,29,2,spai,20,2,spai,24.5,2,0,0,2,2,2
10/8/2019,20SE,TGM,Salt Flat,4,4,15,27,2,spai,26,5,chle,26.5,3.5,0,0,2,5,3.5
10/8/2019,20SE,TGM,Salt Flat,4,4,18,30,1,spai,34,3,spai,32,2,0,0,1,3,2
10/8/2019,20SE,TGM,Salt Flat,4,4,21,66,3,pasm,48,9,chle,57,6,0,0,3,9,6
10/8/2019,20SE,TGM,Salt Flat,4,4,24,48,2,chle,52,3,chle,50,2.5,0,0,2,3,2.5
10/9/2019,20SE,TGM,Salt Flat,5,3,3,22,3,spai,27,0,spai,24.5,1.5,0,0,3,0,1.5
10/9/2019,20SE,TGM,Salt Flat,5,3,6,8,1,spai,45,4,spai,26.5,2.5,0,0,1,4,2.5
10/9/2019,20SE,TGM,Salt Flat,5,3,9,10,2,disp,24,6,spai,17,4,0,0,2,6,4
10/9/2019,20SE,TGM,Salt Flat,5,3,12,18,3,chle,20,3,chle,19,3,0,0,3,3,3
10/9/2019,20SE,TGM,Salt Flat,5,3,15,28,1,pasm,30,3,spai,29,2,0,0,1,3,2
10/9/2019,20SE,TGM,Salt Flat,5,3,18,31,5,spai,21,3,spai,26,4,0,0,5,3,4
10/9/2019,20SE,TGM,Salt Flat,5,3,21,20,6,spai,38,4,chle,29,5,0,0,6,4,5
10/9/2019,20SE,TGM,Salt Flat,5,3,24,14,4,spai,12,4,spai,13,4,0,0,4,4,4
10/9/2019,20SE,TGM,Salt Flat,5,4,3,34,5,spai,26,9,spai,30,7,0,0,5,9,7
10/9/2019,20SE,TGM,Salt Flat,5,4,6,33,2,spai,24,3,pasm,28.5,2.5,0,0,2,3,2.5
10/9/2019,20SE,TGM,Salt Flat,5,4,9,29,4,spai,33,3,spai,31,3.5,0,0,4,3,3.5
10/9/2019,20SE,TGM,Salt Flat,5,4,12,19,4,spai,40,5,spai,29.5,4.5,0,0,4,5,4.5
10/9/2019,20SE,TGM,Salt Flat,5,4,15,24,7,spai,22,5,pasm,23,6,0,0,7,5,6
10/9/2019,20SE,TGM,Salt Flat,5,4,18,30,7,spai,30,5,pasm,30,6,0,0,7,5,6
10/9/2019,20SE,TGM,Salt Flat,5,4,21,22,7,pasm,44,9,erna,33,8,0,0,7,9,8
10/9/2019,20SE,TGM,Salt Flat,5,4,24,31,5,spai,48,8,spai,39.5,6.5,0,0,5,8,6.5
10/9/2019,20SE,TGM,Salt Flat,5,1,3,22,2,bogr,42,9,spai,32,5.5,0,0,2,9,5.5
