ID,Year,SamplingDate,Season,Pasture,Plot,Transect,Distance,High East,Low East,Spp East,High West,Low West,Spp West,MeanHigh,MeanLow
,2020,9/29/2020,Fall,17S,1,1,3,18,1,BOGR,8,1,BOGR,13,1
,2020,9/29/2020,Fall,17S,1,1,6,2,0,BOGR,6,1,BOGR,4,0.5
,2020,9/29/2020,Fall,17S,1,1,9,2,0,BOGR,4,0,BOGR,3,0
,2020,9/29/2020,Fall,17S,1,1,12,4,0,BOGR,2,0,BOGR,3,0
,2020,9/29/2020,Fall,17S,1,1,15,8,1,BOGR,10,1,OPPO,9,1
,2020,9/29/2020,Fall,17S,1,1,18,4,0,BOGR,10,1,CADU,7,0.5
,2020,9/29/2020,Fall,17S,1,1,21,2,0,BOGR,4,1,BOGR,3,0.5
,2020,9/29/2020,Fall,17S,1,1,24,12,1,HECO,6,1,OPPO,9,1
,2020,9/29/2020,Fall,17S,1,2,3,1,0,BOGR,2,0,BOGR,1.5,0
,2020,9/29/2020,Fall,17S,1,2,6,12,3,HECO,2,0,BOGR,7,1.5
,2020,9/29/2020,Fall,17S,1,2,9,4,1,BOGR,1,0,BOGR,2.5,0.5
,2020,9/29/2020,Fall,17S,1,2,12,6,1,BOGR,8,1,HECO,7,1
,2020,9/29/2020,Fall,17S,1,2,15,2,0,BOGR,3,0,BOGR,2.5,0
,2020,9/29/2020,Fall,17S,1,2,18,8,1,HECO,4,0,BOGR,6,0.5
,2020,9/29/2020,Fall,17S,1,2,21,2,0,BOGR,3,1,BOGR,2.5,0.5
,2020,9/29/2020,Fall,17S,1,2,24,4,1,BOGR,6,0,BOGR,5,0.5
,2020,9/29/2020,Fall,17S,1,3,3,2,0,BOGR,4,1,BOGR,3,0.5
,2020,9/29/2020,Fall,17S,1,3,6,6,1,BOGR,7,5,OPPO,6.5,3
,2020,9/29/2020,Fall,17S,1,3,9,22,3,ARPU,3,0,OPPO,12.5,1.5
,2020,9/29/2020,Fall,17S,1,3,12,8,0,BOGR,6,1,BOGR,7,0.5
,2020,9/29/2020,Fall,17S,1,3,15,6,0,BOGR,4,1,BOGR,5,0.5
,2020,9/29/2020,Fall,17S,1,3,18,2,1,BOGR,4,2,BOGR,3,1.5
,2020,9/29/2020,Fall,17S,1,3,21,6,3,BOGR,8,2,OPPO,7,2.5
,2020,9/29/2020,Fall,17S,1,3,24,3,0,BOGR,6,1,BOGR,4.5,0.5
,2020,9/29/2020,Fall,17S,1,4,3,6,1,BOGR,8,1,HECO,7,1
,2020,9/29/2020,Fall,17S,1,4,6,6,1,BOGR,2,1,BOGR,4,1
,2020,9/29/2020,Fall,17S,1,4,9,8,0,HECO,4,1,HECO,6,0.5
,2020,9/29/2020,Fall,17S,1,4,12,2,1,BOGR,9,1,BOGR,5.5,1
,2020,9/29/2020,Fall,17S,1,4,15,3,1,BOGR,5,1,BOGR,4,1
,2020,9/29/2020,Fall,17S,1,4,18,10,1,BOGR,9,0,PASM,9.5,0.5
,2020,9/29/2020,Fall,17S,1,4,21,7,1,HECO,10,1,BOGR,8.5,1
,2020,9/29/2020,Fall,17S,1,4,24,8,3,OPPO,4,1,BOGR,6,2
,2020,9/29/2020,Fall,17S,2,1,3,10,1,BOGR,4,1,BOGR,7,1
,2020,9/29/2020,Fall,17S,2,1,6,6,0,BOGR,3,1,BOGR,4.5,0.5
,2020,9/29/2020,Fall,17S,2,1,9,10,0,BOGR,3,1,BOGR,6.5,0.5
,2020,9/29/2020,Fall,17S,2,1,12,1,0,BOGR,4,1,BOGR,2.5,0.5
,2020,9/29/2020,Fall,17S,2,1,15,11,0,BOGR,12,4,BOGR,11.5,2
,2020,9/29/2020,Fall,17S,2,1,18,2,0,BOGR,4,0,BOGR,3,0
,2020,9/29/2020,Fall,17S,2,1,21,3,1,BOGR,1,0,BOGR,2,0.5
,2020,9/29/2020,Fall,17S,2,1,24,18,2,BOGR,8,1,BOGR,13,1.5
,2020,9/29/2020,Fall,17S,2,2,3,6,2,BOGR,6,2,BOGR,6,2
,2020,9/29/2020,Fall,17S,2,2,6,8,1,OPPO,8,1,BOGR,8,1
,2020,9/29/2020,Fall,17S,2,2,9,4,1,BOGR,4,1,BOGR,4,1
,2020,9/29/2020,Fall,17S,2,2,12,8,0,BOGR,4,2,BOGR,6,1
,2020,9/29/2020,Fall,17S,2,2,15,5,1,BOGR,2,0,BOGR,3.5,0.5
,2020,9/29/2020,Fall,17S,2,2,18,19,0,BOGR,2,1,OPPO,10.5,0.5
,2020,9/29/2020,Fall,17S,2,2,21,8,2,OPPO,16,0,BOGR,12,1
,2020,9/29/2020,Fall,17S,2,2,24,14,1,BOGR,13,2,OPPO,13.5,1.5
,2020,9/29/2020,Fall,17S,2,3,3,3,1,BOGR,2,0,BOGR,2.5,0.5
,2020,9/29/2020,Fall,17S,2,3,6,2,1,BOGR,6,1,HECO,4,1
,2020,9/29/2020,Fall,17S,2,3,9,2,1,BOGR,4,1,BOGR,3,1
,2020,9/29/2020,Fall,17S,2,3,12,2,1,BOGR,3,1,BOGR,2.5,1
,2020,9/29/2020,Fall,17S,2,3,15,2,1,BOGR,3,1,BOGR,2.5,1
,2020,9/29/2020,Fall,17S,2,3,18,3,1,BOGR,4,1,BOGR,3.5,1
,2020,9/29/2020,Fall,17S,2,3,21,4,1,BOGR,4,1,BOGR,4,1
,2020,9/29/2020,Fall,17S,2,3,24,2,1,BOGR,6,1,BOGR,4,1
,2020,9/29/2020,Fall,17S,2,4,3,10,3,OPPO,5,1,BOGR,7.5,2
,2020,9/29/2020,Fall,17S,2,4,6,21,4,SPCR,18,3,BOGR,19.5,3.5
,2020,9/29/2020,Fall,17S,2,4,9,12,1,BOGR,10,2,OPPO,11,1.5
,2020,9/29/2020,Fall,17S,2,4,12,2,0,BOGR,2,1,BOGR,2,0.5
,2020,9/29/2020,Fall,17S,2,4,15,1,0,BOGR,4,1,OPPO,2.5,0.5
,2020,9/29/2020,Fall,17S,2,4,18,2,0,BOGR,3,1,BOGR,2.5,0.5
,2020,9/29/2020,Fall,17S,2,4,21,10,1,BOGR,6,1,BOGR,8,1
,2020,9/29/2020,Fall,17S,2,4,24,4,0,BOGR,18,1,EREF,11,0.5
,2020,9/29/2020,Fall,17S,3,1,3,6,1,BOGR,6,1,HECO,6,1
,2020,9/29/2020,Fall,17S,3,1,6,6,0,HECO,9,1,OPPO,7.5,0.5
,2020,9/29/2020,Fall,17S,3,1,9,5,0,HECO,10,1,HECO,7.5,0.5
,2020,9/29/2020,Fall,17S,3,1,12,14,1,PASM,6,0,PASM,10,0.5
,2020,9/29/2020,Fall,17S,3,1,15,16,2,PASM,12,2,PASM,14,2
,2020,9/29/2020,Fall,17S,3,1,18,6,1,PASM,8,0,DISP,7,0.5
,2020,9/29/2020,Fall,17S,3,1,21,10,1,PASM,12,1,DISP,11,1
,2020,9/29/2020,Fall,17S,3,1,24,10,1,DISP,10,1,PASM,10,1
,2020,9/29/2020,Fall,17S,3,2,3,23,0,SPAI,11,1,SPAI,17,0.5
,2020,9/29/2020,Fall,17S,3,2,6,10,1,SPAI,3,0,DISP,6.5,0.5
