Year,SamplingDate,Season,Pasture,Plot,Transect,Distance,High East,EastHighSpp,Low East,EastLowSpp,High West,WestHighSpp,Low West,WestLowSpp,MeanHigh,MeanLow
2021,10/8/2021,Fall,20SE,1,1,3,53,heco,6,heco,31,heco,2,bogr,42,4
2021,10/8/2021,Fall,20SE,1,1,6,42,heco,3,heco,63,spcr,3,heco,52.5,3
2021,10/8/2021,Fall,20SE,1,1,9,37,heco,7,chle,34,heco,4,chle,35.5,5.5
2021,10/8/2021,Fall,20SE,1,1,12,37,spcr,0,bare,54,spcr,3,chle,45.5,1.5
2021,10/8/2021,Fall,20SE,1,1,15,13,spcr,1,spcr,38,chle,2,spcr,25.5,1.5
2021,10/8/2021,Fall,20SE,1,1,18,24,spcr,1,spcr,17,spcr,3,spcr,20.5,2
2021,10/8/2021,Fall,20SE,1,1,21,29,chle,1,arpu,37,spcr,2,crmi,33,1.5
2021,10/8/2021,Fall,20SE,1,1,24,45,spcr,2,oppo,58,spcr,3,oppo,51.5,2.5
2021,10/8/2021,Fall,20SE,1,2,3,48,spcr,10,heco,55,heco,10,heco,51.5,10
2021,10/8/2021,Fall,20SE,1,2,6,32,heco,4,crja,32,spcr,7,heco,32,5.5
2021,10/8/2021,Fall,20SE,1,2,9,24,chle,4,heco,42,chle,10,heco,33,7
2021,10/8/2021,Fall,20SE,1,2,12,16,spcr,4,heco,32,spcr,3,heco,24,3.5
2021,10/8/2021,Fall,20SE,1,2,15,33,heco,10,heco,48,chle,3,heco,40.5,6.5
2021,10/8/2021,Fall,20SE,1,2,18,55,chle,3,heco,38,chle,4,chle,46.5,3.5
2021,10/8/2021,Fall,20SE,1,2,21,43,spcr,6,heco,35,spcr,2,lede,39,4
2021,10/8/2021,Fall,20SE,1,2,24,31,chle,4,chle,24,chle,3,chle,27.5,3.5
2021,10/8/2021,Fall,20SE,1,3,3,49,chle,7,heco,28,heco,4,chle,38.5,5.5
2021,10/8/2021,Fall,20SE,1,3,6,38,spcr,4,heco,58,heco,18,heco,48,11
2021,10/8/2021,Fall,20SE,1,3,9,47,heco,8,heco,39,heco,6,heco,43,7
2021,10/8/2021,Fall,20SE,1,3,12,31,heco,3,heco,31,heco,9,heco,31,6
2021,10/8/2021,Fall,20SE,1,3,15,36,chle,9,heco,20,chle,9,chle,28,9
2021,10/8/2021,Fall,20SE,1,3,18,22,chle,2,heco,38,heco,7,heco,30,4.5
2021,10/8/2021,Fall,20SE,1,3,21,32,heco,8,heco,55,heco,14,heco,43.5,11
2021,10/8/2021,Fall,20SE,1,3,24,31,heco,6,chle,40,chle,4,heco,35.5,5
2021,10/8/2021,Fall,20SE,1,4,3,45,chle,1,spcr,27,chle,3,heco,36,2
2021,10/8/2021,Fall,20SE,1,4,6,52,chle,3,chle,22,bogr,4,chle,37,3.5
2021,10/8/2021,Fall,20SE,1,4,9,30,chle,2,chle,31,spcr,4,chle,30.5,3
2021,10/8/2021,Fall,20SE,1,4,12,49,chle,1,heco,39,chle,1,chle,44,1
2021,10/8/2021,Fall,20SE,1,4,15,14,heco,5,heco,22,heco,2,heco,18,3.5
2021,10/8/2021,Fall,20SE,1,4,18,39,spcr,1,chle,44,chle,1,heco,41.5,1
2021,10/8/2021,Fall,20SE,1,4,21,34,chle,5,chle,43,chle,6,chle,38.5,5.5
2021,10/8/2021,Fall,20SE,1,4,24,21,chle,2,chle,19,chle,5,chle,20,3.5
2021,10/12/2021,Fall,20SE,2,1,3,28,chle,2,heco,30,chle,2,chle,29,2
2021,10/12/2021,Fall,20SE,2,1,6,28,chle,4,heco,28,chle,1,heco,28,2.5
2021,10/12/2021,Fall,20SE,2,1,9,24,chle,2,heco,27,chle,4,chle,25.5,3
2021,10/12/2021,Fall,20SE,2,1,12,16,heco,3,heco,15,chle,2,heco,15.5,2.5
2021,10/12/2021,Fall,20SE,2,1,15,48,spcr,2,chle,36,chle,9,heco,42,5.5
2021,10/12/2021,Fall,20SE,2,1,18,35,spcr,1,heco,37,chle,1,crmi,36,1
2021,10/12/2021,Fall,20SE,2,1,21,34,heco,4,spcr,35,chle,3,spcr,34.5,3.5
2021,10/12/2021,Fall,20SE,2,1,24,35,spcr,5,spcr,33,spcr,3,spcr,34,4
2021,10/12/2021,Fall,20SE,2,2,3,45,chle,2,chle,33,chle,2,chle,39,2
2021,10/12/2021,Fall,20SE,2,2,6,45,pasm,2,pasm,52,chle,2,chle,48.5,2
2021,10/12/2021,Fall,20SE,2,2,9,48,chle,25,atca,43,chle,1,chle,45.5,13
2021,10/12/2021,Fall,20SE,2,2,12,49,spcr,1,spcr,37,chle,3,chle,43,2
2021,10/12/2021,Fall,20SE,2,2,15,35,heco,1,heco,29,chle,6,lede,32,3.5
2021,10/12/2021,Fall,20SE,2,2,18,43,chle,1,chle,31,chle,3,chle,37,2
2021,10/12/2021,Fall,20SE,2,2,21,38,chle,1,chle,59,spcr,3,chle,48.5,2
2021,10/12/2021,Fall,20SE,2,2,24,18,chle,1,heco,47,chle,1,pasm,32.5,1
2021,10/12/2021,Fall,20SE,2,3,3,18,chle,2,chle,44,chle,1,chle,31,1.5
2021,10/12/2021,Fall,20SE,2,3,6,53,chle,3,chle,48,heco,11,ciun,50.5,7
2021,10/12/2021,Fall,20SE,2,3,9,35,heco,2,heco,61,heco,3,chle,48,2.5
2021,10/12/2021,Fall,20SE,2,3,12,42,heco,4,chle,33,chle,5,chle,37.5,4.5
