Date,Pasture,Plot,Transect , Distance,East-High,East-High-Spp,East-Low,East-Low-Spp,West-High,West-High-Sp,West-Low,West-Low-Spp
9/29/2022,5E,1,1,3,14,CHLE,2,KRLA,4,KRLA,2,KRLA
9/29/2022,5E,1,1,6,13,SAIB,1,CHLE,30,BOGR,2,OPPO
9/29/2022,5E,1,1,9,32,BOGR,5,CHLE,4,KRLA,1,KRLA
9/29/2022,5E,1,1,12,4,BOGR,1,BOGR,11,BOGR,2,BOGR
9/29/2022,5E,1,1,15,16,SAIB,1,SAIB,2,BOGR,1,BOGR
9/29/2022,5E,1,1,18,2,BOGR,1,BOGR,27,SAIB,1,SAIB
9/29/2022,5E,1,1,21,2,BOGR,1,BOGR,20,ATCA,1,ATCA
9/29/2022,5E,1,1,24,2,BOGR,1,BOGR,6,BOGR,1,BOGR
9/29/2022,5E,1,2,3,2,BOGR,1,BOGR,24,BOGR,1,PASM
9/29/2022,5E,1,2,6,22,BOGR,1,OPPO,26,ATCA,4,ATCA
9/29/2022,5E,1,2,9,40,ATCA,1,ATCA,9,BOGR,1,BOGR
9/29/2022,5E,1,2,12,20,BOGR,1,OPPO,18,BOGR,2,PASM
9/29/2022,5E,1,2,15,30,BOGR,2,BOGR,24,BOGR,1,PASM
9/29/2022,5E,1,2,18,21,BOGR,1,BOGR,16,BOGR,1,BOGR
9/29/2022,5E,1,2,21,10,PASM,1,PASM,10,PASM,1,PASM
9/29/2022,5E,1,2,24,14,ATCA,1,BOGR,30,PASM,1,ATCA
9/29/2022,5E,1,3,3,46,ATCA,26,ATCA,34,ATCA,2,ATCA
9/29/2022,5E,1,3,6,13,PASM,1,PASM,12,EREF,1,CHLE
9/29/2022,5E,1,3,9,25,BOGR,1,CADU,2,SPCR,0,BARE
9/29/2022,5E,1,3,12,15,BOGR,8,OPPO,18,BOGR,1,BOGR
9/29/2022,5E,1,3,15,23,ATCA,2,SAIB,22,BOGR,1,BOGR
9/29/2022,5E,1,3,18,32,BOGR,2,BOGR,10,BOGR,1,OPPO
9/29/2022,5E,1,3,21,16,BOGR,3,CHLE,16,KRLA,2,OPPO
9/29/2022,5E,1,3,24,22,BOGR,2,BOGR,28,BOGR,1,BOGR
9/29/2022,5E,1,4,3,22,PASM,4,KRLA,17,KRLA,7,KRLA
9/29/2022,5E,1,4,6,6,BOGR,1,SPCO,4,PASM,1,PASM
9/29/2022,5E,1,4,9,11,PASM,1,PASM,8,PASM,1,PASM
9/29/2022,5E,1,4,12,15,BOGR,0,BARE,16,PASM,1,CHLE
9/29/2022,5E,1,4,15,22,BOGR,1,EREF,22,BOGR,1,BOGR
9/29/2022,5E,1,4,18,27,BOGR,1,PASM,14,BOGR,1,PASM
9/29/2022,5E,1,4,21,22,BOGR,1,EREF,12,BOGR,1,PASM
9/29/2022,5E,1,4,24,14,BOGR,1,BOGR,14,BOGR,2,BOGR
9/29/2022,5E,2,1,3,36,ATCA,6,ATCA,9,BOGR,1,PASM
9/29/2022,5E,2,1,6,22,BOGR,2,BOGR,20,BOGR,2,BOGR
9/29/2022,5E,2,1,9,16,BOGR,1,BOGR,10,BOGR,1,BOGR
9/29/2022,5E,2,1,12,6,BOGR,0,BARE,36,ATCA,2,ATCA
9/29/2022,5E,2,1,15,20,BOGR,1,BOGR,16,BOGR,1,BOGR
9/29/2022,5E,2,1,18,30,BOGR,1,BOGR,32,BOGR,1,OPPO
9/29/2022,5E,2,1,21,16,BOGR,2,BOGR,24,BOGR,1,BOGR
9/29/2022,5E,2,1,24,21,BOGR,1,BOGR,30,BOGR,2,BOGR
9/29/2022,5E,2,2,3,14,BOGR,2,BOGR,22,BOGR,1,BOGR
9/29/2022,5E,2,2,6,24,BOGR,1,BOGR,16,BOGR,1,BOGR
9/29/2022,5E,2,2,9,20,BOGR,6,OPPO,16,BOGR,2,BOGR
9/29/2022,5E,2,2,12,16,BOGR,1,BOGR,4,BOGR,1,BOGR
9/29/2022,5E,2,2,15,22,BOGR,1,BOGR,3,BOGR,1,BOGR
