Year,Site,Low,High,Total kg/ha
2008,15E,1.8,9,485
2008,15SW,2.7,9.5,694
2008,21N,3.7,14.9,1009
2008,23E,1.9,8.5,473
2008,23W,4.4,17.3,691
2008,26NESW,2.5,12.6,692
2008,26NWSW,3.1,17.9,876
2008,30NWSW,1.7,8.8,463
2008,GS,4.7,19.1,1075
2008,SPB1f,2.2,5.3,475
2008,SPB1s,2.1,5.6,450
2008,SPB3f,2.6,9.6,550
2008,SPB3s,2.8,9.6,576
2008,SPBunb,2.9,10.3,618
2009,15E,7.1,32.9,2519
2009,15SW,5.4,17.2,1025
2009,1W,7.3,31.8,1968
2009,23E,5.7,27.2,1638
2009,23W,8.9,34,2757
2009,GS,10.9,49.3,2871
2013,15E,2.3,18.8,388
2013,20NW,5.4,19.8,1348
2013,20NW,2.8,16.6,707
2013,20SE,5.7,25.2,1324
2013,20SE,4.3,21.3,1141
2013,21N,1.3,4.1,353
2013,23E,1.6,6.4,375
2013,23W,2,8.3,384
2013,24W,1.5,8.8,422
2013,25NW,1.4,6.7,378
2013,25SE,1.2,5.1,356
2013,5E,3.2,22,1019
2013,8E,1.8,14.2,651
2013,CN,1.1,2.9,229
2016,15E,6,19.8,1506
2016,23E,4.3,14.9,1200
2016,23W,5.3,16.6,1396
2016,GS,9.8,38,1928
2016,HEX,4.4,15.1,1689
2017,15E,4.5,19.1,1119
2017,23E,2.9,14.9,923
2017,GS,10.7,29.6,1317
2018,GS,6.2,34.5,1305
2018,23E,2.7,9.8,884
2018,23W,4.4,30.9,865
2018,HEX,3.6,15.6,947
2019,15E,6.4,23.1,1246
2019,23E,4,19.5,1049
2019,GS,9.4,34.1,1800
2019,HEX,4.1,25,1176
2020,25NW-1,1.1,4.3,301
2020,25NW-2,4.6,17.8,853
2020,25NW-3,1.4,8.7,417
2020,25NW-4,2.1,15.1,514
2020,31W-1,1.6,6.2,265
2020,31W-2,1.6,5.4,365
2020,31W-3,1.7,9.8,284
2020,31W-4,3,16,879
2020,15E,1.6,13.2,381.7583333
2020,23E,1.5,7.6,311.775
2020,23W,1.9,15.4,388.485
2020,GS,3.5,20.2,386.5833333
2020,HEX,2,11.4,524.7916667
2021,15E,3,23.8,1188.175
2021,23E,2.8,22.7,1093.066667
2021,23W,6.4,55.4,1911.016667
2021,GS,7.1,48.7,1437.833333
2021,HEX,3.5,29.5,1351.766667
2022,15E,1.5,9.4,178.2916667
2022,23E,1.1,7.4,271.1083333
2022,23W,1.8,15.2,279.5333333
2022,GS,2.2,17.7,476.2083333
2023,15E,8.5,48.1,2192.266667
2023,23E,4.3,38.6,1653.041667
2023,23W,11.6,67.6,3671.408333
2023,GS,13.9,60.6,1966.633333
2023,HEX,7,40.5,1645.316667
