Id_transect,Pasture,Date,Date_mean,Year,Season,Low,High,Biomass_kg_ha,geometry
10S_P1_1.0,10S,2014-06-12,2014-06-12,2014,June,6.0,18.81,1280.2827745202273,
10S_P1_1.0,10S,2015-06-12,2015-06-12,2015,June,9.69,25.06,1951.3363081857417,
10S_P1_1.0,10S,2016-06-12,2016-06-12,2016,June,5.38,17.94,1169.5025804099178,
10S_P1_1.0,10S,2017-06-12,2017-06-12,2017,June,3.86,12.36,838.3436549996509,
10S_P1_1.0,10S,2018-06-15,2018-06-15,2018,June,3.94,17.06,927.1809242229757,
10S_P1_1.0,10S,2019-06-19,2019-06-19,2019,June,2.5,10.38,590.2639980523636,
10S_P1_1.0,10S,2020-06-16,2020-06-16,2020,June,2.19,12.31,567.6307836466793,
10S_P1_1.0,10S,2021-06-23,2021-06-23,2021,June,1.06,8.31,315.76459651971027,
10S_P1_1.0,10S,2022-06-14,2022-06-14,2022,June,0.94,4.25,237.9063905022498,
10S_P1_1.0,10S,2023-06-20,2023-06-20,2023,June,3.25,16.5,805.7337048233768,
10S_P1_2.0,10S,2014-06-12,2014-06-12,2014,June,9.12,19.75,1765.8298614483606,
10S_P1_2.0,10S,2015-06-12,2015-06-12,2015,June,7.62,24.88,1633.657419363881,
10S_P1_2.0,10S,2016-06-12,2016-06-12,2016,June,5.75,19.94,1260.5828797258732,
10S_P1_2.0,10S,2017-06-12,2017-06-12,2017,June,3.57,12.86,801.3000689241154,
10S_P1_2.0,10S,2018-06-15,2018-06-15,2018,June,3.25,20.88,866.9263685600855,
10S_P1_2.0,10S,2019-06-19,2019-06-19,2019,June,3.21,11.71,725.4087090858944,
10S_P1_2.0,10S,2020-06-16,2020-06-16,2020,June,1.81,12.69,507.07053698494065,
10S_P1_2.0,10S,2021-06-23,2021-06-23,2021,June,1.43,7.79,373.74674329934766,
10S_P1_2.0,10S,2022-06-14,2022-06-14,2022,June,1.06,8.0,311.7547275241248,
10S_P1_2.0,10S,2023-06-20,2023-06-20,2023,June,3.5,18.86,881.4282076073913,
10S_P1_3.0,10S,2014-06-12,2014-06-12,2014,June,9.75,20.06,1864.18146819973,
10S_P1_3.0,10S,2015-06-12,2015-06-12,2015,June,10.44,25.56,2072.4951079561633,
10S_P1_3.0,10S,2016-06-12,2016-06-12,2016,June,6.31,24.12,1416.576564572245,
10S_P1_3.0,10S,2017-06-12,2017-06-12,2017,June,5.19,18.0,1140.8730487984935,
10S_P1_3.0,10S,2018-06-15,2018-06-15,2018,June,2.75,20.88,779.5094095701747,
10S_P1_3.0,10S,2019-06-19,2019-06-19,2019,June,3.25,14.31,773.0243427973562,
10S_P1_3.0,10S,2020-06-16,2020-06-16,2020,June,2.31,16.44,644.433502580972,
10S_P1_3.0,10S,2021-06-23,2021-06-23,2021,June,3.5,14.0,808.5653974786685,
10S_P1_3.0,10S,2022-06-14,2022-06-14,2022,June,1.75,9.38,451.10198371405033,
10S_P1_3.0,10S,2023-06-20,2023-06-20,2023,June,4.06,20.25,994.5754740250445,
10S_P1_4.0,10S,2014-06-12,2014-06-12,2014,June,8.19,35.69,1896.1100891439523,
10S_P1_4.0,10S,2015-06-12,2015-06-12,2015,June,8.44,31.88,1876.4432775288112,
10S_P1_4.0,10S,2016-06-12,2016-06-12,2016,June,4.19,18.69,992.6161826879242,
10S_P1_4.0,10S,2017-06-12,2017-06-12,2017,June,3.33,19.25,858.3004428932059,
10S_P1_4.0,10S,2018-06-15,2018-06-15,2018,June,3.14,49.36,1172.4383828393538,
10S_P1_4.0,10S,2019-06-19,2019-06-19,2019,June,4.38,19.25,1031.9527463453453,
10S_P1_4.0,10S,2020-06-16,2020-06-16,2020,June,2.12,15.88,603.5345009246183,
10S_P1_4.0,10S,2021-06-23,2021-06-23,2021,June,4.06,53.81,1402.4850170698826,
10S_P1_4.0,10S,2022-06-14,2022-06-14,2022,June,1.88,14.38,541.4575408236021,
10S_P1_4.0,10S,2023-06-20,2023-06-20,2023,June,14.69,85.5,3673.6549485781966,
10S_P2_1.0,10S,2014-06-12,2014-06-12,2014,June,4.88,12.75,1001.5257668318994,
10S_P2_1.0,10S,2015-06-12,2015-06-12,2015,June,6.36,25.07,1439.591526297485,
10S_P2_1.0,10S,2016-06-12,2016-06-12,2016,June,3.0,9.36,652.734376800078,
10S_P2_1.0,10S,2017-06-12,2017-06-12,2017,June,3.57,14.43,826.5955223473645,
10S_P2_1.0,10S,2018-06-15,2018-06-15,2018,June,2.93,12.93,699.7522367820831,
10S_P2_1.0,10S,2019-06-19,2019-06-19,2019,June,2.0,12.75,541.1237236529445,
10S_P2_1.0,10S,2020-06-16,2020-06-16,2020,June,2.19,15.38,609.4275155409998,
10S_P2_1.0,10S,2021-06-23,2021-06-23,2021,June,3.94,17.38,932.0838787082437,
10S_P2_1.0,10S,2022-06-15,2022-06-14,2022,June,1.62,10.62,446.0493057859117,
10S_P2_1.0,10S,2023-06-21,2023-06-20,2023,June,3.56,20.38,912.9554615833451,
10S_P2_2.0,10S,2014-06-12,2014-06-12,2014,June,7.56,16.19,1466.3393389079613,
10S_P2_2.0,10S,2015-06-12,2015-06-12,2015,June,9.25,26.44,1909.9796750777925,
10S_P2_2.0,10S,2016-06-12,2016-06-12,2016,June,4.44,13.44,946.8146304435857,
10S_P2_2.0,10S,2017-06-12,2017-06-12,2017,June,6.0,16.94,1247.4826093012061,
