Date,StationID,Air Temperature Maximum,Air Temperature Minimum,Precipitation Increment,Relative Humidity,Wind Speed Maximum,Wind Speed Average,Solar Radiation Average,Solar Radiation/langley Total,Vapor Pressure - Partial,Vapor Pressure - Saturated,Soil Moisture Percent,Soil Moisture Percent,Soil Moisture Percent,Soil Moisture Percent,Soil Moisture Percent,Soil Temperature Observed,Soil Temperature Observed,Soil Temperature Observed,Soil Temperature Observed,Soil Temperature Observed
,,Degrees fahrenheit,Degrees fahrenheit,Inches,Percent,Miles/hour,Miles/hour,Watts/meter squared,Langleys,Inches hg,Inches hg,Percent,Percent,Percent,Percent,Percent,Degrees fahrenheit,Degrees fahrenheit,Degrees fahrenheit,Degrees fahrenheit,Degrees fahrenheit
1/1/2012,2017,36.7,8.1,0,60.12,12.8,4.2,105.82,,,,16.6,22,19.3,20.8,11.2,31,32,33,33,39
1/2/2012,2017,50,9,0,59.5,13.6,5.6,104.82,,,,15.8,20.1,20.9,20.8,11.2,31,32,33,33,39
1/3/2012,2017,58.8,21.7,0,33.79,30.6,10.4,48.07,,,,16.9,20.1,20.7,20.7,11.2,31,32,33,33,39
1/4/2012,2017,62.1,18.1,0,42.38,21.2,7.2,94.34,,,,17.3,20.5,20.8,20.6,11.2,31,32,33,33,39
1/5/2012,2017,69.6,33.6,0,23.29,25.3,10,100.49,,,,18.8,21.2,20.9,20.6,11.2,33,32,33,33,39
1/6/2012,2017,52.2,11.3,0,51.38,28.9,11.3,104.94,,,,20.3,25,21.1,20.6,11.2,33,32,33,33,39
1/7/2012,2017,42.1,12.7,0,70.58,19.6,6.6,64.78,,,,18,25.3,21.2,20.7,11.2,32,32,33,34,39
1/8/2012,2017,39.6,7.3,0,65.88,12.1,4.9,113.77,,,,16.4,22.8,21.3,20.8,11.2,31,32,33,34,39
1/9/2012,2017,53.2,15.4,0,58.42,17.2,5.6,107.76,,,,16.8,20.6,21.3,20.8,11.2,31,32,33,34,39
1/10/2012,2017,57.7,21.6,0,44.5,21.2,7.1,113.27,,,,17.7,20.9,21.2,20.7,11.2,32,32,33,34,39
1/11/2012,2017,36.7,5.4,0,65.42,39.2,19.1,103.57,,,,17.3,21.5,21.3,20.7,11.2,31,32,33,34,39
1/12/2012,2017,38.5,13.3,0,28.58,33.6,16.5,100,,,,15.3,19.6,21.1,20.7,11.3,30,31,33,34,39
1/13/2012,2017,47.7,19.9,0,22,35.4,14.4,90.91,,,,16,19.7,21,20.9,11.3,31,32,33,33,39
1/14/2012,2017,58.1,19.9,0,32.42,17.4,5.6,83.63,,,,16.9,20,20.8,21,11.3,31,32,33,33,38
1/15/2012,2017,54.3,20.8,0,26.67,14.4,4.5,66.94,,,,16.8,20.1,20.8,21,11.2,31,32,33,33,38
1/16/2012,2017,38.7,7.3,0,66.25,21.9,7.4,91.18,,,,16.6,20.4,20.9,20.9,11.2,32,32,33,33,38
1/17/2012,2017,29.1,0.1,0,40.29,22.9,8,127.55,,,,14.7,19.2,20.8,20.7,11.2,30,31,33,33,38
1/18/2012,2017,47.3,10.8,0,29.58,38.5,15,93.14,,,,15.1,18.9,20.2,20.7,11.1,30,31,33,33,38
1/19/2012,2017,60.1,33.4,0,36.79,37.5,13.9,105.27,,,,17.7,20.1,20,20.7,11,32,32,33,33,38
1/20/2012,2017,51.3,16.7,0,47.62,42,17.2,124.28,,,,19.1,22.9,20.5,20.7,11,33,32,33,33,38
1/21/2012,2017,51.8,16,0,60,23.8,5.3,78.9,,,,17.8,24.9,20.7,20.7,11.1,32,32,33,33,38
1/22/2012,2017,43.7,16,0,52.12,39.8,18,114.94,,,,19.2,25.1,20.6,20.7,11.1,32,32,33,33,38
1/23/2012,2017,45.7,10.6,0,50.83,14.9,5.5,104.97,,,,17.3,25.3,20.8,20.7,11.1,32,32,33,34,38
1/24/2012,2017,36.5,14,0,64.88,32.4,12.9,108.19,,,,17.6,25.2,20.8,20.7,11.1,32,32,33,34,38
1/25/2012,2017,58.6,7.7,0,52.83,40.8,13.3,80.17,,,,17.2,24.4,20.9,20.7,11,32,32,33,34,38
1/26/2012,2017,50,25.7,0,43.04,30.5,10,127.22,,,,19.1,25.2,20.8,20.7,11,33,33,33,34,38
1/27/2012,2017,41,11.8,0,64.17,34.8,17.1,105.71,,,,19,25.3,21.1,20.6,11,32,33,34,34,38
1/28/2012,2017,40.5,4.3,0,41.46,20.4,7.2,98.49,,,,16.7,25,20.7,20.6,11,31,32,34,34,38
1/29/2012,2017,57.4,19.4,0,27.42,30.2,10.2,108.18,,,,17.3,24.3,20.8,20.7,11,32,32,33,34,38
1/30/2012,2017,57.2,25.3,0,32.38,21.7,7.5,69.14,,,,18.2,24.9,20.8,20.7,11,32,32,33,34,38
1/31/2012,2017,48,23,0,37.62,27.9,8.1,134.91,,,,18.8,25.1,20.7,20.7,11,34,34,34,34,38
2/1/2012,2017,48,15.1,0,39.46,23.4,7.2,134.52,,,,18.7,25.1,20.9,20.7,11,34,34,35,34,38
2/2/2012,2017,42.4,22.8,0,53.38,30.8,12.1,93.6,,,,19.2,24.9,20.9,20.8,11.2,34,34,35,35,38
2/3/2012,2017,27.5,24.1,0,86.29,31.9,20.5,86.56,,,,19,24.9,20.9,20.7,11.3,33,34,35,35,38
2/4/2012,2017,34,17.1,0,79.42,16.5,5,82.66,,,,18.9,24.8,20.7,20.7,11.3,32,33,34,34,38
2/5/2012,2017,37.2,11.3,0,76.29,12.3,4.4,149.02,,,,18,24.8,20.7,20.6,11.2,32,33,34,34,38
2/6/2012,2017,37,8.2,0,68.38,28.8,11.5,87.62,,,,16.8,24.7,20.7,20.7,11.2,31,32,34,34,38
2/7/2012,2017,25.5,14.7,0,81.42,19.9,6.4,63.48,,,,16.4,24.5,20.9,20.7,11.2,31,32,34,34,38
