index,Year,PastureID,on_date,off_date,on_wt_raw,on_wt,off_wt_raw,off_wt,on_ct,period_days,adg,outlier_adg_upr,outlier_adg_lwr,outlier_adg,outlier_on_wt_upr,outlier_on_wt_lwr,outlier_on_wt,outlier_off_wt_upr,outlier_off_wt_lwr,outlier_off_wt,num_animals,area_ha,on_ct_ha,on_au,on_au_ha,CP,DOM,Biomass_kg_ha,forage_kg_au,forage_kg_100kg,period
0,2000,15E,2000-05-19,2000-06-15,599.95,599.95,674.9,674.9,20.0,27.0,2.775925925925926,4.238242263393716,1.3136095884581367,0.0,839.457010116065,360.44298988393507,0.0,915.4714906327497,434.3285093672504,0.0,20,132.26,0.15121729925903524,11.999000000000002,0.09072281869045822,9.340064000000002,64.38892186666666,880.5778503999999,2426.5610987145587,2139.860596609735,0
1,2000,15E,2000-06-15,2000-07-14,674.9,674.9,706.6,706.6,20.0,29.0,1.0931034482758621,2.1676978431344143,0.018509053417309573,0.0,915.4714906327497,434.3285093672504,0.0,942.0014711754771,471.19852882452295,0.0,20,132.26,0.15121729925903524,13.498,0.10205655526992288,8.515764285714285,61.51065714285712,886.5032871428572,2171.5981026358404,1915.0217210539408,1
2,2000,15E,2000-07-14,2000-08-11,706.6,706.6,746.9,746.9,20.0,28.0,1.4392857142857143,3.7838608912575706,-0.9052894626861416,0.0,942.0014711754771,471.19852882452295,0.0,991.3622670270404,502.4377329729597,0.0,20,132.26,0.15121729925903524,14.132,0.1068501436564343,6.521666666666665,59.03775555555556,967.1323088888888,2262.824072559518,1995.4692558514753,2
3,2000,23E,2000-05-19,2000-06-15,600.08,600.08,671.76,671.76,25.0,27.0,2.6548148148148147,4.381428093936072,0.9282015356935578,0.0,842.8467398965518,357.31326010344833,0.0,928.6373248069981,414.88267519300194,0.0,25,119.77,0.2087334056942473,15.002,0.12525674208900395,9.608391999999998,64.86269013333334,935.6584667999999,1867.481245311225,1646.8365597165798,0
4,2000,23E,2000-06-15,2000-07-14,671.76,671.76,699.92,699.92,25.0,29.0,0.9710344827586206,2.514599237538854,-0.5725302720216126,0.0,928.6373248069981,414.88267519300194,0.0,927.2775158203483,472.5624841796515,0.0,25,119.77,0.2087334056942473,16.794,0.14021875260916758,8.264985714285714,61.36088690476191,908.6112110714284,1619.988757145781,1428.5855444577085,1
5,2000,23E,2000-07-14,2000-08-11,699.92,699.92,756.16,756.16,25.0,28.0,2.0085714285714285,3.060755745473508,0.9563871116693496,0.0,927.2775158203483,472.5624841796515,0.0,979.056298757965,533.2637012420349,0.0,25,119.77,0.2087334056942473,17.498,0.14609668531351758,6.404837037037036,58.76832592592595,1072.1909792592594,1834.72844876388,1617.953537237745,2
6,2000,23W,2000-05-19,2000-06-15,600.7333333333333,600.7333333333333,674.9333333333333,674.9333333333333,15.0,27.0,2.748148148148148,4.18352874587039,1.3127675504259064,0.0,838.1492432587515,363.31742340791516,0.0,896.7579744996641,453.10869216700246,0.0,15,126.48,0.11859582542694497,9.011,0.07124446552814673,9.443728000000002,64.63274586666667,878.8067148,3083.771870156032,2719.4212902267573,0
7,2000,23W,2000-06-15,2000-07-14,674.9333333333333,674.9333333333333,717.2,717.2,15.0,29.0,1.457471264367816,3.4309320082456805,-0.5159894795100486,0.0,896.7579744996641,453.10869216700246,0.0,921.0587746455865,513.3412253544136,0.0,15,126.48,0.11859582542694497,10.123999999999999,0.08004427577482605,8.629992857142858,61.75731428571428,842.0816967857143,2630.0497088467296,2319.306833884114,1
8,2000,23W,2000-07-14,2000-08-11,717.2,717.2,757.6,757.6,15.0,28.0,1.4428571428571428,3.40046173608843,-0.5147474503741443,0.0,921.0587746455865,513.3412253544136,0.0,968.5431880185482,546.6568119814518,0.0,15,126.48,0.11859582542694497,10.758000000000001,0.08505692599620494,7.551718518518517,60.492604938271626,1034.21486,3039.772622532069,2680.6205955643118,2
9,2001,15E,2001-05-17,2001-06-14,642.7,642.7,745.3,745.3,20.0,28.0,3.6642857142857146,5.056665620960353,2.2719058076110743,0.0,933.5365248907474,351.8634751092527,0.0,1019.6010063876236,470.9989936123764,0.0,20,132.26,0.15121729925903524,12.854000000000001,0.09718735823378195,10.640738271604938,66.38251481481483,1364.6359407407406,3510.322652916803,3095.574692243437,0
10,2001,15E,2001-06-14,2001-07-13,745.3,745.3,793.0,793.0,20.0,29.0,1.6448275862068964,3.3260316820756004,-0.03637650966180672,0.0,1019.6010063876236,470.9989936123764,0.0,1072.7536510273958,513.2463489726043,0.0,20,132.26,0.15121729925903524,14.905999999999999,0.11270225313775896,8.699445238095239,63.15812976190476,1290.7084107142855,2863.0936267454617,2524.81639119764,1
11,2001,15E,2001-07-13,2001-08-10,793.0,793.0,823.1,823.1,20.0,28.0,1.075,3.019762859032755,-0.8697628590327551,0.0,1072.7536510273958,513.2463489726043,0.0,1076.916572807173,569.283427192827,0.0,20,132.26,0.15121729925903524,15.860000000000001,0.11991531831241496,7.879037037037038,63.079518518518526,1050.1165096296297,2189.287666513474,1930.6212461320497,2
12,2001,15E,2001-08-10,2001-09-07,827.578947368421,827.578947368421,896.2105263157895,896.2105263157895,20.0,28.0,2.451127819548872,4.239772032437716,0.6624836066600279,0.0,1080.9370255689664,574.2208691678757,0.0,1132.30283654077,660.118216090809,0.0,19,132.26,0.15121729925903524,16.551578947368423,0.12514425334468793,6.794360493827161,61.89416172839506,1001.8956581481481,2001.4815530294509,1765.0046036086992,3
13,2001,15E,2001-09-07,2001-10-03,896.2105263157895,896.2105263157895,907.0526315789474,907.0526315789474,20.0,26.0,0.41700404858299595,2.644275419975911,-1.700115875816367,0.0,1141.4198800651789,635.180119934821,0.0,1141.308664421144,664.091335578856,0.0,19,132.26,0.15121729925903524,17.92421052631579,0.1355225353569922,5.853701333333333,59.59456533333334,1089.87402,2010.5033032496474,1772.9604254583446,4
14,2001,23E,2001-05-17,2001-06-14,641.04,641.04,742.8,742.8,25.0,28.0,3.6342857142857143,5.3275948763607754,1.9409765522106535,0.0,953.3529200017188,328.72707999828117,0.0,1048.0343362074457,437.56566379255423,0.0,25,119.77,0.2087334056942473,16.026,0.1338064623862403,10.679365432098765,66.42683950617285,1377.7829,2574.2084414857104,2270.063265381391,0
15,2001,23E,2001-06-14,2001-07-13,742.8,742.8,790.32,790.32,25.0,29.0,1.6386206896551725,3.1640063546175683,0.11323502469277645,0.0,1048.0343362074457,437.56566379255423,0.0,1079.259509240256,501.3804907597441,0.0,25,119.77,0.2087334056942473,18.569999999999997,0.15504717374968688,8.681633333333334,63.21942976190477,1238.565885714286,1997.0791078621442,1761.1223115257815,1
16,2001,23E,2001-07-13,2001-08-10,790.32,790.32,837.52,837.52,25.0,28.0,1.685714285714286,3.4122331378959747,-0.04080456646740216,0.0,1079.259509240256,501.3804907597441,0.0,1113.0210707783183,562.0189292216817,0.0,25,119.77,0.2087334056942473,19.758,0.16496618518827752,8.107229629629629,63.293685185185176,1093.421927777778,1657.0394813486241,1461.2586903510953,2
17,2001,23E,2001-08-10,2001-09-07,832.25,832.25,888.8333333333334,888.8333333333334,25.0,28.0,2.0208333333333335,4.029438352651717,0.18199021877685562,0.0,1113.0210707783183,562.0189292216817,0.0,1187.569058537074,605.3909414629261,0.0,24,119.77,0.2087334056942473,20.806250000000002,0.17371837688903735,6.86660987654321,61.9092864197531,1034.5472770370372,1488.8282051153612,1312.9217364175338,3
18,2001,23E,2001-09-07,2001-10-03,896.48,896.48,911.36,911.36,25.0,26.0,0.5723076923076923,2.1488742561347687,-1.0042588715193843,0.0,1187.569058537074,605.3909414629261,0.0,1200.2737587585611,622.446241241439,0.0,25,119.77,0.2087334056942473,22.412000000000003,0.18712532353677885,5.935285333333331,59.50687066666664,1034.7515924,1382.4312669747007,1219.095697729396,4
19,2001,23W,2001-05-17,2001-06-14,630.2857142857143,630.2857142857143,735.0,735.0,15.0,28.0,3.7397959183673466,5.251774329986099,2.227817506748594,0.0,898.8805928504569,361.6908357209718,0.0,1016.2453076531643,453.75469234683567,0.0,14,126.48,0.11859582542694497,9.454285714285716,0.07474925454052589,10.678686419753088,66.24111604938274,1427.255440740741,4773.477172160102,4209.486303449154,0
20,2001,23W,2001-06-14,2001-07-13,735.0,735.0,780.2857142857143,780.2857142857143,15.0,29.0,1.561576354679803,3.314071180837072,-0.02018128368038674,0.0,1013.3876909113006,464.21230908869927,0.0,1091.3645321491629,492.3688011841704,0.0,14,126.48,0.11859582542694497,11.025,0.08716793168880456,8.500980952380951,63.08166547619048,1268.6637714285712,3638.56221792031,3208.6626306525486,1
21,2001,23W,2001-07-13,2001-08-10,791.8666666666667,791.8666666666667,850.1333333333333,850.1333333333333,15.0,28.0,2.080952380952381,3.3663264856087975,0.7955782762959649,0.0,1091.3645321491629,492.3688011841704,0.0,1137.1088922727167,563.15777439395,0.0,15,126.48,0.11859582542694497,11.878,0.09391208096141682,7.9557753086419725,63.30389999999999,1126.6669444444442,2999.2598739967443,2644.894466806612,2
22,2001,23W,2001-08-10,2001-09-07,850.1333333333333,850.1333333333333,899.3333333333334,899.3333333333334,15.0,28.0,1.7571428571428571,3.6870743503604575,-0.17278863607474415,0.0,1137.1088922727167,563.15777439395,0.0,1153.5447189387555,645.1219477279113,0.0,15,126.48,0.11859582542694497,12.751999999999999,0.10082226438962681,6.75817037037037,62.04594567901235,1073.1466888888888,2660.986378816395,2346.5883068680314,3
23,2001,23W,2001-09-07,2001-10-03,899.3333333333334,899.3333333333334,903.7333333333333,903.7333333333333,15.0,26.0,0.1692307692307692,1.7054379086872262,-1.366976370225688,0.0,1153.5447189387555,645.1219477279113,0.0,1157.4202044390893,650.0464622275772,0.0,15,126.48,0.11859582542694497,13.49,0.10665717900063251,5.838805333333332,59.655789333333324,1097.0664896,2571.4783099445517,2267.655701478887,4
24,2002,15E,2002-05-17,2002-06-14,631.0,631.0,653.5,653.5,20.0,28.0,0.8035714285714286,2.908738081837538,-1.3015952246946807,0.0,867.9770142084626,394.0229857915374,0.0,871.2810344069667,435.7189655930333,0.0,20,132.26,0.15121729925903524,12.620000000000001,0.09541811583245124,8.898377777777775,63.92320543209875,505.3308440740741,1323.9908367123023,1167.5600598945723,0
25,2002,15E,2002-06-14,2002-07-12,653.5,653.5,696.8,696.8,20.0,28.0,1.5464285714285713,3.1398284587322234,-0.04697131587508063,0.0,871.2810344069667,435.7189655930333,0.0,894.3199923258935,499.2800076741064,0.0,20,132.26,0.15121729925903524,13.07,0.09882050506577954,8.611659259259259,63.65968098765432,403.66582074074074,1021.2096681555158,900.5527744265327,1
26,2002,15E,2002-07-12,2002-08-06,696.8,696.8,743.7,743.7,20.0,25.0,1.876,3.517621791175775,0.2343782088242259,0.0,894.3199923258935,499.2800076741064,0.0,944.179924181949,543.2200758180511,0.0,20,132.26,0.15121729925903524,13.936,0.10536821412369576,8.141174999999997,62.80309999999999,398.5821241666668,945.6887152390095,833.9546939372102,2
27,2002,23E,2002-05-17,2002-06-14,632.88,632.88,670.4,670.4,25.0,28.0,1.34,2.6555467552717857,0.024453244728215084,0.0,886.7662737526391,378.9937262473609,0.0,927.0826834829338,413.71731651706614,0.0,25,119.77,0.2087334056942473,15.822,0.13210319779577523,9.534377777777777,63.089064197530845,534.8796766666667,1012.2383212357267,892.6414006794043,0
28,2002,23E,2002-06-14,2002-07-12,670.4,670.4,720.48,720.48,25.0,28.0,1.7885714285714287,3.218677746868307,0.3584651102745495,0.0,927.0826834829338,413.71731651706614,0.0,966.6401917451317,474.31980825486835,0.0,25,119.77,0.2087334056942473,16.76,0.13993487517742342,8.917422222222221,62.66774543209876,456.2626325925926,815.1338828403163,718.8250391780764,1
29,2002,23E,2002-07-12,2002-08-06,720.48,720.48,769.68,769.68,25.0,25.0,1.9680000000000002,3.386167832098867,0.5498321679011338,0.0,966.6401917451317,474.31980825486835,0.0,1013.1405512192889,526.219448780711,0.0,25,119.77,0.2087334056942473,18.012,0.15038824413459131,8.067166666666667,60.2587,419.9750449999999,698.1513871259436,615.664136613183,2
30,2002,23W,2002-05-17,2002-06-14,632.0,632.0,661.4666666666667,661.4666666666667,15.0,28.0,1.0523809523809524,2.260408040679944,-0.1556461359180392,0.0,886.1844099973763,377.8155900026237,0.0,915.5343741778732,407.3989591554601,0.0,15,126.48,0.11859582542694497,9.48,0.07495256166982922,9.396465185185184,63.47591382716047,507.37600296296296,1692.3237567182373,1492.374095021252,0
31,2002,23W,2002-06-14,2002-07-12,661.4666666666667,661.4666666666667,733.8666666666667,733.8666666666667,15.0,28.0,2.5857142857142863,4.336349322513781,0.8350792489147909,0.0,915.5343741778732,407.3989591554601,0.0,960.4010538387437,507.3322794945895,0.0,15,126.48,0.11859582542694497,9.922,0.0784471853257432,8.86474962962963,62.62418320987653,424.78822222222226,1353.7395269770882,1193.7939141058198,1
32,2002,23W,2002-07-12,2002-08-06,733.8666666666667,733.8666666666667,788.6666666666666,788.6666666666666,15.0,25.0,2.192,4.06162486688029,0.32237513311971,0.0,960.4010538387437,507.3322794945895,0.0,1013.3569296637852,563.9764036695481,0.0,15,126.48,0.11859582542694497,11.008,0.087033523086654,8.374758333333332,60.811441666666646,401.00874875,1151.8801449377727,1015.7844100753041,2
