ID,Year,Week of grazing season,Treatment,CP,DOM,sampling date,CARM pasture,PastureID,Week_in_Pasture,NDVI,NDVI_d30,iNDVI,t_peak_IRG,iNDVI_dry
1,2014,1,CARM,11.62,64.88,2014-05-23,Elm,20NW,1,0.3920472385714286,0.07714212000000001,7.101664730109889,35.0,0.0
2,2014,1,TRM,13.37,65.7,2014-05-23,Elm,20SE,1,0.42362694142857144,0.09517976285714284,8.916343917714284,34.0,0.0
3,2014,2,CARM,10.35,63.86,2014-05-30,Elm,20NW,2,0.4080117171428571,0.07612974571428573,8.488465453626374,42.0,0.0
4,2014,2,TRM,14.69,65.65,2014-05-30,Elm,20SE,2,0.44311070142857145,0.09382919571428572,10.639499169560438,41.0,0.0
5,2014,3,CARM,12.63,64.73,2014-06-06,Snowfence,18S,1,0.46576847857142856,0.07455700714285715,12.830504888791213,54.0,0.004325365278639347
6,2014,3,TRM,13.79,66.26,2014-06-06,Snowfence,19N,1,0.5060239157142857,0.0856564514285714,14.013166280351651,51.0,0.00032900044321296804
7,2014,4,CARM,10.87,63.73,2014-06-13,Snowfence,18S,2,0.4593919642857142,0.046499330000000005,14.617770472637364,61.0,0.16043220050108692
8,2014,4,TRM,13.01,67.7,2014-06-13,Snowfence,19N,2,0.5021051085714286,0.05823617714285713,16.010781576791207,58.0,0.10143004196869247
9,2014,5,CARM,10.03,62.63,2014-06-20,Snowfence,18S,3,0.4428197771428572,0.008097937142857139,16.318925943626382,68.0,0.6673497666242801
10,2014,5,TRM,13.1,64.42,2014-06-20,Snowfence,19N,3,0.48651049142857145,0.01863548,17.934022577516483,65.0,0.5733350492116348
11,2014,6,CARM,11.2,63.21,2014-06-27,Headquarters,7SE,1,0.4189959614285715,-0.024873485714285715,18.511789203296704,73.0,1.393743512222686
12,2014,6,TRM,10.86,65.27,2014-06-27,Headquarters,7NW,1,0.42530700714285713,-0.03590344857142857,19.25213048527473,74.0,1.6845113961988345
13,2014,7,CARM,7.77,61.61,2014-07-03,Headquarters,7SE,2,0.3995061999999999,-0.05481986714285714,19.811309025978026,79.0,2.210469261704448
14,2014,7,TRM,9.93,64.5,2014-07-03,Headquarters,7NW,2,0.40646817428571425,-0.06404512285714287,20.547447166879124,80.0,2.4904517677604217
15,2014,8,CARM,8.38,62.83,2014-07-08,Headquarters,7SE,3,0.38546761285714287,-0.07198950285714287,20.81125847487913,84.0,2.847701364873202
16,2014,8,TRM,8.03,60.83,2014-07-08,Headquarters,7NW,3,0.39388157714285715,-0.07769576571428571,21.550091326549452,85.0,3.071130759233136
17,2014,9,CARM,8.71,64.75,2014-07-15,Ridgeline,8E,1,0.37896143142857147,-0.05790323428571427,21.450851319956048,87.0,2.4594325356114446
18,2014,9,TRM,9.42,63.56,2014-07-15,Ridgeline,5E,1,0.37057982714285714,-0.05397521714285714,21.024662465274726,92.0,2.3406822749645277
19,2014,10,CARM,7.27,62.58,2014-07-23,Ridgeline,8E,2,0.36515914571428576,-0.06183889285714285,22.982292516923078,95.0,3.1558123474379456
20,2014,10,TRM,8.29,62.0,2014-07-23,Ridgeline,5E,2,0.36495579857142857,-0.04647422714285715,22.54202222362638,100.0,2.635958671919713
21,2014,11,CARM,8.07,62.91,2014-07-29,Saltflat,17S,1,0.37144772428571426,-0.07357136428571429,24.611255394659338,99.0,4.151792100255176
22,2014,11,TRM,8.54,62.12,2014-07-29,Saltflat,17N,1,0.37797230857142855,-0.04850037857142858,23.39755859703297,104.0,3.012042681578417
23,2014,12,CARM,7.42,61.16,2014-08-05,Saltflat,17S,2,0.3574459014285715,-0.06947981714285713,25.76494673991209,106.0,4.911091445574888
24,2014,12,TRM,7.72,62.11,2014-08-05,Saltflat,17N,2,0.3699371771428571,-0.04109847714285713,24.608888955824174,111.0,3.432605163214112
25,2014,13,CARM,5.85,59.55,2014-08-12,Saltflat,17S,3,0.34425097,-0.06488562571428572,26.824204759450545,113.0,5.653927153219846
26,2014,13,TRM,8.09,61.82,2014-08-12,Saltflat,17N,3,0.36038165714285714,-0.03775134,25.758703804615383,118.0,3.947650153290528
27,2014,14,CARM,5.6,61.93,2014-08-18,Saltflat,17S,4,0.33347603142857146,-0.061536968571428576,27.660365390483516,119.0,6.285576066271848
28,2014,14,TRM,7.1,63.27,2014-08-18,Saltflat,17N,4,0.3505533842857143,-0.039022562857142847,26.684775121538458,124.0,4.5047088992100885
29,2014,15,CARM,9.31,61.25,2014-08-26,Crossroads,25NW,1,0.3277241014285714,-0.019143384285714295,21.14210259186813,143.0,3.9387455600632975
30,2014,15,TRM,7.98,60.86,2014-08-26,Crossroads,25SE,1,0.3561523228571429,-0.01892222428571429,23.92743342731868,147.0,3.111875921901133
31,2014,16,CARM,6.93,58.94,2014-09-02,Crossroads,25NW,2,0.3168339428571429,-0.030135602857142858,21.716868978,150.0,4.45955608185493
32,2014,16,TRM,7.87,60.95,2014-09-02,Crossroads,25SE,2,0.34411038,-0.03191961142857143,24.784684760901097,154.0,3.7763077100854328
33,2014,17,CARM,7.86,57.07,2014-09-08,Crossroads,25NW,3,0.30730807999999993,-0.03840192142857143,22.148247085296703,156.0,4.92537244864625
34,2014,17,TRM,9.32,60.33,2014-09-08,Crossroads,25SE,3,0.3334562457142857,-0.0415984757142857,25.451209817032968,160.0,4.382913053843542
37,2014,19,CARM,8.43,55.76,2014-09-23,Hilltank,26W,1,0.2943834442857143,-0.054142501428571445,20.312849364197813,184.0,6.341470410817694
38,2014,19,TRM,10.01,54.69,2014-09-23,Hilltank,26E,1,0.29982266571428573,-0.03792149714285714,19.612748766219788,186.0,5.547944565082797
39,2014,20,CARM,6.13,55.32,2014-09-29,Hilltank,26W,2,0.2831219857142857,-0.05585952714285714,20.408847824131875,190.0,6.830108426413332
40,2014,20,TRM,6.86,59.43,2014-09-29,Hilltank,26E,2,0.29093140285714286,-0.03978275428571428,19.759700112571434,192.0,5.918596336333532
41,2015,1,CARM,7.69,64.94,2015-05-21,Snowfence,18S,1,0.3296936242857143,0.09229437,3.661053069450549,4.0,1.1733935953966797e-07
42,2015,1,TRM,11.98,63.96,2015-05-21,Snowfence,19N,1,0.3462147328571428,0.0991364542857143,3.8910933989011007,6.0,-2.8464921511017722e-08
43,2015,2,CARM,8.12,63.03,2015-05-27,Snowfence,18S,2,0.3534798971428571,0.09911263428571429,4.622402793406593,10.0,1.1733935953966797e-07
44,2015,2,TRM,11.5,62.44,2015-05-27,Snowfence,19N,2,0.3707874928571428,0.10495062571428572,4.915192239296705,12.0,-2.8464921511017722e-08
45,2015,3,CARM,10.93,63.79,2015-06-03,Saltflat,17S,1,0.35583750285714283,0.08259095571428572,5.4659932158241755,25.0,0.0
46,2015,3,TRM,13.97,63.9,2015-06-03,Saltflat,17N,1,0.4115710914285714,0.11371833571428572,7.242117038021975,21.0,0.0
47,2015,4,CARM,10.55,61.99,2015-06-10,Saltflat,17S,2,0.3748100228571429,0.08281292142857145,6.744361234175825,32.0,0.0
48,2015,4,TRM,12.61,63.72,2015-06-10,Saltflat,17N,2,0.43976577,0.11759991571428571,8.964069206241755,28.0,0.0
49,2015,5,CARM,9.03,60.8,2015-06-17,Saltflat,17S,3,0.3902351085714285,0.08002343285714286,8.142934331098902,39.0,0.0
50,2015,5,TRM,13.48,64.11,2015-06-17,Saltflat,17N,3,0.46222363571428576,0.11567931714285713,10.863248994461534,35.0,0.0
51,2015,6,CARM,9.86,60.09,2015-06-24,Saltflat,17S,4,0.3981359928571428,0.07033426,9.621829912307692,46.0,0.0
52,2015,6,TRM,10.73,65.15,2015-06-24,Saltflat,17N,4,0.47431800714285716,0.10303752,12.880486342681317,42.0,0.0
53,2015,7,CARM,7.82,59.33,2015-07-01,Saltflat,17S,5,0.3967895428571428,0.05031413714285714,11.118622772087914,53.0,0.04188301353697921
54,2015,7,TRM,11.19,62.79,2015-07-01,Saltflat,17N,5,0.47384446714285716,0.07573443714285714,14.932309160901097,49.0,0.04690828546075387
55,2015,8,CARM,8.27,61.14,2015-07-07,Saltflat,17S,6,0.3895787257142857,0.026833188571428555,12.370883706593407,59.0,0.2320470927985809
56,2015,8,TRM,10.17,62.77,2015-07-07,Saltflat,17N,6,0.46408064,0.042201671428571445,16.653291754681316,55.0,0.3298981913235419
57,2015,9,CARM,7.69,62.07,2015-07-15,Nighthawk,10S,1,0.4373365514285714,-0.02180763857142859,17.53534117285714,58.0,1.4817808510751134
58,2015,9,TRM,9.5,62.03,2015-07-15,Nighthawk,15E,1,0.43290069999999997,-0.0013281085714285656,16.33596639934066,58.0,0.9079489183563696
59,2015,10,CARM,8.11,61.91,2015-07-23,Nighthawk,10S,2,0.4019827042857143,-0.07754642428571427,19.308380868681322,66.0,2.8153099683755007
60,2015,10,TRM,10.95,62.08,2015-07-23,Nighthawk,15E,2,0.4078621342857143,-0.04775025428571428,18.174450172637357,66.0,1.8323270098601345
61,2015,11,CARM,7.37,60.67,2015-07-27,Nighthawk,10S,3,0.3852475971428571,-0.09726846000000001,20.091532298021985,70.0,3.495188885751695
62,2015,11,TRM,8.39,61.66,2015-07-27,Nighthawk,15E,3,0.39569493571428577,-0.06448920142857142,19.01954794285714,70.0,2.3191496778375145
63,2015,12,CARM,7.22,60.89,2015-08-05,Nighthawk,10S,4,0.3508099371428572,-0.12015606000000001,21.621565794395604,79.0,4.986900612192111
64,2015,12,TRM,9.15,61.57,2015-08-05,Nighthawk,15E,4,0.36993775714285715,-0.08528759285714285,20.749080372637366,79.0,3.4299674580732034
65,2015,13,CARM,7.0,60.03,2015-08-12,Nighthawk,10S,5,0.32771612,-0.1193719757142857,22.613376063956043,86.0,6.050780454166991
66,2015,13,TRM,8.73,61.28,2015-08-12,Nighthawk,15E,5,0.35167331571428573,-0.08755407999999999,21.942450200879126,86.0,4.271410787069024
67,2015,14,CARM,6.98,59.57,2015-08-19,Nighthawk,10S,6,0.30724084285714287,-0.10944555999999998,23.45415912637363,93.0,7.033470336444494
68,2015,14,TRM,9.18,61.68,2015-08-19,Nighthawk,15E,6,0.33337800857142863,-0.08432287142857144,23.008260139120882,93.0,5.15337609472982
69,2015,15,CARM,9.26,61.61,2015-08-27,Highway,21N,1,0.33068271428571433,-0.1052558442857143,27.054447584395604,97.0,7.047286410062074
70,2015,15,TRM,10.51,63.22,2015-08-27,Highway,24W,1,0.30027217857142857,-0.08458610714285715,23.390502050395607,99.0,6.125979714339463
71,2015,16,CARM,7.42,60.55,2015-09-03,Highway,21N,2,0.30881098999999995,-0.10257950714285714,28.003162918131864,104.0,8.290982555880786
72,2015,16,TRM,7.92,62.07,2015-09-03,Highway,24W,2,0.2830819428571429,-0.08078797000000001,24.180953316901103,106.0,7.04951601078907
73,2015,17,CARM,6.49,60.71,2015-09-11,Highway,21N,3,0.28638500714285714,-0.09506256285714286,28.909762980769226,112.0,9.626782886282118
74,2015,17,TRM,7.06,60.29,2015-09-11,Highway,24W,3,0.26602267857142853,-0.07537477714285715,24.947548599846158,114.0,8.005748533979355
75,2015,18,CARM,4.98,60.56,2015-09-18,Highway,21N,4,0.27026105142857143,-0.08732758142857143,29.57002846164835,119.0,10.624002373606631
76,2015,18,TRM,5.74,60.97,2015-09-18,Highway,24W,4,0.2539171357142857,-0.06854793714285715,25.518015344923082,121.0,8.708284133869137
77,2015,19,CARM,4.65,58.5,2015-09-25,Highway,21N,9,0.25758129142857145,-0.07788884428571427,30.13129547681319,126.0,11.430242129740291
78,2015,19,TRM,6.75,61.42,2015-09-25,Highway,24W,5,0.24425010285714285,-0.05994830571428571,26.013725017142857,128.0,9.282674863574158
79,2016,1,CARM,7.22,65.07,2016-05-20,Ridgeline,8E,1,0.2846371285714286,0.07714093714285715,3.2509435945054945,23.0,0.0
80,2016,1,TRM,10.8,65.35,2016-05-20,Ridgeline,5E,1,0.30716238142857144,0.09436740857142858,3.7299001109230754,23.0,0.0
81,2016,2,CARM,7.78,66.27,2016-05-27,Ridgeline,8E,2,0.3018408528571429,0.08084196857142857,4.1790813835164835,30.0,0.0
82,2016,2,TRM,12.62,68.2,2016-05-27,Ridgeline,5E,2,0.32933585000000004,0.10184194857142857,4.830604342549449,30.0,0.0
83,2016,3,CARM,7.57,66.25,2016-06-03,Ridgeline,8E,3,0.31390739285714286,0.07608165714285715,5.20828444824176,37.0,0.0
84,2016,3,TRM,11.97,67.75,2016-06-03,Ridgeline,5E,3,0.3441077900000001,0.09714655000000001,6.058751308461537,37.0,0.0
