Concatenate,Year,Pasture Name,PastureID,Treatment,Herd,Week,Date,Rotation,Crude Protein (%),DOM(%),DOM/CP,Fecal Nitrogen (%),Fecal Phosphorus (%),Tag #'s,Notes,Ecological Site,Julian Day,Precip(mm),HerdTreat,WOY,DOY,Phase,NDVI,NDVI_d30,iNDVI,t_peak_IRG,iNDVI_dry,SOS_doy,t_SOS
2014_20NW_AGM_CARM_1,2014,Elm,20NW,CARM,CARM,1,2014-05-23 00:00:00+00:00,1,11.62,64.88,5.6,2.01,0.2,,,Sandy,,,,20,142,1-early,0.3920472385714286,0.07714212000000001,7.101664730109889,35.0,0.0,63.0,79.0
2014_20NW_AGM_CARM_2,2014,Elm,20NW,CARM,CARM,2,2014-05-30 00:00:00+00:00,1,10.35,63.86,6.2,1.81,0.16,,,Sandy,,,,21,149,1-early,0.4080117171428571,0.07612974571428573,8.488465453626374,42.0,0.0,63.0,86.0
2014_18S_AGM_CARM_3,2014,Snowfence,18S,CARM,CARM,3,2014-06-06 00:00:00+00:00,2,12.63,64.73,5.1,1.94,0.27,,,Sandy,,,,22,156,1-early,0.46576847857142856,0.07455700714285715,12.830504888791213,54.0,0.004325365278639347,60.0,96.0
2014_18S_AGM_CARM_4,2014,Snowfence,18S,CARM,CARM,4,2014-06-13 00:00:00+00:00,2,10.87,63.73,5.9,1.63,0.14,,,Sandy,,,,23,163,1-early,0.4593919642857142,0.046499330000000005,14.617770472637364,61.0,0.16043220050108692,60.0,103.0
2014_18S_AGM_CARM_5,2014,Snowfence,18S,CARM,CARM,5,2014-06-20 00:00:00+00:00,2,10.03,62.63,6.2,1.32,0.17,,,Sandy,,,,24,170,1-early,0.4428197771428572,0.008097937142857139,16.318925943626382,68.0,0.6673497666242801,60.0,110.0
2014_7SE_AGM_CARM_6,2014,Headquarters,7SE,CARM,CARM,6,2014-06-27 00:00:00+00:00,3,11.2,63.21,5.6,1.19,0.23,,,Mixed,,,,25,177,1-early,0.4189959614285715,-0.024873485714285715,18.511789203296704,73.0,1.393743512222686,60.0,117.0
2014_7SE_AGM_CARM_7,2014,Headquarters,7SE,CARM,CARM,7,2014-07-03 00:00:00+00:00,3,7.77,61.61,7.9,1.22,0.02,,,Mixed,,,,26,183,2-middle,0.3995061999999999,-0.05481986714285714,19.811309025978026,79.0,2.210469261704448,60.0,123.0
2014_7SE_AGM_CARM_8,2014,Headquarters,7SE,CARM,CARM,8,2014-07-08 00:00:00+00:00,3,8.38,62.83,7.5,1.26,0.12,,,Mixed,,,,27,188,2-middle,0.38546761285714287,-0.07198950285714287,20.81125847487913,84.0,2.847701364873202,60.0,128.0
2014_8E_AGM_CARM_9,2014,Ridgeline,8E,CARM,CARM,9,2014-07-15 00:00:00+00:00,4,8.71,64.75,7.4,1.22,0.13,,,Mixed,,,,28,195,2-middle,0.37896143142857147,-0.05790323428571427,21.450851319956048,87.0,2.4594325356114446,61.0,134.0
2014_8E_AGM_CARM_10,2014,Ridgeline,8E,CARM,CARM,10,2014-07-23 00:00:00+00:00,4,7.27,62.58,8.6,1.05,0.0,,,Mixed,,,,29,203,2-middle,0.36515914571428576,-0.06183889285714285,22.982292516923078,95.0,3.1558123474379456,61.0,142.0
2014_17S_AGM_CARM_11,2014,Saltflat,17S,CARM,CARM,11,2014-07-29 00:00:00+00:00,5,8.07,62.91,7.8,0.95,0.03,,,Sandy,,,,30,209,2-middle,0.37144772428571426,-0.07357136428571429,24.611255394659338,99.0,4.151792100255176,61.0,148.0
2014_17S_AGM_CARM_12,2014,Saltflat,17S,CARM,CARM,12,2014-08-05 00:00:00+00:00,5,7.42,61.6,8.2,1.05,0.04,,,Sandy,,,,31,216,2-middle,0.3574459014285715,-0.06947981714285713,25.76494673991209,106.0,4.911091445574888,61.0,155.0
2014_17S_AGM_CARM_13,2014,Saltflat,17S,CARM,CARM,13,2014-08-12 00:00:00+00:00,5,5.85,59.55,10.2,1.24,0.1,,,Sandy,,,,32,223,3-late,0.34425097,-0.06488562571428572,26.824204759450545,113.0,5.653927153219846,61.0,162.0
2014_17S_AGM_CARM_14,2014,Saltflat,17S,CARM,CARM,14,2014-08-18 00:00:00+00:00,5,5.6,61.93,11.1,1.08,0.03,,,Sandy,,,,33,229,3-late,0.33347603142857146,-0.061536968571428576,27.660365390483516,119.0,6.285576066271848,61.0,168.0
2014_25NW_AGM_CARM_15,2014,Crossroads,25NW,CARM,CARM,15,2014-08-26 00:00:00+00:00,6,9.31,61.25,6.6,1.29,0.0,,,Mixed,,,,34,237,3-late,0.3277241014285714,-0.019143384285714295,21.14210259186813,143.0,3.9387455600632975,60.0,177.0
2014_25NW_AGM_CARM_16,2014,Crossroads,25NW,CARM,CARM,16,2014-09-02 00:00:00+00:00,6,6.93,58.94,8.5,1.31,0.01,,,Mixed,,,,35,244,3-late,0.3168339428571429,-0.030135602857142858,21.716868978,150.0,4.45955608185493,60.0,184.0
2014_25NW_AGM_CARM_17,2014,Crossroads,25NW,CARM,CARM,17,2014-09-08 00:00:00+00:00,6,7.86,57.07,7.3,1.16,0.06,,,Mixed,,,,36,250,3-late,0.30730807999999993,-0.03840192142857143,22.148247085296703,156.0,4.92537244864625,60.0,190.0
2014_26W_AGM_CARM_18,2014,Hilltank,26W,CARM,CARM,18,2014-09-15 00:00:00+00:00,7,,,,,,,Samples were merged into one at the GANLab so no accurate sample could be distinguished between CARM and TRM,Loamy,,,,37,257,3-late,0.30975919714285716,-0.047654111428571407,20.078091741428583,176.0,5.68497486225157,60.0,197.0
2014_26W_AGM_CARM_19,2014,Hilltank,26W,CARM,CARM,19,2014-09-23 00:00:00+00:00,7,8.43,55.78,6.6,0.68,0.04,,,Loamy,,,,38,265,3-late,0.2943834442857143,-0.054142501428571445,20.312849364197813,184.0,6.341470410817694,60.0,205.0
2014_26W_AGM_CARM_20,2014,Hilltank,26W,CARM,CARM,20,2014-09-29 00:00:00+00:00,7,6.13,55.32,9.0,0.64,0.06,,,Loamy,,,,39,271,3-late,0.2831219857142857,-0.05585952714285714,20.408847824131875,190.0,6.830108426413332,60.0,211.0
2014_20SE_TGM_Paired TRM_1,2014,,20SE,TRM,Paired TRM,1,2014-05-23 00:00:00+00:00,1,13.37,65.7,4.9,2.18,0.41,,,Sandy,,,,20,142,1-early,0.42362694142857144,0.09517976285714284,8.916343917714284,34.0,0.0,62.0,80.0
2014_20SE_TGM_Paired TRM_2,2014,,20SE,TRM,Paired TRM,2,2014-05-30 00:00:00+00:00,1,14.69,63.65,4.5,2.88,0.57,,,Sandy,,,,21,149,1-early,0.44311070142857145,0.09382919571428572,10.639499169560438,41.0,0.0,62.0,87.0
2014_19N_TGM_Paired TRM_3,2014,,19N,TRM,Paired TRM,3,2014-06-06 00:00:00+00:00,2,13.79,66.26,4.8,2.27,0.41,,,Sandy,,,,22,156,1-early,0.5060239157142857,0.0856564514285714,14.013166280351651,51.0,0.00032900044321296804,60.0,96.0
2014_19N_TGM_Paired TRM_4,2014,,19N,TRM,Paired TRM,4,2014-06-13 00:00:00+00:00,2,13.01,67.7,5.2,1.86,0.29,,,Sandy,,,,23,163,1-early,0.5021051085714286,0.05823617714285713,16.010781576791207,58.0,0.10143004196869247,60.0,103.0
2014_19N_TGM_Paired TRM_5,2014,,19N,TRM,Paired TRM,5,2014-06-20 00:00:00+00:00,2,13.1,64.42,4.9,1.07,0.14,,,Sandy,,,,24,170,1-early,0.48651049142857145,0.01863548,17.934022577516483,65.0,0.5733350492116348,60.0,110.0
2014_7NW_TGM_Paired TRM_6,2014,,7NW,TRM,Paired TRM,6,2014-06-27 00:00:00+00:00,3,10.86,65.27,6.0,1.53,0.24,,,Mixed,,,,25,177,1-early,0.42530700714285713,-0.03590344857142857,19.25213048527473,74.0,1.6845113961988345,60.0,117.0
2014_7NW_TGM_Paired TRM_7,2014,,7NW,TRM,Paired TRM,7,2014-07-03 00:00:00+00:00,3,9.93,64.5,6.5,1.46,0.24,,,Mixed,,,,26,183,2-middle,0.40646817428571425,-0.06404512285714287,20.547447166879124,80.0,2.4904517677604217,60.0,123.0
