Year,Pasture,Plot,Id,Treatment,Block,Ecosite,AG,BOBU,C3PG,FORB,SD,WSPG,SS,OTHER,NA,Total_Biomass,Date,iAPAR
2013,10S,1,10S_P1,AGM,1.0,Loamy,116.2525,339.0625,363.1475,85.035,52.34,83.0175,0.0,0.0,0.0,986.5150000000001,,
2013,10S,2,10S_P2,AGM,1.0,Loamy,1.0775,963.9100000000001,31.8875,19.24,39.2875,0.0,0.0,0.0,0.0,1016.115,,
2013,10S,3,10S_P3,AGM,1.0,Loamy,0.0,457.4675,175.3175,0.19,11.705,18.4325,0.0,0.0,0.0,651.4075,,
2013,10S,4,10S_P4,AGM,1.0,Loamy,62.295,507.52,79.6525,123.785,13.455,0.0,0.0,0.0,0.0,773.2525,,
2013,15E,1,15E_P1,TGM,1.0,Loamy,57.586666666666666,507.69666666666666,13.993333333333334,59.92000000000001,7.176666666666667,0.0,0.0,0.0,0.0,639.1966666666667,,
2013,15E,2,15E_P2,TGM,1.0,Loamy,64.85249999999999,510.345,42.92,38.075,2.825,45.7475,0.0,0.0,0.0,701.94,,
2013,15E,3,15E_P3,TGM,1.0,Loamy,33.72666666666667,393.24333333333334,87.37,20.81,8.966666666666667,0.0,369.2033333333333,0.0,0.0,535.15,,
2013,15E,4,15E_P4,TGM,1.0,Loamy,33.5025,621.8824999999999,104.275,47.095,6.1875,0.0,0.0,0.0,0.0,806.755,,
2013,17N,1,17N_P1,TGM,9.0,Loamy,30.8125,409.97,143.7,18.4325,92.03,46.417500000000004,1.48,0.0,0.0,649.3325,,
2013,17N,2,17N_P2,TGM,9.0,Loamy,66.6025,379.025,72.2525,36.8675,40.6325,40.365,0.0,0.0,0.0,595.1125,,
2013,17N,3,17N_P3,TGM,9.0,Salt Flats,0.0,205.45749999999998,511.8225,137.9125,645.97,792.8974999999999,0.0,0.0,0.0,1648.0900000000001,,
2013,17N,4,17N_P4,TGM,9.0,Salt Flats,16.0125,169.6675,280.6675,1.345,740.4225,1203.0025,0.0,0.0,0.0,1670.6950000000002,,
2013,17N,5,17N_P5,TGM,9.0,Sandy,0.0,370.6825,574.255,71.0425,104.4075,22.064999999999998,30.9475,0.0,0.0,1038.045,,
2013,17N,6,17N_P6,TGM,9.0,Sandy,0.9425,253.625,363.1475,265.1975,82.615,107.505,185.8125,0.0,0.0,990.4175,,
2013,17S,1,17S_P1,AGM,9.0,Loamy,9.285,244.745,331.26,47.762499999999996,471.06,127.015,0.0,0.0,0.0,760.0675,,
2013,17S,2,17S_P2,AGM,9.0,Loamy,10.225,408.49,57.185,54.762499999999996,287.39500000000004,51.800000000000004,23.68,0.0,0.0,582.4625000000001,,
2013,17S,3,17S_P3,AGM,9.0,Salt Flats,0.9425,321.0325,868.3774999999999,79.5175,852.235,421.81,327.895,0.0,0.0,1691.6799999999998,,
2013,17S,4,17S_P4,AGM,9.0,Salt Flats,0.0,363.15,450.3375,5.92,914.8,373.5075,36.195,0.0,0.0,1192.915,,
