Id,Pasture,Date,Date_mean,Year,Season,Low,High,Biomass_kg_ha,geometry,DFI,NDTI,SATVI,NDII7,RDVI,MTVI1,NCI,NDVI,mARI,CHL-RED-EDGE,EVI,MCARI,MSI,NDMI,NDWI,NDMI_MoistureStress,NDCI,PSSRb1,SAVI,SIPI,PSRI,BLUE,GREEN,RED,RED-EDGE1,RED-EDGE2,RED-EDGE3,NIR-Broad,NIR1,SWIR1,SWIR2
20NW_P6_3,20NW,2018-06-01,2018-06-02,2018,June,7.69,26.44,1670.6105287724706,"POLYGON ((526524.4940795898 4519438.597717285, 526524.4218504899 4519437.12746018, 526524.2058587959 4519435.671362455, 526523.8481846259 4519434.243447126, 526523.3522725775 4519432.8574658, 526522.7228985551 4519431.526766233, 526521.9661237744 4519430.26416379, 526521.0892363903 4519429.081818023, 526520.1006813076 4519427.991115567, 526519.0099788524 4519427.002560485, 526517.8276330852 4519426.1256731, 526516.5650306422 4519425.36889832, 526515.2343310753 4519424.739524297, 526513.8483497486 4519424.243612249, 526512.4204344201 4519423.885938079, 526510.9643366948 4519423.669946385, 526509.4940795898 4519423.597717285, 526508.0238224849 4519423.669946385, 526506.5677247596 4519423.885938079, 526505.139809431 4519424.243612249, 526503.7538281044 4519424.739524297, 526502.4231285375 4519425.36889832, 526501.1605260945 4519426.1256731, 526499.9781803273 4519427.002560485, 526498.8874778721 4519427.991115567, 526497.8989227894 4519429.081818023, 526497.0220354053 4519430.26416379, 526496.2652606246 4519431.526766233, 526495.6358866022 4519432.8574658, 526495.1399745538 4519434.243447126, 526494.7823003838 4519435.671362455, 526494.5663086898 4519437.12746018, 526494.4940795898 4519438.597717285, 526494.4940795898 4519468.597717285, 526494.5663086898 4519470.06797439, 526494.7823003838 4519471.524072115, 526495.1399745538 4519472.951987444, 526495.6358866022 4519474.33796877, 526496.2652606246 4519475.668668337, 526497.0220354053 4519476.93127078, 526497.8989227894 4519478.113616548, 526498.8874778721 4519479.204319003, 526499.9781803273 4519480.192874085, 526501.1605260945 4519481.06976147, 526502.4231285375 4519481.82653625, 526503.7538281044 4519482.455910273, 526505.139809431 4519482.951822321, 526506.5677247596 4519483.309496491, 526508.0238224849 4519483.525488186, 526509.4940795898 4519483.597717285, 526510.9643366948 4519483.525488186, 526512.4204344201 4519483.309496491, 526513.8483497486 4519482.951822321, 526515.2343310753 4519482.455910273, 526516.5650306422 4519481.82653625, 526517.8276330852 4519481.06976147, 526519.0099788524 4519480.192874085, 526520.1006813076 4519479.204319003, 526521.0892363903 4519478.113616548, 526521.9661237744 4519476.93127078, 526522.7228985551 4519475.668668337, 526523.3522725775 4519474.33796877, 526523.8481846259 4519472.951987444, 526524.2058587959 4519471.524072115, 526524.4218504899 4519470.06797439, 526524.4940795898 4519468.597717285, 526524.4940795898 4519438.597717285))",13.078649,0.14463402,0.2114355,-0.04306697,18.329205,0.13989206,0.50279176,0.29737166,0.5006352,0.40850842,0.9192557,276.40976,1.5278296,,,,0.11409284,1.8495413,0.4245905,1.4487871,0.16157262,846.4658,1066.6493,1149.1204,1444.2896,1875.3832,2028.9313,2115.145,2209.9368,3225.7727,2410.125
20SE_P2_3,20SE,2018-06-01,2018-06-03,2018,June,10.69,55.5,2593.132254187029,"POLYGON ((526474.3098754883 4518272.165527344, 526474.2376463884 4518270.695270238, 526474.0216546943 4518269.239172514, 526473.6639805243 4518267.8112571845, 526473.1680684759 4518266.4252758585, 526472.5386944535 4518265.094576292, 526471.7819196729 4518263.831973849, 526470.9050322887 4518262.649628081, 526469.916477206 4518261.558925626, 526468.8257747508 4518260.570370544, 526467.6434289836 4518259.693483159, 526466.3808265406 4518258.936708379, 526465.0501269738 4518258.307334356, 526463.6641456471 4518257.811422308, 526462.2362303186 4518257.453748138, 526460.7801325932 4518257.237756443, 526459.3098754883 4518257.165527344, 526457.8396183833 4518257.237756443, 526456.383520658 4518257.453748138, 526454.9556053295 4518257.811422308, 526453.5696240028 4518258.307334356, 526452.2389244359 4518258.936708379, 526450.9763219929 4518259.693483159, 526449.7939762258 4518260.570370544, 526448.7032737705 4518261.558925626, 526447.7147186878 4518262.649628081, 526446.8378313037 4518263.831973849, 526446.081056523 4518265.094576292, 526445.4516825007 4518266.4252758585, 526444.9557704523 4518267.8112571845, 526444.5980962822 4518269.239172514, 526444.3821045882 4518270.695270238, 526444.3098754883 4518272.165527344, 526444.3098754883 4518302.165527344, 526444.3821045882 4518303.635784449, 526444.5980962822 4518305.091882174, 526444.9557704523 4518306.519797503, 526445.4516825007 4518307.905778829, 526446.081056523 4518309.236478396, 526446.8378313037 4518310.499080839, 526447.7147186878 4518311.681426606, 526448.7032737705 4518312.772129062, 526449.7939762258 4518313.760684144, 526450.9763219929 4518314.637571529, 526452.2389244359 4518315.394346309, 526453.5696240028 4518316.0237203315, 526454.9556053295 4518316.5196323795, 526456.383520658 4518316.87730655, 526457.8396183833 4518317.093298244, 526459.3098754883 4518317.165527344, 526460.7801325932 4518317.093298244, 526462.2362303186 4518316.87730655, 526463.6641456471 4518316.5196323795, 526465.0501269738 4518316.0237203315, 526466.3808265406 4518315.394346309, 526467.6434289836 4518314.637571529, 526468.8257747508 4518313.760684144, 526469.916477206 4518312.772129062, 526470.9050322887 4518311.681426606, 526471.7819196729 4518310.499080839, 526472.5386944535 4518309.236478396, 526473.1680684759 4518307.905778829, 526473.6639805243 4518306.519797503, 526474.0216546943 4518305.091882174, 526474.2376463884 4518303.635784449, 526474.3098754883 4518302.165527344, 526474.3098754883 4518272.165527344))",11.880014,0.1360934,0.21837501,-0.05249161,19.12507,0.14330831,0.5223723,0.31476134,0.5624794,0.44790518,0.9540624,283.0748,1.5429618,,,,0.12144272,1.9200933,0.44941723,1.4034761,0.15899119,783.3812,986.40735,1070.7626,1368.187,1810.1761,1976.5334,2051.0054,2157.3438,3161.4065,2403.1367
20SE_P2_2,20SE,2018-06-01,2018-06-03,2018,June,6.25,43.88,1687.8301098384372,"POLYGON ((526580.3599243164 4518168.165527344, 526580.2876952165 4518166.695270238, 526580.0717035225 4518165.239172514, 526579.7140293524 4518163.8112571845, 526579.218117304 4518162.4252758585, 526578.5887432817 4518161.094576292, 526577.831968501 4518159.831973849, 526576.9550811169 4518158.649628081, 526575.9665260342 4518157.558925626, 526574.8758235789 4518156.570370544, 526573.6934778118 4518155.693483159, 526572.4308753688 4518154.936708379, 526571.1001758019 4518154.307334356, 526569.7141944752 4518153.811422308, 526568.2862791467 4518153.453748138, 526566.8301814214 4518153.237756443, 526565.3599243164 4518153.165527344, 526563.8896672114 4518153.237756443, 526562.4335694861 4518153.453748138, 526561.0056541576 4518153.811422308, 526559.6196728309 4518154.307334356, 526558.288973264 4518154.936708379, 526557.026370821 4518155.693483159, 526555.8440250539 4518156.570370544, 526554.7533225986 4518157.558925626, 526553.7647675159 4518158.649628081, 526552.8878801318 4518159.831973849, 526552.1311053511 4518161.094576292, 526551.5017313288 4518162.4252758585, 526551.0058192804 4518163.8112571845, 526550.6481451103 4518165.239172514, 526550.4321534163 4518166.695270238, 526550.3599243164 4518168.165527344, 526550.3599243164 4518198.165527344, 526550.4321534163 4518199.635784449, 526550.6481451103 4518201.091882174, 526551.0058192804 4518202.519797503, 526551.5017313288 4518203.905778829, 526552.1311053511 4518205.236478396, 526552.8878801318 4518206.499080839, 526553.7647675159 4518207.681426606, 526554.7533225986 4518208.772129062, 526555.8440250539 4518209.760684144, 526557.026370821 4518210.637571529, 526558.288973264 4518211.394346309, 526559.6196728309 4518212.0237203315, 526561.0056541576 4518212.5196323795, 526562.4335694861 4518212.87730655, 526563.8896672114 4518213.093298244, 526565.3599243164 4518213.165527344, 526566.8301814214 4518213.093298244, 526568.2862791467 4518212.87730655, 526569.7141944752 4518212.5196323795, 526571.1001758019 4518212.0237203315, 526572.4308753688 4518211.394346309, 526573.6934778118 4518210.637571529, 526574.8758235789 4518209.760684144, 526575.9665260342 4518208.772129062, 526576.9550811169 4518207.681426606, 526577.831968501 4518206.499080839, 526578.5887432817 4518205.236478396, 526579.218117304 4518203.905778829, 526579.7140293524 4518202.519797503, 526580.0717035225 4518201.091882174, 526580.2876952165 4518199.635784449, 526580.3599243164 4518198.165527344, 526580.3599243164 4518168.165527344))",11.952924,0.1370088,0.21671648,-0.044783182,19.41953,0.14646542,0.52061194,0.31396076,0.57416844,0.44395408,0.92268103,286.83496,1.5234925,,,,0.120824,1.9171572,0.44827592,1.4085575,0.16494195,795.79565,1008.2339,1103.5743,1408.1478,1868.4161,2029.4392,2111.0994,2223.9807,3213.5627,2438.1165
20SE_P1_4,20SE,2018-06-01,2018-06-03,2018,June,6.88,43.81,1795.1688957831288,"POLYGON ((526301.3248901367 4518189.1787109375, 526301.2526610368 4518187.708453832, 526301.0366693428 4518186.252356107, 526300.6789951727 4518184.824440778, 526300.1830831243 4518183.438459452, 526299.553709102 4518182.1077598855, 526298.7969343213 4518180.845157443, 526297.9200469372 4518179.662811675, 526296.9314918545 4518178.57210922, 526295.8407893992 4518177.5835541375, 526294.6584436321 4518176.706666753, 526293.3958411891 4518175.949891972, 526292.0651416222 4518175.32051795, 526290.6791602955 4518174.824605902, 526289.251244967 4518174.466931731, 526287.7951472417 4518174.250940037, 526286.3248901367 4518174.1787109375, 526284.8546330318 4518174.250940037, 526283.3985353064 4518174.466931731, 526281.9706199779 4518174.824605902, 526280.5846386512 4518175.32051795, 526279.2539390844 4518175.949891972, 526277.9913366414 4518176.706666753, 526276.8089908742 4518177.5835541375, 526275.718288419 4518178.57210922, 526274.7297333363 4518179.662811675, 526273.8528459521 4518180.845157443, 526273.0960711715 4518182.1077598855, 526272.4666971491 4518183.438459452, 526271.9707851007 4518184.824440778, 526271.6131109307 4518186.252356107, 526271.3971192366 4518187.708453832, 526271.3248901367 4518189.1787109375, 526271.3248901367 4518219.1787109375, 526271.3971192366 4518220.648968043, 526271.6131109307 4518222.105065768, 526271.9707851007 4518223.532981097, 526272.4666971491 4518224.918962423, 526273.0960711715 4518226.2496619895, 526273.8528459521 4518227.512264432, 526274.7297333363 4518228.6946102, 526275.718288419 4518229.785312655, 526276.8089908742 4518230.7738677375, 526277.9913366414 4518231.650755122, 526279.2539390844 4518232.407529903, 526280.5846386512 4518233.036903925, 526281.9706199779 4518233.532815973, 526283.3985353064 4518233.890490144, 526284.8546330318 4518234.106481838, 526286.3248901367 4518234.1787109375, 526287.7951472417 4518234.106481838, 526289.251244967 4518233.890490144, 526290.6791602955 4518233.532815973, 526292.0651416222 4518233.036903925, 526293.3958411891 4518232.407529903, 526294.6584436321 4518231.650755122, 526295.8407893992 4518230.7738677375, 526296.9314918545 4518229.785312655, 526297.9200469372 4518228.6946102, 526298.7969343213 4518227.512264432, 526299.553709102 4518226.2496619895, 526300.1830831243 4518224.918962423, 526300.6789951727 4518223.532981097, 526301.0366693428 4518222.105065768, 526301.2526610368 4518220.648968043, 526301.3248901367 4518219.1787109375, 526301.3248901367 4518189.1787109375))",11.651513,0.13338739,0.20924072,-0.0322221,19.850515,0.1556568,0.5025822,0.3211991,0.54077905,0.46984276,0.9737166,296.41464,1.4559414,,,,0.11950299,1.949494,0.4586135,1.4066616,0.15744469,838.46625,1067.0542,1146.236,1457.4493,1954.805,2135.5444,2225.8079,2312.966,3232.223,2470.8452
20SE_P1_3,20SE,2018-06-01,2018-06-03,2018,June,10.31,52.0,2480.680453047633,"POLYGON ((526195.2749023438 4518189.1787109375, 526195.2026732438 4518187.708453832, 526194.9866815498 4518186.252356107, 526194.6290073798 4518184.824440778, 526194.1330953314 4518183.438459452, 526193.503721309 4518182.1077598855, 526192.7469465283 4518180.845157443, 526191.8700591442 4518179.662811675, 526190.8815040615 4518178.57210922, 526189.7908016063 4518177.5835541375, 526188.6084558391 4518176.706666753, 526187.3458533961 4518175.949891972, 526186.0151538292 4518175.32051795, 526184.6291725026 4518174.824605902, 526183.201257174 4518174.466931731, 526181.7451594487 4518174.250940037, 526180.2749023438 4518174.1787109375, 526178.8046452388 4518174.250940037, 526177.3485475135 4518174.466931731, 526175.920632185 4518174.824605902, 526174.5346508583 4518175.32051795, 526173.2039512914 4518175.949891972, 526171.9413488484 4518176.706666753, 526170.7590030812 4518177.5835541375, 526169.668300626 4518178.57210922, 526168.6797455433 4518179.662811675, 526167.8028581592 4518180.845157443, 526167.0460833785 4518182.1077598855, 526166.4167093561 4518183.438459452, 526165.9207973077 4518184.824440778, 526165.5631231377 4518186.252356107, 526165.3471314437 4518187.708453832, 526165.2749023438 4518189.1787109375, 526165.2749023438 4518219.1787109375, 526165.3471314437 4518220.648968043, 526165.5631231377 4518222.105065768, 526165.9207973077 4518223.532981097, 526166.4167093561 4518224.918962423, 526167.0460833785 4518226.2496619895, 526167.8028581592 4518227.512264432, 526168.6797455433 4518228.6946102, 526169.668300626 4518229.785312655, 526170.7590030812 4518230.7738677375, 526171.9413488484 4518231.650755122, 526173.2039512914 4518232.407529903, 526174.5346508583 4518233.036903925, 526175.920632185 4518233.532815973, 526177.3485475135 4518233.890490144, 526178.8046452388 4518234.106481838, 526180.2749023438 4518234.1787109375, 526181.7451594487 4518234.106481838, 526183.201257174 4518233.890490144, 526184.6291725026 4518233.532815973, 526186.0151538292 4518233.036903925, 526187.3458533961 4518232.407529903, 526188.6084558391 4518231.650755122, 526189.7908016063 4518230.7738677375, 526190.8815040615 4518229.785312655, 526191.8700591442 4518228.6946102, 526192.7469465283 4518227.512264432, 526193.503721309 4518226.2496619895, 526194.1330953314 4518224.918962423, 526194.6290073798 4518223.532981097, 526194.9866815498 4518222.105065768, 526195.2026732438 4518220.648968043, 526195.2749023438 4518219.1787109375, 526195.2749023438 4518189.1787109375))",11.982376,0.13324963,0.20909293,-0.04938853,18.625904,0.13968544,0.50953865,0.30576482,0.5388098,0.43135944,0.9281594,271.79593,1.5119959,,,,0.11567676,1.8822376,0.43657336,1.4370854,0.16335478,812.88904,1022.15295,1113.2574,1405.0211,1843.0228,2006.3849,2089.0647,2181.992,3155.6235,2412.1602
20SE_P1_2,20SE,2018-06-01,2018-06-03,2018,June,3.62,29.94,1048.3651802896045,"POLYGON ((526301.3248901367 4518085.1787109375, 526301.2526610368 4518083.708453832, 526301.0366693428 4518082.252356107, 526300.6789951727 4518080.824440778, 526300.1830831243 4518079.438459452, 526299.553709102 4518078.1077598855, 526298.7969343213 4518076.845157443, 526297.9200469372 4518075.662811675, 526296.9314918545 4518074.57210922, 526295.8407893992 4518073.5835541375, 526294.6584436321 4518072.706666753, 526293.3958411891 4518071.949891972, 526292.0651416222 4518071.32051795, 526290.6791602955 4518070.824605902, 526289.251244967 4518070.466931731, 526287.7951472417 4518070.250940037, 526286.3248901367 4518070.1787109375, 526284.8546330318 4518070.250940037, 526283.3985353064 4518070.466931731, 526281.9706199779 4518070.824605902, 526280.5846386512 4518071.32051795, 526279.2539390844 4518071.949891972, 526277.9913366414 4518072.706666753, 526276.8089908742 4518073.5835541375, 526275.718288419 4518074.57210922, 526274.7297333363 4518075.662811675, 526273.8528459521 4518076.845157443, 526273.0960711715 4518078.1077598855, 526272.4666971491 4518079.438459452, 526271.9707851007 4518080.824440778, 526271.6131109307 4518082.252356107, 526271.3971192366 4518083.708453832, 526271.3248901367 4518085.1787109375, 526271.3248901367 4518115.1787109375, 526271.3971192366 4518116.648968043, 526271.6131109307 4518118.105065768, 526271.9707851007 4518119.532981097, 526272.4666971491 4518120.918962423, 526273.0960711715 4518122.2496619895, 526273.8528459521 4518123.512264432, 526274.7297333363 4518124.6946102, 526275.718288419 4518125.785312655, 526276.8089908742 4518126.7738677375, 526277.9913366414 4518127.650755122, 526279.2539390844 4518128.407529903, 526280.5846386512 4518129.036903925, 526281.9706199779 4518129.532815973, 526283.3985353064 4518129.890490144, 526284.8546330318 4518130.106481838, 526286.3248901367 4518130.1787109375, 526287.7951472417 4518130.106481838, 526289.251244967 4518129.890490144, 526290.6791602955 4518129.532815973, 526292.0651416222 4518129.036903925, 526293.3958411891 4518128.407529903, 526294.6584436321 4518127.650755122, 526295.8407893992 4518126.7738677375, 526296.9314918545 4518125.785312655, 526297.9200469372 4518124.6946102, 526298.7969343213 4518123.512264432, 526299.553709102 4518122.2496619895, 526300.1830831243 4518120.918962423, 526300.6789951727 4518119.532981097, 526301.0366693428 4518118.105065768, 526301.2526610368 4518116.648968043, 526301.3248901367 4518115.1787109375, 526301.3248901367 4518085.1787109375))",10.887518,0.12334873,0.20240726,-0.028858539,20.540451,0.16169202,0.5030832,0.3198012,0.6081318,0.44750413,0.88901496,325.528,1.4171056,,,,0.12349656,1.9437193,0.45662168,1.4298648,0.17530392,865.2563,1113.8351,1231.9825,1578.885,2088.111,2279.1418,2384.6284,2482.837,3380.2476,2637.9795
20SE_P1_1,20SE,2018-06-01,2018-06-03,2018,June,5.31,34.5,1402.8173955858758,"POLYGON ((526195.2749023438 4518085.1787109375, 526195.2026732438 4518083.708453832, 526194.9866815498 4518082.252356107, 526194.6290073798 4518080.824440778, 526194.1330953314 4518079.438459452, 526193.503721309 4518078.1077598855, 526192.7469465283 4518076.845157443, 526191.8700591442 4518075.662811675, 526190.8815040615 4518074.57210922, 526189.7908016063 4518073.5835541375, 526188.6084558391 4518072.706666753, 526187.3458533961 4518071.949891972, 526186.0151538292 4518071.32051795, 526184.6291725026 4518070.824605902, 526183.201257174 4518070.466931731, 526181.7451594487 4518070.250940037, 526180.2749023438 4518070.1787109375, 526178.8046452388 4518070.250940037, 526177.3485475135 4518070.466931731, 526175.920632185 4518070.824605902, 526174.5346508583 4518071.32051795, 526173.2039512914 4518071.949891972, 526171.9413488484 4518072.706666753, 526170.7590030812 4518073.5835541375, 526169.668300626 4518074.57210922, 526168.6797455433 4518075.662811675, 526167.8028581592 4518076.845157443, 526167.0460833785 4518078.1077598855, 526166.4167093561 4518079.438459452, 526165.9207973077 4518080.824440778, 526165.5631231377 4518082.252356107, 526165.3471314437 4518083.708453832, 526165.2749023438 4518085.1787109375, 526165.2749023438 4518115.1787109375, 526165.3471314437 4518116.648968043, 526165.5631231377 4518118.105065768, 526165.9207973077 4518119.532981097, 526166.4167093561 4518120.918962423, 526167.0460833785 4518122.2496619895, 526167.8028581592 4518123.512264432, 526168.6797455433 4518124.6946102, 526169.668300626 4518125.785312655, 526170.7590030812 4518126.7738677375, 526171.9413488484 4518127.650755122, 526173.2039512914 4518128.407529903, 526174.5346508583 4518129.036903925, 526175.920632185 4518129.532815973, 526177.3485475135 4518129.890490144, 526178.8046452388 4518130.106481838, 526180.2749023438 4518130.1787109375, 526181.7451594487 4518130.106481838, 526183.201257174 4518129.890490144, 526184.6291725026 4518129.532815973, 526186.0151538292 4518129.036903925, 526187.3458533961 4518128.407529903, 526188.6084558391 4518127.650755122, 526189.7908016063 4518126.7738677375, 526190.8815040615 4518125.785312655, 526191.8700591442 4518124.6946102, 526192.7469465283 4518123.512264432, 526193.503721309 4518122.2496619895, 526194.1330953314 4518120.918962423, 526194.6290073798 4518119.532981097, 526194.9866815498 4518118.105065768, 526195.2026732438 4518116.648968043, 526195.2749023438 4518115.1787109375, 526195.2749023438 4518085.1787109375))",11.152059,0.13235405,0.2131406,-0.022940861,20.981987,0.16567943,0.5107854,0.33514965,0.60148996,0.47789985,0.98109657,332.45975,1.4318084,,,,0.13060164,2.0142372,0.47853324,1.3940476,0.15768504,822.49225,1052.9154,1138.3268,1479.0566,2000.0436,2177.37,2277.506,2381.4072,3262.3826,2499.724
20NW_P6_2,20NW,2018-06-01,2018-06-02,2018,June,3.19,17.25,806.5292682108892,"POLYGON ((526630.5443115234 4519334.597717285, 526630.4720824235 4519333.12746018, 526630.2560907295 4519331.671362455, 526629.8984165594 4519330.243447126, 526629.4025045111 4519328.8574658, 526628.7731304887 4519327.526766233, 526628.016355708 4519326.26416379, 526627.1394683239 4519325.081818023, 526626.1509132412 4519323.991115567, 526625.060210786 4519323.002560485, 526623.8778650188 4519322.1256731, 526622.6152625758 4519321.36889832, 526621.2845630089 4519320.739524297, 526619.8985816822 4519320.243612249, 526618.4706663537 4519319.885938079, 526617.0145686284 4519319.669946385, 526615.5443115234 4519319.597717285, 526614.0740544185 4519319.669946385, 526612.6179566932 4519319.885938079, 526611.1900413646 4519320.243612249, 526609.804060038 4519320.739524297, 526608.4733604711 4519321.36889832, 526607.2107580281 4519322.1256731, 526606.0284122609 4519323.002560485, 526604.9377098057 4519323.991115567, 526603.949154723 4519325.081818023, 526603.0722673389 4519326.26416379, 526602.3154925582 4519327.526766233, 526601.6861185358 4519328.8574658, 526601.1902064874 4519330.243447126, 526600.8325323174 4519331.671362455, 526600.6165406234 4519333.12746018, 526600.5443115234 4519334.597717285, 526600.5443115234 4519364.597717285, 526600.6165406234 4519366.06797439, 526600.8325323174 4519367.524072115, 526601.1902064874 4519368.951987444, 526601.6861185358 4519370.33796877, 526602.3154925582 4519371.668668337, 526603.0722673389 4519372.93127078, 526603.949154723 4519374.113616548, 526604.9377098057 4519375.204319003, 526606.0284122609 4519376.192874085, 526607.2107580281 4519377.06976147, 526608.4733604711 4519377.82653625, 526609.804060038 4519378.455910273, 526611.1900413646 4519378.951822321, 526612.6179566932 4519379.309496491, 526614.0740544185 4519379.525488186, 526615.5443115234 4519379.597717285, 526617.0145686284 4519379.525488186, 526618.4706663537 4519379.309496491, 526619.8985816822 4519378.951822321, 526621.2845630089 4519378.455910273, 526622.6152625758 4519377.82653625, 526623.8778650188 4519377.06976147, 526625.060210786 4519376.192874085, 526626.1509132412 4519375.204319003, 526627.1394683239 4519374.113616548, 526628.016355708 4519372.93127078, 526628.7731304887 4519371.668668337, 526629.4025045111 4519370.33796877, 526629.8984165594 4519368.951987444, 526630.2560907295 4519367.524072115, 526630.4720824235 4519366.06797439, 526630.5443115234 4519364.597717285, 526630.5443115234 4519334.597717285))",12.775541,0.13564795,0.21318962,-0.07161849,17.684217,0.13543354,0.5068003,0.2870307,0.48457855,0.3799525,0.8755858,277.6201,1.5675092,,,,0.110815175,1.8070338,0.40982744,1.5041069,0.16809535,884.4214,1115.979,1206.3682,1506.4338,1919.7949,2074.8955,2172.9204,2244.8003,3399.2466,2586.4365
20SE_P2_4,20SE,2018-06-01,2018-06-03,2018,June,7.88,43.44,1958.388231584001,"POLYGON ((526580.3599243164 4518272.165527344, 526580.2876952165 4518270.695270238, 526580.0717035225 4518269.239172514, 526579.7140293524 4518267.8112571845, 526579.218117304 4518266.4252758585, 526578.5887432817 4518265.094576292, 526577.831968501 4518263.831973849, 526576.9550811169 4518262.649628081, 526575.9665260342 4518261.558925626, 526574.8758235789 4518260.570370544, 526573.6934778118 4518259.693483159, 526572.4308753688 4518258.936708379, 526571.1001758019 4518258.307334356, 526569.7141944752 4518257.811422308, 526568.2862791467 4518257.453748138, 526566.8301814214 4518257.237756443, 526565.3599243164 4518257.165527344, 526563.8896672114 4518257.237756443, 526562.4335694861 4518257.453748138, 526561.0056541576 4518257.811422308, 526559.6196728309 4518258.307334356, 526558.288973264 4518258.936708379, 526557.026370821 4518259.693483159, 526555.8440250539 4518260.570370544, 526554.7533225986 4518261.558925626, 526553.7647675159 4518262.649628081, 526552.8878801318 4518263.831973849, 526552.1311053511 4518265.094576292, 526551.5017313288 4518266.4252758585, 526551.0058192804 4518267.8112571845, 526550.6481451103 4518269.239172514, 526550.4321534163 4518270.695270238, 526550.3599243164 4518272.165527344, 526550.3599243164 4518302.165527344, 526550.4321534163 4518303.635784449, 526550.6481451103 4518305.091882174, 526551.0058192804 4518306.519797503, 526551.5017313288 4518307.905778829, 526552.1311053511 4518309.236478396, 526552.8878801318 4518310.499080839, 526553.7647675159 4518311.681426606, 526554.7533225986 4518312.772129062, 526555.8440250539 4518313.760684144, 526557.026370821 4518314.637571529, 526558.288973264 4518315.394346309, 526559.6196728309 4518316.0237203315, 526561.0056541576 4518316.5196323795, 526562.4335694861 4518316.87730655, 526563.8896672114 4518317.093298244, 526565.3599243164 4518317.165527344, 526566.8301814214 4518317.093298244, 526568.2862791467 4518316.87730655, 526569.7141944752 4518316.5196323795, 526571.1001758019 4518316.0237203315, 526572.4308753688 4518315.394346309, 526573.6934778118 4518314.637571529, 526574.8758235789 4518313.760684144, 526575.9665260342 4518312.772129062, 526576.9550811169 4518311.681426606, 526577.831968501 4518310.499080839, 526578.5887432817 4518309.236478396, 526579.218117304 4518307.905778829, 526579.7140293524 4518306.519797503, 526580.0717035225 4518305.091882174, 526580.2876952165 4518303.635784449, 526580.3599243164 4518302.165527344, 526580.3599243164 4518272.165527344))",12.241692,0.13837785,0.21147153,-0.039968055,19.008377,0.14441545,0.5082909,0.31489003,0.5470813,0.44137517,0.91979223,289.47708,1.4879016,,,,0.12020318,1.9211531,0.4496033,1.4453647,0.16663049,799.63544,1027.1241,1111.8105,1416.5907,1873.4952,2036.4673,2129.9463,2206.4392,3168.4897,2397.717
20NW_P6_4,20NW,2018-06-01,2018-06-02,2018,June,3.44,18.94,872.5025566566117,"POLYGON ((526630.5443115234 4519438.597717285, 526630.4720824235 4519437.12746018, 526630.2560907295 4519435.671362455, 526629.8984165594 4519434.243447126, 526629.4025045111 4519432.8574658, 526628.7731304887 4519431.526766233, 526628.016355708 4519430.26416379, 526627.1394683239 4519429.081818023, 526626.1509132412 4519427.991115567, 526625.060210786 4519427.002560485, 526623.8778650188 4519426.1256731, 526622.6152625758 4519425.36889832, 526621.2845630089 4519424.739524297, 526619.8985816822 4519424.243612249, 526618.4706663537 4519423.885938079, 526617.0145686284 4519423.669946385, 526615.5443115234 4519423.597717285, 526614.0740544185 4519423.669946385, 526612.6179566932 4519423.885938079, 526611.1900413646 4519424.243612249, 526609.804060038 4519424.739524297, 526608.4733604711 4519425.36889832, 526607.2107580281 4519426.1256731, 526606.0284122609 4519427.002560485, 526604.9377098057 4519427.991115567, 526603.949154723 4519429.081818023, 526603.0722673389 4519430.26416379, 526602.3154925582 4519431.526766233, 526601.6861185358 4519432.8574658, 526601.1902064874 4519434.243447126, 526600.8325323174 4519435.671362455, 526600.6165406234 4519437.12746018, 526600.5443115234 4519438.597717285, 526600.5443115234 4519468.597717285, 526600.6165406234 4519470.06797439, 526600.8325323174 4519471.524072115, 526601.1902064874 4519472.951987444, 526601.6861185358 4519474.33796877, 526602.3154925582 4519475.668668337, 526603.0722673389 4519476.93127078, 526603.949154723 4519478.113616548, 526604.9377098057 4519479.204319003, 526606.0284122609 4519480.192874085, 526607.2107580281 4519481.06976147, 526608.4733604711 4519481.82653625, 526609.804060038 4519482.455910273, 526611.1900413646 4519482.951822321, 526612.6179566932 4519483.309496491, 526614.0740544185 4519483.525488186, 526615.5443115234 4519483.597717285, 526617.0145686284 4519483.525488186, 526618.4706663537 4519483.309496491, 526619.8985816822 4519482.951822321, 526621.2845630089 4519482.455910273, 526622.6152625758 4519481.82653625, 526623.8778650188 4519481.06976147, 526625.060210786 4519480.192874085, 526626.1509132412 4519479.204319003, 526627.1394683239 4519478.113616548, 526628.016355708 4519476.93127078, 526628.7731304887 4519475.668668337, 526629.4025045111 4519474.33796877, 526629.8984165594 4519472.951987444, 526630.2560907295 4519471.524072115, 526630.4720824235 4519470.06797439, 526630.5443115234 4519468.597717285, 526630.5443115234 4519438.597717285))",12.808406,0.13627844,0.20001034,-0.04553282,17.82011,0.13754582,0.4864655,0.28603464,0.4779949,0.3866352,0.8905047,277.208,1.4989198,,,,0.10997455,1.8036476,0.40840557,1.4739001,0.16372612,896.5772,1128.2327,1215.9955,1515.2806,1950.4482,2096.36,2183.9126,2266.251,3268.194,2484.6614
