EC_Tower,Date,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,source_file,NDVI_smooth,DFI_smooth,NDTI_smooth,SATVI_smooth,NDII7_smooth,SAVI_smooth,RDVI_smooth,MTVI1_smooth,NCI_smooth,NDCI_smooth,PSRI_smooth,NDWI_smooth,EVI_smooth,TCBI_smooth,TCGI_smooth,TCWI_smooth,BAI_126_smooth,BAI_136_smooth,BAI_146_smooth,BAI_236_smooth,BAI_246_smooth,BAI_346_smooth,BLUE_smooth,GREEN_smooth,RED_smooth,NIR1_smooth,SWIR1_smooth,SWIR2_smooth
EC AGM (NH),12/14/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../data/extractions/tmp/cper_ec_hls_2017_519340_4517990.csv,0.171860844,18.94823995,0.154838703,0.220839919,-0.192743219,0.093693342,9.182759844,0.027666851,0.576636535,0.481391612,0.164654652,-0.337496061,0.092421111,0.376656365,0.001364273,-0.297016231,164.8639211,159.0667251,157.0996747,155.8487935,156.3835171,158.2273821,733.1528412,907.4275657,1183.019965,1673.70931,3378.983463,2472.865693
EC AGM (NH),12/15/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171901137,18.93728053,0.15475472,0.22085146,-0.192814197,0.093736872,9.186572666,0.027739366,0.576554722,0.481415224,0.164473738,-0.337486403,0.092481189,0.376821716,0.001354346,-0.297153644,164.8618699,159.0826788,157.1027239,155.8775778,156.3879028,158.2200449,733.6491175,907.9988197,1183.396272,1674.377999,3380.258718,2474.274422
EC AGM (NH),12/16/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171920744,18.92609091,0.154660559,0.220843524,-0.192894666,0.093762604,9.188778737,0.027789258,0.576481784,0.481421834,0.164338519,-0.337476076,0.092516897,0.376939573,0.001343301,-0.29725422,164.8541661,159.0928889,157.1061662,155.9006711,156.3940398,158.2178205,733.9707636,908.4274137,1183.671052,1674.832621,3381.096732,2475.403679
EC AGM (NH),12/17/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171920696,18.91460443,0.154556014,0.220816901,-0.192984764,0.093771487,9.189462768,0.02781785,0.576416836,0.481412226,0.164246087,-0.337465038,0.092529536,0.377012801,0.001331113,-0.297320244,164.8410016,159.0976742,157.1100081,155.9184781,156.4018942,158.2204723,734.1275468,908.7224626,1183.850583,1675.085562,3381.522184,2476.273304
EC AGM (NH),12/18/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171902022,18.90275443,0.154440884,0.22077238,-0.193084633,0.093764466,9.188709467,0.027826463,0.576358994,0.48138718,0.164193538,-0.337453247,0.092520404,0.377044265,0.001317753,-0.297354001,164.8225687,159.0973534,157.1142562,155.9314034,156.4114322,158.2277635,734.1292345,908.8930813,1183.941145,1675.149207,3381.559755,2476.903136
EC AGM (NH),12/19/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171865754,18.89047426,0.154314962,0.220710751,-0.193194411,0.09374249,9.186603544,0.027816418,0.576307374,0.481347479,0.164177967,-0.337440662,0.092490803,0.37703683,0.001303194,-0.297357774,164.7990593,159.0922452,157.118917,155.9398517,156.42262,158.2394573,733.9855942,908.9483847,1183.949019,1675.035944,3381.234124,2477.313015
EC AGM (NH),12/20/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../data/extractions/tmp/cper_ec_hls_2017_519340_4517990.csv,0.171812921,18.87769725,0.154178047,0.220632801,-0.193314239,0.093706506,9.183229708,0.027789038,0.576261093,0.481293903,0.164196467,-0.337427241,0.092442033,0.376993358,0.00128741,-0.297333848,164.7706657,159.0826683,157.1239971,155.9442277,156.4354236,158.2553172,733.7063931,908.8974877,1183.880484,1674.758159,3380.569969,2477.522781
EC AGM (NH),12/21/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171744554,18.86435676,0.154029933,0.220539322,-0.193444257,0.09365746,9.178672669,0.027745643,0.576219267,0.481227236,0.164246135,-0.337412942,0.092375394,0.376916716,0.001270373,-0.297284508,164.7375799,159.0689415,157.1295029,155.9449361,156.4498094,158.2751062,733.3013987,908.7495051,1183.741819,1674.328238,3379.591972,2477.552274
EC AGM (NH),12/22/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171661683,18.85038613,0.153870417,0.220431103,-0.193584605,0.093596301,9.173017135,0.027687556,0.576181011,0.481148258,0.164324063,-0.337397723,0.092292186,0.376809768,0.001252056,-0.297212038,164.699994,159.0513835,157.1354412,155.9423815,156.4657434,158.2985879,732.7803784,908.5135519,1183.539305,1673.758568,3378.32481,2477.421332
EC AGM (NH),12/23/2016,0.171815552,18.90286198,0.15440807,0.22069344,-0.193115912,0.093689241,9.181928973,0.027729231,0.57640214,0.481317006,0.164393163,-0.337451478,0.092417351,0.376838907,0.00131422,-0.297193861,164.8001645,159.0728976,157.1155416,155.9059544,156.4180215,158.2488899,733.3846154,908.2692308,1183.5,1674.230769,3379.692308,2475.653846,../data/extractions/tmp/cper_ec_hls_2017_519340_4517990.csv,0.171565339,18.83571869,0.153699294,0.220308931,-0.193735423,0.093523974,9.166347816,0.027616099,0.576145443,0.481057751,0.164427348,-0.337381542,0.092193709,0.376675377,0.00123243,-0.297118723,164.6581002,159.030313,157.1418183,155.9369686,156.4831918,158.3255254,732.1530995,908.198743,1183.279221,1673.061535,3376.793163,2477.149796
