EC_Tower,Year,SOS_doy,SOS_date,Peak,Peak_doy
EC AGM (NH),2017,85,2017-03-26,2017-06-10,161
EC AGM (NH),2018,80,2018-03-21,2018-05-30,150
EC AGM (NH),2019,92,2019-04-02,2019-07-01,182
EC AGM (NH),2020,99,2020-04-08,2020-06-06,158
EC AGM (NH),2021,107,2021-04-17,2021-06-11,162
EC AGM (NH),2022,104,2022-04-14,2022-06-02,153
EC AGM (NH),2023,108,2023-04-18,2023-06-20,171
EC AGM (NH),2024,89,2024-03-29,2024-08-27,240
EC Heavy (23E),2017,74,2017-03-15,2017-06-09,160
EC Heavy (23E),2018,88,2018-03-29,2018-05-28,148
EC Heavy (23E),2019,95,2019-04-05,2019-07-05,186
EC Heavy (23E),2020,98,2020-04-07,2020-05-27,148
EC Heavy (23E),2021,99,2021-04-09,2021-07-07,188
EC Heavy (23E),2022,101,2022-04-11,2022-05-30,150
EC Heavy (23E),2023,109,2023-04-19,2023-06-20,171
EC Heavy (23E),2024,92,2024-04-01,2024-05-16,137
EC Moderate (15E),2017,84,2017-03-25,2017-06-19,170
EC Moderate (15E),2018,79,2018-03-20,2018-05-30,150
EC Moderate (15E),2019,93,2019-04-03,2019-06-26,177
EC Moderate (15E),2020,105,2020-04-14,2020-06-30,182
EC Moderate (15E),2021,100,2021-04-10,2021-06-11,162
EC Moderate (15E),2022,108,2022-04-18,2022-06-03,154
EC Moderate (15E),2023,109,2023-04-19,2023-07-07,188
EC Moderate (15E),2024,96,2024-04-05,2024-08-27,240
NEON,2017,72,2017-03-13,2017-06-09,160
NEON,2018,84,2018-03-25,2018-05-29,149
NEON,2019,88,2019-03-29,2019-07-04,185
NEON,2020,104,2020-04-13,2020-07-01,183
NEON,2021,102,2021-04-12,2021-07-05,186
NEON,2022,96,2022-04-06,2022-06-02,153
NEON,2023,103,2023-04-13,2023-06-22,173
NEON,2024,86,2024-03-26,2024-05-15,136
