date,Pasture,Biomass_kg_ha,CP
2023-01-01,13W,456.27,
2023-01-01,6W,429.84,
2023-01-02,13W,458.92,
2023-01-02,6W,428.34,
2023-01-03,13W,461.14,
2023-01-03,6W,426.75,
2023-01-04,13W,463.22,
2023-01-04,6W,425.37,
2023-01-05,13W,464.54,
2023-01-05,6W,423.59,
2023-01-06,13W,466.31,
2023-01-06,6W,421.72,
2023-01-07,13W,467.92,
2023-01-07,6W,419.76,
2023-01-08,13W,469.34,
2023-01-08,6W,418.01,
2023-01-09,13W,470.62,
2023-01-09,6W,415.86,
2023-01-10,13W,471.36,
2023-01-10,6W,413.93,
2023-01-11,13W,473.4,
2023-01-11,6W,411.94,
2023-01-12,13W,474.87,
2023-01-12,6W,409.74,
2023-01-13,13W,476.44,
2023-01-13,6W,407.43,
2023-01-14,13W,477.77,
2023-01-14,6W,405.0,
2023-01-15,13W,478.84,
2023-01-15,6W,402.73,
2023-01-16,13W,479.66,
2023-01-16,6W,400.05,
2023-01-17,13W,480.52,
2023-01-17,6W,397.22,
2023-01-18,13W,480.77,
2023-01-18,6W,394.26,
2023-01-19,13W,480.73,
2023-01-19,6W,391.16,
2023-01-20,13W,480.35,
2023-01-20,6W,387.88,
2023-01-21,13W,479.64,
2023-01-21,6W,384.44,
2023-01-22,13W,478.58,
2023-01-22,6W,381.11,
2023-01-23,13W,477.19,
2023-01-23,6W,377.88,
2023-01-24,13W,475.78,
2023-01-24,6W,373.96,
2023-01-25,13W,473.4,
2023-01-25,6W,369.88,
2023-01-26,13W,471.33,
2023-01-26,6W,365.91,
2023-01-27,13W,468.31,
2023-01-27,6W,361.79,
2023-01-28,13W,465.29,
2023-01-28,6W,357.52,
2023-01-29,13W,461.66,
2023-01-29,6W,353.12,
2023-01-30,13W,458.11,
2023-01-30,6W,348.35,
2023-01-31,13W,454.64,
2023-01-31,6W,343.7,
2023-02-01,13W,450.65,
2023-02-01,6W,338.95,
2023-02-02,13W,446.45,
2023-02-02,6W,334.11,
2023-02-03,13W,442.04,
2023-02-03,6W,329.2,
2023-02-04,13W,437.44,
2023-02-04,6W,325.39,
2023-02-05,13W,433.45,
2023-02-05,6W,320.61,
2023-02-06,13W,428.36,
2023-02-06,6W,315.31,
2023-02-07,13W,424.23,
2023-02-07,6W,310.19,
2023-02-08,13W,419.04,
2023-02-08,6W,305.02,
2023-02-09,13W,413.38,
2023-02-09,6W,300.21,
2023-02-10,13W,407.54,
2023-02-10,6W,295.31,
2023-02-11,13W,401.8,
2023-02-11,6W,289.91,
2023-02-12,13W,395.62,
2023-02-12,6W,284.17,
2023-02-13,13W,389.29,
2023-02-13,6W,278.54,
2023-02-14,13W,383.43,
2023-02-14,6W,272.77,
2023-02-15,13W,376.75,
2023-02-15,6W,268.25,
2023-02-16,13W,370.52,
2023-02-16,6W,262.8,
2023-02-17,13W,363.24,
2023-02-17,6W,256.79,
2023-02-18,13W,355.96,
2023-02-18,6W,250.83,
2023-02-19,13W,348.44,
2023-02-19,6W,244.75,
2023-02-20,13W,340.73,
2023-02-20,6W,238.56,
2023-02-21,13W,332.61,
2023-02-21,6W,232.1,
2023-02-22,13W,324.35,
2023-02-22,6W,226.28,
2023-02-23,13W,315.99,
2023-02-23,6W,220.22,
2023-02-24,13W,307.53,
2023-02-24,6W,214.61,
2023-02-25,13W,298.8,
2023-02-25,6W,208.67,
2023-02-26,13W,289.85,
2023-02-26,6W,202.87,
2023-02-27,13W,281.92,
2023-02-27,6W,196.77,
2023-02-28,13W,273.62,
2023-02-28,6W,190.57,
2023-03-01,13W,265.59,
2023-03-01,6W,185.0,
2023-03-02,13W,257.1,
2023-03-02,6W,179.06,
2023-03-03,13W,249.32,
2023-03-03,6W,173.77,
2023-03-04,13W,241.87,
2023-03-04,6W,168.26,
2023-03-05,13W,234.1,
2023-03-05,6W,162.96,
2023-03-06,13W,226.42,
2023-03-06,6W,157.52,
2023-03-07,13W,219.35,
2023-03-07,6W,152.58,
2023-03-08,13W,212.9,
2023-03-08,6W,147.44,
2023-03-09,13W,206.28,
2023-03-09,6W,142.82,
2023-03-10,13W,201.31,
2023-03-10,6W,138.28,
2023-03-11,13W,195.2,9.44
2023-03-11,6W,134.31,
2023-03-12,13W,189.5,9.44
2023-03-12,6W,129.58,
2023-03-13,13W,183.48,9.44
2023-03-13,6W,125.39,
2023-03-14,13W,177.63,9.44
2023-03-14,6W,121.31,
2023-03-15,13W,171.59,9.44
2023-03-15,6W,118.09,
2023-03-16,13W,166.27,9.44
2023-03-16,6W,114.44,
2023-03-17,13W,160.7,9.44
2023-03-17,6W,111.01,
2023-03-18,13W,155.39,9.44
2023-03-18,6W,107.62,
