date,Pasture,BARE,NONVEG,GREEN,SD,LITT,Biomass_kg_ha,Biomass_SE,NDVI,CP,DRYVEG,Year
2024-01-01,17N,0.08224678,0.13638,0.29621875,0.56740123,0.05413324,1534.5089,152.07372,0.2162618,,0.6215344,2024
2024-01-01,17S R1,0.09490852,0.12405784,0.34184965,0.53409255,0.029149333,1773.9331,156.26161,0.23484756,,0.56324184,2024
2024-01-01,17S R2,0.09790261,0.1312674,0.2940854,0.57464725,0.033364777,1474.5696,150.41216,0.20771176,,0.60801196,2024
2024-01-01,17S R3,0.05256597,0.13049367,0.2917111,0.5777952,0.0779277,1573.9493,153.88353,0.21721457,,0.655723,2024
2024-01-01,18S R1,0.09333126,0.21756217,0.28381753,0.49862036,0.12423088,1354.2812,150.37938,0.2391986,,0.6228512,2024
2024-01-01,18S R2,0.059576973,0.19875549,0.23267408,0.56857044,0.13917853,1212.4526,147.65224,0.20687263,,0.70774895,2024
2024-01-01,19N,0.06620086,0.24120484,0.23192161,0.5268735,0.17500399,1160.8608,146.56598,0.21554999,,0.70187753,2024
2024-01-02,17N,0.08404762,0.1365463,0.29559806,0.56785566,0.052498665,1529.7769,151.9212,0.21589424,,0.6203543,2024
2024-01-02,17S R1,0.09701168,0.12489709,0.340817,0.53428596,0.027885411,1768.2266,155.63104,0.23437998,,0.5621714,2024
2024-01-02,17S R2,0.10000904,0.13190924,0.29310653,0.57498425,0.031900194,1470.2495,150.13556,0.20726697,,0.6068844,2024
2024-01-02,17S R3,0.05417453,0.12988198,0.29139388,0.5787242,0.075707436,1569.1454,153.99539,0.21695068,,0.6544316,2024
2024-01-02,18S R1,0.09558951,0.21711132,0.28301615,0.4998725,0.12152181,1348.3384,150.75389,0.2387632,,0.6213943,2024
2024-01-02,18S R2,0.06159319,0.19752392,0.23206541,0.57041067,0.13593073,1207.7826,147.94757,0.20660278,,0.7063413,2024
2024-01-02,19N,0.06814084,0.24002558,0.23140453,0.5285699,0.17188473,1155.8739,147.0296,0.21516734,,0.70045465,2024
2024-01-03,17N,0.085848115,0.13672079,0.29495195,0.56832725,0.050872684,1524.8127,151.89586,0.21552314,,0.61919993,2024
2024-01-03,17S R1,0.099088065,0.12573299,0.33976713,0.5344998,0.026644919,1762.243,155.1802,0.23390715,,0.56114477,2024
2024-01-03,17S R2,0.1020985,0.13256082,0.29209983,0.5753393,0.030462317,1465.7263,150.01321,0.20681904,,0.60580164,2024
2024-01-03,17S R3,0.055759896,0.12928516,0.2910416,0.5796733,0.07352528,1564.1235,154.2603,0.21667995,,0.6531985,2024
2024-01-03,18S R1,0.09784983,0.21672086,0.28219113,0.501088,0.11887105,1342.2585,151.26006,0.23832382,,0.61995906,2024
2024-01-03,18S R2,0.06361277,0.19637278,0.23141767,0.57220954,0.13276,1202.9636,148.36151,0.20632873,,0.7049695,2024
2024-01-03,19N,0.070094086,0.23893309,0.23085141,0.5302155,0.168839,1150.7871,147.64476,0.21478085,,0.6990545,2024
2024-01-04,17N,0.08764236,0.13690783,0.29427397,0.56881815,0.049265474,1519.6317,151.99771,0.21514663,,0.6180836,2024
2024-01-04,17S R1,0.10113098,0.12656471,0.33869568,0.5347396,0.025433747,1756.0021,154.90907,0.23342718,,0.56017333,2024
2024-01-04,17S R2,0.10416331,0.13322186,0.29106107,0.57571703,0.029058563,1461.0173,150.04514,0.20636635,,0.6047756,2024
2024-01-04,17S R3,0.057319142,0.12871355,0.29064572,0.5806408,0.07139441,1558.9022,154.67827,0.21639954,,0.6520351,2024
2024-01-04,18S R1,0.10010246,0.216397,0.28133792,0.5022651,0.11629453,1336.0516,151.89792,0.23787849,,0.6185596,2024
2024-01-04,18S R2,0.06562812,0.19531295,0.23072395,0.5739631,0.12968482,1198.0128,148.89409,0.20604786,,0.7036479,2024
2024-01-04,19N,0.07205131,0.23793708,0.23025686,0.53180605,0.16588579,1145.6134,148.41145,0.21438932,,0.69769186,2024
2024-01-05,17N,0.089424364,0.13711156,0.29355833,0.5693301,0.0476872,1514.2507,152.22675,0.21476285,,0.6170173,2024
2024-01-05,17S R1,0.10313373,0.12739147,0.33759847,0.53501004,0.024257733,1749.526,154.81767,0.23293845,,0.55926776,2024
2024-01-05,17S R2,0.10619574,0.133892,0.28998625,0.57612175,0.027696269,1456.1423,150.2313,0.20590745,,0.603818,2024
2024-01-05,17S R3,0.058849066,0.1281773,0.2901981,0.58162457,0.06932823,1553.5007,155.24928,0.21610676,,0.6509528,2024
2024-01-05,18S R1,0.102337375,0.21614584,0.28045228,0.5034019,0.11380847,1329.7296,152.66743,0.23742534,,0.61721027,2024
2024-01-05,18S R2,0.0676313,0.19435537,0.22997774,0.5756669,0.12672405,1192.949,149.5453,0.20575765,,0.70239097,2024
2024-01-05,19N,0.07400298,0.2370475,0.22961564,0.5333369,0.16304451,1140.3677,149.32968,0.21399155,,0.69638133,2024
