,,Biomass_kg_ha,Biomass_kg_ha,Biomass_kg_ha,Biomass_kg_ha,CP,CP,CP,CP,date,date
,,mean,std,min,max,mean,std,min,max,min,max
Pasture,Period,,,,,,,,,,
17N,0,977.26,2.46,971.77,979.69,10.33,0.1,10.12,10.43,2024-05-01,2024-05-14
17N,0_1,960.86,10.28,943.44,974.83,9.72,0.22,9.4,10.06,2024-05-15,2024-05-27
17N,1,860.8,53.06,771.02,939.84,8.73,0.41,8.31,9.38,2024-05-28,2024-06-28
17N,2,724.16,17.02,706.66,765.71,7.85,0.25,7.57,8.3,2024-06-29,2024-07-29
17N,3,813.82,39.77,737.37,853.58,7.93,0.25,7.56,8.21,2024-07-30,2024-09-04
17N,4,801.77,25.56,768.12,843.46,7.57,0.34,7.1,8.13,2024-09-05,2024-09-30
17S,0,1012.16,3.63,1004.25,1015.48,10.3,0.15,10.03,10.48,2024-05-01,2024-05-14
17S,0_1,996.94,10.91,978.06,1011.4,9.63,0.23,9.3,9.98,2024-05-15,2024-05-27
17S,1,884.21,59.71,784.21,973.97,8.59,0.42,8.2,9.28,2024-05-28,2024-06-28
17S,2,734.71,17.85,716.15,778.4,7.86,0.21,7.58,8.23,2024-06-29,2024-07-29
17S,3,834.61,42.06,751.68,875.87,7.9,0.24,7.55,8.2,2024-07-30,2024-09-04
17S,4,814.84,28.88,776.69,862.37,7.46,0.35,6.98,8.04,2024-09-05,2024-09-30
17S-R1,0,1114.88,3.73,1106.57,1118.4,10.43,0.18,10.1,10.64,2024-05-01,2024-05-14
17S-R1,0_1,1094.53,13.45,1071.5,1112.6,9.68,0.26,9.29,10.05,2024-05-15,2024-05-27
17S-R1,1,952.32,76.79,822.91,1066.58,8.49,0.51,8.02,9.26,2024-05-28,2024-06-28
17S-R1,2,763.07,21.62,739.9,815.48,7.64,0.23,7.35,8.03,2024-06-29,2024-07-29
17S-R1,3,895.38,54.07,789.4,949.16,7.76,0.25,7.32,8.07,2024-07-30,2024-09-04
17S-R1,4,886.32,31.19,845.91,937.43,7.29,0.35,6.87,7.87,2024-09-05,2024-09-30
17S-R2,0,939.81,1.89,935.64,941.73,10.21,0.13,9.96,10.34,2024-05-01,2024-05-14
17S-R2,0_1,927.05,7.82,913.81,937.74,9.59,0.2,9.35,9.91,2024-05-15,2024-05-27
17S-R2,1,843.93,47.11,761.73,911.05,8.78,0.33,8.5,9.35,2024-05-28,2024-06-28
17S-R2,2,715.95,16.9,697.94,756.49,8.2,0.21,7.93,8.53,2024-06-29,2024-07-29
17S-R2,3,824.7,48.58,733.28,874.86,8.15,0.19,7.89,8.4,2024-07-30,2024-09-04
17S-R2,4,831.69,24.17,798.63,869.15,7.68,0.35,7.16,8.23,2024-09-05,2024-09-30
