date,Pasture,Biomass_kg_ha,Year,Source
2000-02-24,10S,219.49304,2000,LMF
2000-02-25,10S,309.9694,2000,LMF
2000-02-26,10S,448.21133,2000,LMF
2000-02-27,10S,591.2444,2000,LMF
2000-02-28,10S,721.1748,2000,LMF
2000-02-29,10S,837.5489,2000,LMF
2000-03-01,10S,940.9138,2000,LMF
2000-03-02,10S,1031.8164,2000,LMF
2000-03-03,10S,1110.8036,2000,LMF
2000-03-04,10S,1178.4225,2000,LMF
2000-03-05,10S,1235.2198,2000,LMF
2000-03-06,10S,1281.743,2000,LMF
2000-03-07,10S,1318.5388,2000,LMF
2000-03-08,10S,1346.1543,2000,LMF
2000-03-09,10S,1365.1362,2000,LMF
2000-03-10,10S,1376.0319,2000,LMF
2000-03-11,10S,1379.388,2000,LMF
2000-03-12,10S,1375.7515,2000,LMF
2000-03-13,10S,1365.6698,2000,LMF
2000-03-14,10S,1349.6895,2000,LMF
2000-03-15,10S,1328.3578,2000,LMF
2000-03-16,10S,1302.2214,2000,LMF
2000-03-17,10S,1271.8276,2000,LMF
2000-03-18,10S,1247.0795,2000,LMF
2000-03-19,10S,1216.7118,2000,LMF
2000-03-20,10S,1180.8967,2000,LMF
2000-03-21,10S,1139.9784,2000,LMF
2000-03-22,10S,1095.2812,2000,LMF
2000-03-23,10S,1047.7819,2000,LMF
2000-03-24,10S,998.5953,2000,LMF
2000-03-25,10S,949.9082,2000,LMF
2000-03-26,10S,903.54736,2000,LMF
2000-03-27,10S,860.9064,2000,LMF
2000-03-28,10S,823.43646,2000,LMF
2000-03-29,10S,791.36145,2000,LMF
2000-03-30,10S,765.38074,2000,LMF
2000-03-31,10S,746.15216,2000,LMF
2000-04-01,10S,734.7405,2000,LMF
2000-04-02,10S,731.51465,2000,LMF
2000-04-03,10S,737.4318,2000,LMF
2000-04-04,10S,751.80255,2000,LMF
2000-04-05,10S,773.5193,2000,LMF
2000-04-06,10S,801.5211,2000,LMF
2000-04-07,10S,834.8232,2000,LMF
2000-04-08,10S,872.4393,2000,LMF
2000-04-09,10S,912.0409,2000,LMF
2000-04-10,10S,952.1347,2000,LMF
2000-04-11,10S,991.7242,2000,LMF
2000-04-12,10S,1029.3701,2000,LMF
2000-04-13,10S,1063.9884,2000,LMF
2000-04-14,10S,1095.0569,2000,LMF
2000-04-15,10S,1122.5034,2000,LMF
2000-04-16,10S,1145.9087,2000,LMF
2000-04-17,10S,1164.89,2000,LMF
2000-04-18,10S,1179.5441,2000,LMF
2000-04-19,10S,1189.6945,2000,LMF
2000-04-20,10S,1195.2443,2000,LMF
2000-04-21,10S,1196.1339,2000,LMF
2000-04-22,10S,1191.4817,2000,LMF
2000-04-23,10S,1181.6477,2000,LMF
2000-04-24,10S,1167.0413,2000,LMF
2000-04-25,10S,1148.3346,2000,LMF
2000-04-26,10S,1125.7351,2000,LMF
2000-04-27,10S,1100.149,2000,LMF
2000-04-28,10S,1071.96,2000,LMF
2000-04-29,10S,1041.7905,2000,LMF
2000-04-30,10S,1010.4831,2000,LMF
2000-05-01,10S,979.4489,2000,LMF
2000-05-02,10S,948.8609,2000,LMF
2000-05-03,10S,918.8044,2000,LMF
2000-05-04,10S,890.1949,2000,LMF
2000-05-05,10S,864.04144,2000,LMF
2000-05-06,10S,841.26483,2000,LMF
2000-05-07,10S,823.02637,2000,LMF
2000-05-08,10S,810.4946,2000,LMF
2000-05-09,10S,802.65393,2000,LMF
2000-05-10,10S,799.2284,2000,LMF
2000-05-11,10S,799.80316,2000,LMF
2000-05-12,10S,803.9762,2000,LMF
2000-05-13,10S,811.53906,2000,LMF
2000-05-14,10S,822.42255,2000,LMF
2000-05-15,10S,836.214,2000,LMF
2000-05-16,10S,851.97345,2000,LMF
2000-05-17,10S,869.0602,2000,LMF
2000-05-18,10S,886.4391,2000,LMF
2000-05-19,10S,903.8102,2000,LMF
2000-05-20,10S,920.6409,2000,LMF
2000-05-21,10S,936.05475,2000,LMF
2000-05-23,10S,948.50055,2000,LMF
2000-05-24,10S,957.53436,2000,LMF
2000-05-25,10S,963.27765,2000,LMF
2000-05-26,10S,965.79034,2000,LMF
2000-05-27,10S,965.7011,2000,LMF
2000-05-28,10S,963.7049,2000,LMF
2000-05-29,10S,960.47064,2000,LMF
2000-05-30,10S,956.08875,2000,LMF
2000-05-31,10S,950.6967,2000,LMF
2000-06-01,10S,944.89417,2000,LMF
2000-06-02,10S,939.0973,2000,LMF
2000-06-03,10S,932.2691,2000,LMF
2000-06-04,10S,924.4449,2000,LMF
2000-06-05,10S,915.83246,2000,LMF
2000-06-06,10S,906.33185,2000,LMF
2000-06-07,10S,896.36017,2000,LMF
2000-06-08,10S,886.536,2000,LMF
2000-06-09,10S,877.1541,2000,LMF
2000-06-10,10S,867.97656,2000,LMF
2000-06-11,10S,859.2511,2000,LMF
2000-06-12,10S,851.2587,2000,LMF
2000-06-13,10S,844.2869,2000,LMF
2000-06-14,10S,838.27856,2000,LMF
2000-06-15,10S,833.3859,2000,LMF
2000-06-16,10S,829.56464,2000,LMF
2000-06-17,10S,827.3258,2000,LMF
