date,Pasture,Biomass_kg_ha_std,Year,Source
2000-02-24,10S,183.98085,2000,LMF
2000-02-25,10S,199.02744,2000,LMF
2000-02-26,10S,206.11266,2000,LMF
2000-02-27,10S,205.84024,2000,LMF
2000-02-28,10S,207.16876,2000,LMF
2000-02-29,10S,210.17964,2000,LMF
2000-03-01,10S,214.20938,2000,LMF
2000-03-02,10S,218.74867,2000,LMF
2000-03-03,10S,223.4304,2000,LMF
2000-03-04,10S,228.00618,2000,LMF
2000-03-05,10S,232.32065,2000,LMF
2000-03-06,10S,236.28853,2000,LMF
2000-03-07,10S,239.87527,2000,LMF
2000-03-08,10S,243.08177,2000,LMF
2000-03-09,10S,245.93205,2000,LMF
2000-03-10,10S,248.4637,2000,LMF
2000-03-11,10S,250.71985,2000,LMF
2000-03-12,10S,252.74315,2000,LMF
2000-03-13,10S,254.57066,2000,LMF
2000-03-14,10S,256.2299,2000,LMF
2000-03-15,10S,257.73584,2000,LMF
2000-03-16,10S,259.08902,2000,LMF
2000-03-17,10S,260.27435,2000,LMF
2000-03-18,10S,260.44424,2000,LMF
2000-03-19,10S,260.00577,2000,LMF
2000-03-20,10S,258.68637,2000,LMF
2000-03-21,10S,256.39636,2000,LMF
2000-03-22,10S,253.27536,2000,LMF
2000-03-23,10S,249.36513,2000,LMF
2000-03-24,10S,244.86517,2000,LMF
2000-03-25,10S,239.9545,2000,LMF
2000-03-26,10S,234.93318,2000,LMF
2000-03-27,10S,229.91736,2000,LMF
2000-03-28,10S,225.08015,2000,LMF
2000-03-29,10S,220.48865,2000,LMF
2000-03-30,10S,216.37227,2000,LMF
2000-03-31,10S,213.07085,2000,LMF
2000-04-01,10S,210.73988,2000,LMF
2000-04-02,10S,209.42555,2000,LMF
2000-04-03,10S,209.16212,2000,LMF
2000-04-04,10S,209.97551,2000,LMF
2000-04-05,10S,212.17578,2000,LMF
2000-04-06,10S,215.46736,2000,LMF
2000-04-07,10S,219.85617,2000,LMF
2000-04-08,10S,225.08759,2000,LMF
2000-04-09,10S,230.9049,2000,LMF
2000-04-10,10S,237.02295,2000,LMF
2000-04-11,10S,243.15717,2000,LMF
2000-04-12,10S,249.07777,2000,LMF
2000-04-13,10S,254.54308,2000,LMF
2000-04-14,10S,259.46817,2000,LMF
2000-04-15,10S,263.8327,2000,LMF
2000-04-16,10S,267.5691,2000,LMF
2000-04-17,10S,270.44632,2000,LMF
2000-04-18,10S,272.39575,2000,LMF
2000-04-19,10S,273.3581,2000,LMF
2000-04-20,10S,273.24356,2000,LMF
2000-04-21,10S,271.9432,2000,LMF
2000-04-22,10S,269.14633,2000,LMF
2000-04-23,10S,264.82022,2000,LMF
2000-04-24,10S,259.10754,2000,LMF
2000-04-25,10S,252.20255,2000,LMF
2000-04-26,10S,244.23434,2000,LMF
2000-04-27,10S,235.42645,2000,LMF
2000-04-28,10S,225.89877,2000,LMF
2000-04-29,10S,215.85493,2000,LMF
2000-04-30,10S,205.6532,2000,LMF
2000-05-01,10S,195.61433,2000,LMF
2000-05-02,10S,185.87025,2000,LMF
2000-05-03,10S,176.67223,2000,LMF
2000-05-04,10S,168.20584,2000,LMF
2000-05-05,10S,160.64517,2000,LMF
2000-05-06,10S,154.0958,2000,LMF
2000-05-07,10S,148.70341,2000,LMF
2000-05-08,10S,144.59337,2000,LMF
2000-05-09,10S,141.5413,2000,LMF
2000-05-10,10S,139.26048,2000,LMF
2000-05-11,10S,137.68181,2000,LMF
2000-05-12,10S,136.80339,2000,LMF
2000-05-13,10S,136.48538,2000,LMF
2000-05-14,10S,136.62875,2000,LMF
2000-05-15,10S,137.13493,2000,LMF
2000-05-16,10S,137.91434,2000,LMF
2000-05-17,10S,138.82227,2000,LMF
2000-05-18,10S,139.85081,2000,LMF
2000-05-19,10S,140.9131,2000,LMF
